Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,6.6e-05,15.913829,[ 3 90] ; [11 32],[ 9.57352941 83.42647059] ; [ 4.42647059 38.57352941],1
p7,1,0.000276,13.226878,[45 48] ; [35  8],[54.70588235 38.29411765] ; [25.29411765 17.70588235],1
p4,1,0.000344,12.813804,[39 55] ; [32 11],[48.71532847 45.28467153] ; [22.28467153 20.71532847],1
p12,1,0.001918,9.626399,[ 2 92] ; [ 7 36],[ 6.17518248 87.82481752] ; [ 2.82481752 40.17518248],0
p1,1,0.003119,8.736432,[ 8 85] ; [12 31],[13.67647059 79.32352941] ; [ 6.32352941 36.67647059],0
p3,1,0.003504,8.524717,[36 58] ; [28 15],[43.91240876 50.08759124] ; [20.08759124 22.91240876],0
b2,1,0.011012,6.463325,[10 43] ; [12 14],[14.75949367 38.24050633] ; [ 7.24050633 18.75949367],0
b3,1,0.011012,6.463325,[10 43] ; [12 14],[14.75949367 38.24050633] ; [ 7.24050633 18.75949367],0
u2,1,0.013231,6.13801,[18 32] ; [12  5],[22.3880597 27.6119403] ; [7.6119403 9.3880597],0
s5,1,0.019098,5.492527,[17 75] ; [15 25],[22.3030303 69.6969697] ; [ 9.6969697 30.3030303],0
s7,1,0.022103,5.237645,[32 57] ; [23 17],[37.94573643 51.05426357] ; [17.05426357 22.94573643],0
a6,1,0.043515,4.075276,[53 41] ; [32 11],[58.32116788 35.67883212] ; [26.67883212 16.32116788],0
d1,1,0.056863,3.626584,[ 2 92] ; [ 4 39],[ 4.11678832 89.88321168] ; [ 1.88321168 41.11678832],0
n4,1,0.059998,3.537451,[61 32] ; [35  8],[65.64705882 27.35294118] ; [30.35294118 12.64705882],0
a4,1,0.070294,3.276152,[19 74] ; [15 28],[23.25 69.75] ; [10.75 32.25],0
s2,1,0.119232,2.427378,[32 60] ; [21 22],[36.11851852 55.88148148] ; [16.88148148 26.11851852],0
a5,1,0.124584,2.358726,[48 46] ; [28 15],[52.1459854 41.8540146] ; [23.8540146 19.1459854],0
v3,1,0.126225,2.338334,[26 65] ; [18 25],[29.88059701 61.11940299] ; [14.11940299 28.88059701],0
n3,1,0.134842,2.235853,[23  3] ; [6 3],[21.54285714  4.45714286] ; [7.45714286 1.54285714],0
n2,1,0.134842,2.235853,[23  3] ; [6 3],[21.54285714  4.45714286] ; [7.45714286 1.54285714],0
a3,1,0.153547,2.036653,[44 49] ; [26 17],[47.86764706 45.13235294] ; [22.13235294 20.86764706],0
u1,1,0.160146,1.972843,[ 2 92] ; [ 3 40],[ 3.43065693 90.56934307] ; [ 1.56934307 41.43065693],0
u3,1,0.177562,1.817912,[20 30] ; [10  7],[22.3880597 27.6119403] ; [7.6119403 9.3880597],0
n5,1,0.180435,1.79404,[71 23] ; [36  6],[73.95588235 20.04411765] ; [33.04411765  8.95588235],0
p8,1,0.189804,1.719135,[45 48] ; [26 17],[48.55147059 44.44852941] ; [22.44852941 20.55147059],0
r1,1,0.204358,1.610953,[56 36] ; [31 12],[59.28888889 32.71111111] ; [27.71111111 15.28888889],0
v2,1,0.215992,1.530805,[38 50] ; [23 19],[41.29230769 46.70769231] ; [19.70769231 22.29230769],0
b1,1,0.250357,1.321311,[34 60] ; [20 23],[37.05109489 56.94890511] ; [16.94890511 26.05109489],0
b4,1,0.264577,1.244651,[45 49] ; [25 18],[48.02919708 45.97080292] ; [21.97080292 21.02919708],0
s8,1,0.309492,1.032843,[33 61] ; [19 24],[35.67883212 58.32116788] ; [16.32116788 26.67883212],0
d2,1,0.31788,0.997648,[19 75] ; [12 31],[21.27007299 72.72992701] ; [ 9.72992701 33.27007299],0
s4,1,0.409683,0.679721,[19 75] ; [ 6 36],[17.27941176 76.72058824] ; [ 7.72058824 34.27941176],0
a1,1,0.415557,0.662847,[ 2 92] ; [ 2 41],[ 2.74452555 91.25547445] ; [ 1.25547445 41.74452555],0
a8,1,0.422678,0.642857,[ 8 76] ; [ 6 36],[ 9.33333333 74.66666667] ; [ 4.66666667 37.33333333],0
p10,1,0.430824,0.620602,[79 13] ; [39  4],[80.41481481 11.58518519] ; [37.58518519  5.41481481],0
r2,1,0.486191,0.484946,[83 10] ; [40  3],[84.11029412  8.88970588] ; [38.88970588  4.11029412],0
d5,1,0.511696,0.430598,[46 48] ; [18 24],[44.23529412 49.76470588] ; [19.76470588 22.23529412],0
p2,1,0.598624,0.277077,[72 21] ; [35  8],[73.16911765 19.83088235] ; [33.83088235  9.16911765],0
r3,1,0.605633,0.266583,[84  9] ; [40  3],[84.79411765  8.20588235] ; [39.20588235  3.79411765],0
p11,1,0.619373,0.24675,[73 21] ; [35  8],[74.10218978 19.89781022] ; [33.89781022  9.10218978],0
s1,1,0.670628,0.180869,[ 3 89] ; [ 2 40],[ 3.43283582 88.56716418] ; [ 1.56716418 40.43283582],0
n6,1,0.686514,0.162885,[76 18] ; [36  7],[76.84671533 17.15328467] ; [35.15328467  7.84671533],0
a2,1,0.712699,0.135596,[ 9 85] ; [ 5 38],[ 9.60583942 84.39416058] ; [ 4.39416058 38.60583942],0
