Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.000173,14.102564,[ 6 27] ; [21 12],[13.5 19.5] ; [13.5 19.5],1
s4,1,0.001728,9.818182,[ 5 28] ; [17 16],[11. 22.] ; [11. 22.],0
p6,1,0.002793,8.93795,[ 6 26] ; [18 15],[11.81538462 20.18461538] ; [12.18461538 20.81538462],0
b3,1,0.005701,7.642556,[ 1 11] ; [14 11],[4.86486486 7.13513514] ; [10.13513514 14.86486486],0
b2,1,0.005701,7.642556,[ 1 11] ; [14 11],[4.86486486 7.13513514] ; [10.13513514 14.86486486],0
d5,1,0.039416,4.242857,[25  8] ; [31  2],[28.  5.] ; [28.  5.],0
n4,1,0.048796,3.882353,[ 5 28] ; [12 21],[ 8.5 24.5] ; [ 8.5 24.5],0
a3,1,0.059709,3.545455,[16 16] ; [24  9],[19.69230769 12.30769231] ; [20.30769231 12.69230769],0
b5,1,0.084266,2.980645,[21 12] ; [14 19],[17.5 15.5] ; [17.5 15.5],0
b1,1,0.097254,2.75,[ 6 27] ; [12 21],[ 9. 24.] ; [ 9. 24.],0
s6,1,0.121741,2.394775,[24  9] ; [29  4],[26.5  6.5] ; [26.5  6.5],0
p1,1,0.13057,2.285714,[ 2 30] ; [ 6 26],[ 4. 28.] ; [ 4. 28.],0
u3,1,0.13147,2.275064,[8 9] ; [7 2],[9.80769231 7.19230769] ; [5.19230769 3.80769231],0
p12,1,0.162852,1.947541,[ 4 29] ; [ 1 32],[ 2.5 30.5] ; [ 2.5 30.5],0
a1,1,0.162852,1.947541,[ 4 29] ; [ 1 32],[ 2.5 30.5] ; [ 2.5 30.5],0
a2,1,0.169686,1.885714,[ 3 30] ; [ 7 26],[ 5. 28.] ; [ 5. 28.],0
b4,1,0.174051,1.847704,[21 12] ; [26  7],[23.5  9.5] ; [23.5  9.5],0
v4,1,0.185104,1.756164,[30  1] ; [29  4],[28.578125  2.421875] ; [30.421875  2.578125],0
p11,1,0.196479,1.668352,[24  9] ; [19 14],[21.5 11.5] ; [21.5 11.5],0
s2,1,0.204526,1.609756,[18 15] ; [23 10],[20.5 12.5] ; [20.5 12.5],0
p5,1,0.213644,1.546558,[ 5 27] ; [ 2 31],[ 3.44615385 28.55384615] ; [ 3.55384615 29.44615385],0
u2,1,0.216201,1.529412,[ 7 10] ; [6 3],[8.5 8.5] ; [4.5 4.5],0
p7,1,0.219078,1.510404,[15 16] ; [21 12],[17.4375 13.5625] ; [18.5625 14.4375],0
s3,1,0.261398,1.261337,[18 14] ; [23 10],[20.18461538 11.81538462] ; [20.81538462 12.18461538],0
s1,1,0.302187,1.064516,[ 1 32] ; [ 3 30],[ 2. 31.] ; [ 2. 31.],0
u1,1,0.32175,0.981818,[ 4 29] ; [ 7 26],[ 5.5 27.5] ; [ 5.5 27.5],0
r4,1,0.32175,0.981818,[26  7] ; [29  4],[27.5  5.5] ; [27.5  5.5],0
d2,1,0.322748,0.977778,[13 20] ; [17 16],[15. 18.] ; [15. 18.],0
p4,1,0.324534,0.970588,[14 19] ; [18 15],[16. 17.] ; [16. 17.],0
p10,1,0.34149,0.90483,[23  9] ; [27  6],[24.61538462  7.38461538] ; [25.38461538  7.61538462],0
n1,1,0.36131,0.833333,[3 5] ; [7 5],[4. 4.] ; [6. 6.],0
n6,1,0.369212,0.806317,[25  8] ; [21 11],[23.35384615  9.64615385] ; [22.64615385  9.35384615],0
d4,1,0.391805,0.733333,[29  4] ; [31  2],[30.  3.] ; [30.  3.],0
n2,1,0.443939,0.586081,[6 2] ; [7 5],[5.2 2.8] ; [7.8 4.2],0
a4,1,0.446504,0.579512,[11 22] ; [14 19],[12.5 20.5] ; [12.5 20.5],0
v1,1,0.598881,0.276686,[13 18] ; [16 17],[14.046875 16.953125] ; [14.953125 18.046875],0
p2,1,0.613518,0.255084,[25  7] ; [24  9],[24.12307692  7.87692308] ; [24.87692308  8.12307692],0
p3,1,0.621014,0.244444,[14 19] ; [16 17],[15. 18.] ; [15. 18.],0
n3,1,0.635848,0.224213,[5 3] ; [8 3],[5.47368421 2.52631579] ; [7.52631579 3.47368421],0
r2,1,0.667399,0.184659,[30  2] ; [30  3],[29.53846154  2.46153846] ; [30.46153846  2.53846154],0
p9,1,0.709782,0.138494,[27  6] ; [25  7],[26.4  6.6] ; [25.6  6.4],0
v3,1,0.784396,0.074854,[ 9 23] ; [10 22],[ 9.5 22.5] ; [ 9.5 22.5],0
a7,1,0.785729,0.073908,[23 10] ; [24  9],[23.5  9.5] ; [23.5  9.5],0
d3,1,0.791568,0.069841,[22 11] ; [23 10],[22.5 10.5] ; [22.5 10.5],0
d1,1,0.80519,0.060829,[17 16] ; [18 15],[17.5 15.5] ; [17.5 15.5],0
a6,1,0.805541,0.060606,[16 17] ; [17 16],[16.5 16.5] ; [16.5 16.5],0
p8,1,0.914065,0.011645,[14 19] ; [14 18],[14.21538462 18.78461538] ; [13.78461538 18.21538462],0
r1,1,0.93409,0.006839,[22 10] ; [23 10],[22.15384615  9.84615385] ; [22.84615385 10.15384615],0
a5,1,1.0,0.0,[22 11] ; [22 11],[22. 11.] ; [22. 11.],0
r3,1,1.0,0.0,[32  1] ; [32  1],[32.  1.] ; [32.  1.],0
v2,1,1.0,0.0,[17 16] ; [17 16],[17. 16.] ; [17. 16.],0
