Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.009545,6.717902,[ 2 19] ; [60 97],[ 7.31460674 13.68539326] ; [ 54.68539326 102.31460674],0
b2,1,0.009545,6.717902,[ 2 19] ; [60 97],[ 7.31460674 13.68539326] ; [ 54.68539326 102.31460674],0
n5,1,0.031373,4.632419,[28 17] ; [191  56],[33.75 11.25] ; [185.25  61.75],0
s2,1,0.042292,4.123472,[36  9] ; [160  88],[30.10238908 14.89761092] ; [165.89761092  82.10238908],0
s6,1,0.047931,3.9124,[39  6] ; [179  67],[33.71134021 11.28865979] ; [184.28865979  61.71134021],0
v1,1,0.070033,3.282244,[15 29] ; [115 120],[20.50179211 23.49820789] ; [109.49820789 125.50179211],0
n2,1,0.085435,2.958361,[4 5] ; [43 16],[6.22058824 2.77941176] ; [40.77941176 18.22058824],0
a8,1,0.090682,2.862224,[ 3 39] ; [ 41 193],[ 6.69565217 35.30434783] ; [ 37.30434783 196.69565217],0
u3,1,0.108546,2.575269,[11  3] ; [44 35],[8.27956989 5.72043011] ; [46.72043011 32.27956989],0
u1,1,0.131417,2.27569,[11 34] ; [ 38 210],[ 7.52559727 37.47440273] ; [ 41.47440273 206.52559727],0
v2,1,0.133255,2.254165,[18 25] ; [126 106],[22.51636364 20.48363636] ; [121.48363636 110.51636364],0
n4,1,0.152336,2.048704,[31 14] ; [195  53],[34.70989761 10.29010239] ; [191.29010239  56.70989761],0
p12,1,0.159077,1.982978,[ 1 44] ; [ 20 226],[ 3.24742268 41.75257732] ; [ 17.75257732 228.24742268],0
v3,1,0.173293,1.854219,[12 32] ; [ 89 145],[15.98561151 28.01438849] ; [ 85.01438849 148.98561151],0
a6,1,0.174203,1.846399,[34 11] ; [161  86],[30.05136986 14.94863014] ; [164.94863014  82.05136986],0
p3,1,0.180025,1.79742,[25 20] ; [110 136],[20.87628866 24.12371134] ; [114.12371134 131.87628866],0
n3,1,0.217285,1.522216,[8 1] ; [40 18],[6.44776119 2.55223881] ; [41.55223881 16.44776119],0
p5,1,0.224299,1.476653,[ 1 44] ; [ 17 226],[ 2.8125 42.1875] ; [ 15.1875 227.8125],0
r1,1,0.232588,1.424965,[39  6] ; [195  52],[36.06164384  8.93835616] ; [197.93835616  49.06164384],0
n1,1,0.234725,1.411996,[2 7] ; [25 33],[3.62686567 5.37313433] ; [23.37313433 34.62686567],0
b4,1,0.260889,1.264031,[23 22] ; [149  99],[26.41638225 18.58361775] ; [145.58361775 102.41638225],0
d3,1,0.31025,1.029611,[33 12] ; [162  85],[30.05136986 14.94863014] ; [164.94863014  82.05136986],0
a2,1,0.325626,0.966213,[12 33] ; [ 50 198],[ 9.5221843 35.4778157] ; [ 52.4778157 195.5221843],0
n6,1,0.351498,0.868042,[32 12] ; [196  52],[34.35616438  9.64383562] ; [193.64383562  54.35616438],0
p9,1,0.360962,0.834543,[33 11] ; [200  47],[35.23024055  8.76975945] ; [197.76975945  49.23024055],0
a1,1,0.382278,0.763363,[ 1 44] ; [ 13 235],[ 2.15017065 42.84982935] ; [ 11.84982935 236.15017065],0
d5,1,0.399672,0.709312,[36  9] ; [183  64],[33.75 11.25] ; [185.25  61.75],0
s7,1,0.433639,0.613058,[26 17] ; [128 109],[23.65 19.35] ; [130.35 106.65],0
p8,1,0.45382,0.561093,[22 22] ; [108 138],[19.72413793 24.27586207] ; [110.27586207 135.72413793],0
a7,1,0.461897,0.541294,[30 15] ; [178  69],[32.05479452 12.94520548] ; [175.94520548  71.05479452],0
r4,1,0.467814,0.527136,[38  7] ; [219  29],[39.47098976  5.52901024] ; [217.52901024  30.47098976],0
r2,1,0.490595,0.475222,[41  4] ; [230  15],[42.05172414  2.94827586] ; [228.94827586  16.05172414],0
d2,1,0.492542,0.470968,[19 26] ; [118 129],[21.1130137 23.8869863] ; [115.8869863 131.1130137],0
b5,1,0.51471,0.424479,[29 16] ; [147 101],[27.03071672 17.96928328] ; [148.96928328  99.03071672],0
v4,1,0.559247,0.34101,[42  2] ; [229  17],[41.11724138  2.88275862] ; [229.88275862  16.11724138],0
