Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,3.4e-05,17.174867,[21  5] ; [35 64],[11.648 14.352] ; [44.352 54.648],1
s2,1,7e-05,15.813582,[17  9] ; [24 75],[ 8.528 17.472] ; [32.472 66.528],1
s7,1,7.9e-05,15.585715,[15 10] ; [18 73],[ 7.11206897 17.88793103] ; [25.88793103 65.11206897],1
s4,1,0.000901,11.020319,[10 16] ; [11 88],[ 4.368 21.632] ; [16.632 82.368],1
s8,1,0.002958,8.833272,[12 14] ; [18 81],[ 6.24 19.76] ; [23.76 75.24],0
s3,1,0.004601,8.03003,[19  7] ; [41 57],[12.58064516 13.41935484] ; [47.41935484 50.58064516],0
p3,1,0.008061,7.019893,[13 13] ; [23 75],[ 7.5483871 18.4516129] ; [28.4516129 69.5483871],0
v1,1,0.012458,6.244539,[14 10] ; [30 67],[ 8.72727273 15.27272727] ; [35.27272727 61.72727273],0
p2,1,0.03112,4.64633,[22  4] ; [61 37],[17.40322581  8.59677419] ; [65.59677419 32.40322581],0
d4,1,0.033462,4.521981,[23  3] ; [66 32],[18.66129032  7.33870968] ; [70.33870968 27.66129032],0
a2,1,0.047121,3.94106,[ 1 25] ; [20 79],[ 4.368 21.632] ; [16.632 82.368],0
d1,1,0.048913,3.878326,[15 11] ; [36 63],[10.608 15.392] ; [40.392 58.608],0
p10,1,0.07296,3.21514,[18  8] ; [48 49],[13.95121951 12.04878049] ; [52.04878049 44.95121951],0
d3,1,0.08099,3.044929,[19  7] ; [53 45],[15.09677419 10.90322581] ; [56.90322581 41.09677419],0
p9,1,0.090141,2.87186,[19  7] ; [53 44],[15.2195122 10.7804878] ; [56.7804878 40.2195122],0
u2,1,0.126609,2.333593,[6 1] ; [22 18],[4.17021277 2.82978723] ; [23.82978723 16.17021277],0
r3,1,0.129831,2.294526,[23  3] ; [73 25],[20.12903226  5.87096774] ; [75.87096774 22.12903226],0
d5,1,0.138821,2.190976,[21  5] ; [65 34],[17.888  8.112] ; [68.112 30.888],0
n2,1,0.163309,1.943311,[9 2] ; [23 16],[7.04 3.96] ; [24.96 14.04],0
p6,1,0.166962,1.910015,[ 8 17] ; [18 76],[ 5.46218487 19.53781513] ; [20.53781513 73.46218487],0
a4,1,0.172031,1.865154,[ 6 20] ; [37 62],[ 8.944 17.056] ; [34.056 64.944],0
a6,1,0.225501,1.469017,[14 12] ; [66 33],[16.64  9.36] ; [63.36 35.64],0
a3,1,0.227056,1.459209,[19  7] ; [59 39],[16.35483871  9.64516129] ; [61.64516129 36.35483871],0
r2,1,0.238123,1.391669,[22  3] ; [75 22],[19.87704918  5.12295082] ; [77.12295082 19.87704918],0
n1,1,0.292786,1.106765,[6 5] ; [14 24],[4.48979592 6.51020408] ; [15.51020408 22.48979592],0
n3,1,0.292786,1.106765,[5 6] ; [24 14],[6.51020408 4.48979592] ; [22.48979592 15.51020408],0
v4,1,0.301019,1.069675,[22  4] ; [72 24],[20.03278689  5.96721311] ; [73.96721311 22.03278689],0
p12,1,0.309234,1.033945,[ 1 25] ; [ 1 97],[ 0.41935484 25.58064516] ; [ 1.58064516 96.41935484],0
b5,1,0.414431,0.666053,[14 12] ; [62 37],[15.808 10.192] ; [60.192 38.808],0
r1,1,0.440807,0.59418,[17  8] ; [59 40],[15.32258065  9.67741935] ; [60.67741935 38.32258065],0
u1,1,0.457235,0.552655,[ 1 25] ; [ 8 91],[ 1.872 24.128] ; [ 7.128 91.872],0
d2,1,0.471696,0.518001,[12 14] ; [38 61],[10.4 15.6] ; [39.6 59.4],0
p8,1,0.510657,0.43272,[10 15] ; [32 65],[ 8.60655738 16.39344262] ; [33.39344262 63.60655738],0
b1,1,0.549088,0.358953,[13 13] ; [56 43],[14.352 11.648] ; [54.648 44.352],0
v2,1,0.553877,0.350418,[10 16] ; [30 63],[ 8.7394958 17.2605042] ; [31.2605042 61.7394958],0
a7,1,0.577623,0.310093,[15 11] ; [63 36],[16.224  9.776] ; [61.776 37.224],0
r4,1,0.590534,0.289511,[17  9] ; [59 40],[15.808 10.192] ; [60.192 38.808],0
p4,1,0.602561,0.27115,[11 15] ; [36 62],[ 9.85483871 16.14516129] ; [37.14516129 60.85483871],0
b2,1,0.627241,0.235821,[ 6 13] ; [15 43],[ 5.18181818 13.81818182] ; [15.81818182 42.18181818],0
b3,1,0.627241,0.235821,[ 6 13] ; [15 43],[ 5.18181818 13.81818182] ; [15.81818182 42.18181818],0
b4,1,0.638237,0.221056,[15 11] ; [52 47],[13.936 12.064] ; [53.064 45.936],0
p7,1,0.696553,0.152083,[14 11] ; [48 45],[13.13559322 11.86440678] ; [48.86440678 44.13559322],0
a8,1,0.733029,0.116348,[ 3 22] ; [ 9 84],[ 2.54237288 22.45762712] ; [ 9.45762712 83.54237288],0
p1,1,0.772072,0.083906,[ 2 24] ; [ 6 92],[ 1.67741935 24.32258065] ; [ 6.32258065 91.67741935],0
a5,1,0.832323,0.044827,[14 12] ; [51 48],[13.52 12.48] ; [51.48 47.52],0
a1,1,0.913104,0.011908,[ 2 24] ; [ 7 92],[ 1.872 24.128] ; [ 7.128 91.872],0
p11,1,0.934436,0.006768,[15 11] ; [58 41],[15.184 10.816] ; [57.816 41.184],0
p5,1,0.956726,0.002944,[ 1 25] ; [ 4 94],[ 1.0483871 24.9516129] ; [ 3.9516129 94.0483871],0
n4,1,0.977438,0.0008,[12 14] ; [46 53],[12.064 13.936] ; [45.936 53.064],0
n5,1,0.982764,0.000467,[12 14] ; [45 52],[12.04878049 13.95121951] ; [44.95121951 52.04878049],0
u3,1,0.985933,0.000311,[4 3] ; [23 17],[4.0212766 2.9787234] ; [22.9787234 17.0212766],0
