Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,35.231948,[198  55] ; [38 48],[176.12979351  76.87020649] ; [59.87020649 26.12979351],1
d3,1,0.0,32.304246,[195  58] ; [38 48],[173.89085546  79.10914454] ; [59.10914454 26.89085546],1
a2,1,0.0002,13.830619,[ 70 184] ; [ 7 79],[ 57.52352941 196.47647059] ; [19.47647059 66.52352941],1
u1,1,0.00032,12.950073,[ 55 199] ; [ 4 82],[ 44.07647059 209.92352941] ; [14.92352941 71.07647059],1
r4,1,0.000823,11.187638,[236  18] ; [69 17],[227.85294118  26.14705882] ; [77.14705882  8.85294118],1
d4,1,0.001224,10.454025,[214  39] ; [59 27],[203.74336283  49.25663717] ; [69.25663717 16.74336283],0
u3,1,0.001554,10.013848,[57 25] ; [10 18],[49.94545455 32.05454545] ; [17.05454545 10.94545455],0
r2,1,0.001819,9.723573,[241  11] ; [72 12],[234.75  17.25] ; [78.25  5.75],0
v4,1,0.002168,9.401462,[246   8] ; [75 10],[240.51327434  13.48672566] ; [80.48672566  4.51327434],0
r1,1,0.002566,9.092993,[214  39] ; [60 26],[204.48967552  48.51032448] ; [69.51032448 16.48967552],0
d1,1,0.004451,8.089947,[154 100] ; [37 49],[142.68823529 111.31176471] ; [48.31176471 37.68823529],0
b1,1,0.016731,5.724336,[ 90 164] ; [43 43],[ 99.35882353 154.64117647] ; [33.64117647 52.35882353],0
u2,1,0.020285,5.387239,[58 24] ; [13 15],[52.92727273 29.07272727] ; [18.07272727  9.92727273],0
s8,1,0.022699,5.191415,[117 136] ; [52 34],[126.12684366 126.87315634] ; [42.87315634 43.12684366],0
d5,1,0.024325,5.071308,[213  40] ; [63 23],[205.98230088  47.01769912] ; [70.01769912 15.98230088],0
b4,1,0.024854,5.034007,[159  95] ; [42 44],[150.15882353 103.84117647] ; [50.84117647 35.15882353],0
v3,1,0.045229,4.010093,[ 85 157] ; [39 43],[ 92.61728395 149.38271605] ; [31.38271605 50.61728395],0
b5,1,0.060841,3.514301,[173  81] ; [49 37],[165.84705882  88.15294118] ; [56.15294118 29.84705882],0
p2,1,0.064434,3.419414,[215  38] ; [64 20],[209.45697329  43.54302671] ; [69.54302671 14.45697329],0
p5,1,0.07181,3.241158,[ 15 237] ; [10 74],[ 18.75 233.25] ; [ 6.25 77.75],0
r3,1,0.079033,3.084684,[246   7] ; [80  6],[243.2979351   9.7020649] ; [82.7020649  3.2979351],0
v2,1,0.100451,2.698373,[141 102] ; [38 42],[134.66563467 108.33436533] ; [44.33436533 35.66563467],0
a4,1,0.107102,2.596477,[108 144] ; [28 57],[101.69732938 150.30267062] ; [34.30267062 50.69732938],0
n1,1,0.129059,2.303792,[17 37] ; [11 11],[19.89473684 34.10526316] ; [ 8.10526316 13.89473684],0
n4,1,0.134766,2.236727,[193  61] ; [72 14],[197.97058824  56.02941176] ; [67.02941176 18.97058824],0
s7,1,0.166601,1.913263,[121 123] ; [49 35],[126.46341463 117.53658537] ; [43.53658537 40.46341463],0
n2,1,0.197229,1.662775,[40 14] ; [13  9],[37.65789474 16.34210526] ; [15.34210526  6.65789474],0
b2,1,0.212196,1.55638,[ 44 105] ; [22 35],[ 47.73786408 101.26213592] ; [18.26213592 38.73786408],0
b3,1,0.212196,1.55638,[ 44 105] ; [22 35],[ 47.73786408 101.26213592] ; [18.26213592 38.73786408],0
a8,1,0.239801,1.381763,[ 35 194] ; [ 8 72],[ 31.86731392 197.13268608] ; [11.13268608 68.86731392],0
p4,1,0.265141,1.241713,[159  95] ; [48 38],[154.64117647  99.35882353] ; [52.35882353 33.64117647],0
p7,1,0.334299,0.932173,[154  92] ; [47 36],[150.29179331  95.70820669] ; [50.70820669 32.29179331],0
n5,1,0.360208,0.83717,[190  62] ; [69 17],[193.10059172  58.89940828] ; [65.89940828 20.10059172],0
p1,1,0.371996,0.796986,[ 14 239] ; [ 7 78],[ 15.71893491 237.28106509] ; [ 5.28106509 79.71893491],0
d2,1,0.405268,0.692641,[119 134] ; [36 50],[115.67846608 137.32153392] ; [39.32153392 46.67846608],0
s2,1,0.424712,0.637241,[134 118] ; [50 36],[137.18343195 114.81656805] ; [46.81656805 39.18343195],0
s1,1,0.501463,0.45184,[  8 243] ; [ 4 80],[  8.99104478 242.00895522] ; [ 3.00895522 80.99104478],0
u4,1,0.581191,0.304314,[  9 245] ; [ 2 84],[  8.21764706 245.78235294] ; [ 2.78235294 83.21764706],0
n6,1,0.607305,0.264118,[212  41] ; [70 16],[210.46017699  42.53982301] ; [71.53982301 14.46017699],0
a1,1,0.629488,0.232755,[ 12 242] ; [ 3 83],[ 11.20588235 242.79411765] ; [ 3.79411765 82.20588235],0
v1,1,0.644329,0.213124,[133 110] ; [43 40],[131.19018405 111.80981595] ; [44.80981595 38.19018405],0
p11,1,0.656301,0.198048,[198  56] ; [69 17],[199.46470588  54.53529412] ; [67.53529412 18.46470588],0
p8,1,0.660148,0.193344,[123 127] ; [39 45],[121.25748503 128.74251497] ; [40.74251497 43.25748503],0
a5,1,0.691603,0.157355,[180  74] ; [59 27],[178.54705882  75.45294118] ; [60.45294118 25.54705882],0
p12,1,0.720457,0.128055,[ 18 236] ; [ 5 79],[ 17.28402367 236.71597633] ; [ 5.71597633 78.28402367],0
n3,1,0.724663,0.124069,[39 15] ; [15  7],[38.36842105 15.63157895] ; [15.63157895  6.36842105],0
s3,1,0.752843,0.099157,[161  89] ; [57 29],[162.20238095  87.79761905] ; [55.79761905 30.20238095],0
s4,1,0.790375,0.070663,[ 41 210] ; [13 73],[ 40.21958457 210.78041543] ; [13.78041543 72.21958457],0
p3,1,0.824789,0.049014,[119 135] ; [41 44],[119.8820059 134.1179941] ; [40.1179941 44.8820059],0
p9,1,0.834838,0.043473,[210  42] ; [70 15],[209.3768546  42.6231454] ; [70.6231454 14.3768546],0
a3,1,0.912729,0.012011,[169  84] ; [58 28],[169.41297935  83.58702065] ; [57.58702065 28.41297935],0
p10,1,0.925131,0.008831,[199  52] ; [67 17],[199.30149254  51.69850746] ; [66.69850746 17.30149254],0
p6,1,0.946609,0.004484,[ 83 169] ; [28 56],[ 83.25 168.75] ; [27.75 56.25],0
