Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,6e-06,20.624266,[63 25] ; [262  27],[75.86206897 12.13793103] ; [249.13793103  39.86206897],1
p6,1,6.9e-05,15.832629,[21 63] ; [143 146],[36.93297587 47.06702413] ; [127.06702413 161.93297587],1
d3,1,7.5e-05,15.673004,[45 43] ; [214  77],[60.13720317 27.86279683] ; [198.86279683  92.13720317],1
p8,1,0.000283,13.178627,[39 48] ; [192  97],[53.44946809 33.55053191] ; [177.55053191 111.44946809],1
n6,1,0.000323,12.934796,[63 24] ; [256  34],[73.61538462 13.38461538] ; [245.38461538  44.61538462],1
p10,1,0.004345,8.133632,[64 23] ; [250  39],[72.65425532 14.34574468] ; [241.34574468  47.65425532],0
s6,1,0.004421,8.102292,[49 38] ; [208  79],[59.78342246 27.21657754] ; [197.21657754  89.78342246],0
p9,1,0.004569,8.042667,[67 20] ; [258  32],[75. 12.] ; [250.  40.],0
d1,1,0.005522,7.700161,[43 45] ; [190 101],[54.10026385 33.89973615] ; [178.89973615 112.10026385],0
n5,1,0.007204,7.221384,[56 31] ; [227  62],[65.48138298 21.51861702] ; [217.51861702  71.48138298],0
p11,1,0.009521,6.722451,[61 27] ; [239  52],[69.65699208 18.34300792] ; [230.34300792  60.65699208],0
a7,1,0.028846,4.776756,[55 33] ; [216  74],[63.08994709 24.91005291] ; [207.91005291  82.08994709],0
r3,1,0.029472,4.739812,[80  8] ; [280  10],[83.80952381  4.19047619] ; [276.19047619  13.80952381],0
d5,1,0.030921,4.657318,[67 21] ; [249  41],[73.56613757 14.43386243] ; [242.43386243  47.56613757],0
s2,1,0.036406,4.378007,[38 50] ; [161 127],[46.57446809 41.42553191] ; [152.42553191 135.57446809],0
r1,1,0.040438,4.19943,[63 24] ; [239  51],[69.69230769 17.30769231] ; [232.30769231  57.69230769],0
p1,1,0.048962,3.876644,[12 76] ; [ 20 268],[ 7.4893617 80.5106383] ; [ 24.5106383 263.4893617],0
n4,1,0.093107,2.819814,[64 23] ; [238  53],[69.50793651 17.49206349] ; [232.49206349  58.50793651],0
r2,1,0.097672,2.74315,[87  1] ; [273  15],[84.25531915  3.74468085] ; [275.74468085  12.25531915],0
s7,1,0.103639,2.648634,[38 47] ; [148 122],[44.53521127 40.46478873] ; [141.46478873 128.53521127],0
r4,1,0.149807,2.074219,[77 11] ; [269  22],[80.33773087  7.66226913] ; [265.66226913  25.33773087],0
u1,1,0.153669,2.035443,[14 74] ; [ 67 224],[18.80738786 69.19261214] ; [ 62.19261214 228.80738786],0
a5,1,0.164266,1.934505,[64 24] ; [232  59],[68.72823219 19.27176781] ; [227.27176781  63.72823219],0
