Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,2e-06,22.857143,[ 1 27] ; [9 3],[ 7. 21.] ; [3. 9.],1
s3,1,0.001203,10.485597,[ 4 23] ; [8 4],[ 8.30769231 18.69230769] ; [3.69230769 8.30769231],0
p9,1,0.004214,8.189015,[12 16] ; [11  1],[16.1 11.9] ; [6.9 5.1],0
s2,1,0.006398,7.434716,[ 3 25] ; [6 6],[ 6.3 21.7] ; [2.7 9.3],0
p2,1,0.015994,5.803571,[ 9 18] ; [9 3],[12.46153846 14.53846154] ; [5.53846154 6.46153846],0
s6,1,0.024212,5.079365,[ 8 20] ; [8 4],[11.2 16.8] ; [4.8 7.2],0
a2,1,0.024915,5.029762,[ 3 25] ; [5 7],[ 5.6 22.4] ; [2.4 9.6],0
n2,1,0.027439,4.862981,[5 8] ; [7 1],[7.42857143 5.57142857] ; [4.57142857 3.42857143],0
p4,1,0.029985,4.710145,[ 8 19] ; [8 4],[11.07692308 15.92307692] ; [4.92307692 7.07692308],0
p10,1,0.030489,4.681525,[13 15] ; [10  2],[16.1 11.9] ; [6.9 5.1],0
u1,1,0.038434,4.285714,[ 1 27] ; [3 9],[ 2.8 25.2] ; [ 1.2 10.8],0
a6,1,0.048607,3.888889,[14 14] ; [10  2],[16.8 11.2] ; [7.2 4.8],0
a7,1,0.048607,3.888889,[14 14] ; [10  2],[16.8 11.2] ; [7.2 4.8],0
p6,1,0.05738,3.611538,[ 4 24] ; [5 7],[ 6.3 21.7] ; [2.7 9.3],0
d2,1,0.062163,3.478704,[14 13] ; [10  2],[16.61538462 10.38461538] ; [7.38461538 4.61538462],0
p5,1,0.095108,2.785714,[ 3 24] ; [4 8],[ 4.84615385 22.15384615] ; [2.15384615 9.84615385],0
d3,1,0.111509,2.532705,[16 12] ; [10  2],[18.2  9.8] ; [7.8 4.2],0
p11,1,0.121274,2.400794,[ 9 19] ; [7 5],[11.2 16.8] ; [4.8 7.2],0
r4,1,0.167546,1.904762,[ 4 24] ; [4 8],[ 5.6 22.4] ; [2.4 9.6],0
v3,1,0.18897,1.725631,[ 6 22] ; [5 7],[ 7.7 20.3] ; [3.3 8.7],0
v1,1,0.192884,1.695447,[ 8 20] ; [6 6],[ 9.8 18.2] ; [4.2 7.8],0
d1,1,0.204894,1.607143,[15 13] ; [9 3],[16.8 11.2] ; [7.2 4.8],0
n6,1,0.249325,1.327083,[15 12] ; [9 3],[16.61538462 10.38461538] ; [7.38461538 4.61538462],0
n1,1,0.284117,1.14729,[5 8] ; [5 3],[6.19047619 6.80952381] ; [3.80952381 4.19047619],0
v4,1,0.315117,1.009106,[19  9] ; [10  2],[20.3  7.7] ; [8.7 3.3],0
d4,1,0.31786,0.997732,[22  6] ; [11  1],[23.1  4.9] ; [9.9 2.1],0
s5,1,0.336449,0.923914,[ 6 22] ; [4 7],[ 7.17948718 20.82051282] ; [2.82051282 8.17948718],0
v2,1,0.417753,0.656627,[ 8 20] ; [5 7],[ 9.1 18.9] ; [3.9 8.1],0
p8,1,0.417753,0.656627,[ 8 20] ; [5 7],[ 9.1 18.9] ; [3.9 8.1],0
n5,1,0.425556,0.634921,[20  8] ; [10  2],[21.  7.] ; [9. 3.],0
a5,1,0.425556,0.634921,[20  8] ; [10  2],[21.  7.] ; [9. 3.],0
b5,1,0.442631,0.589453,[15 13] ; [8 4],[16.1 11.9] ; [6.9 5.1],0
p3,1,0.461743,0.541667,[ 8 19] ; [5 7],[ 9. 18.] ; [4. 8.],0
a3,1,0.507335,0.43956,[18 10] ; [9 3],[18.9  9.1] ; [8.1 3.9],0
b2,1,0.523094,0.407788,[ 7 11] ; [3 8],[ 6.20689655 11.79310345] ; [3.79310345 7.20689655],0
b3,1,0.523094,0.407788,[ 7 11] ; [3 8],[ 6.20689655 11.79310345] ; [3.79310345 7.20689655],0
p7,1,0.565801,0.329759,[ 7 19] ; [4 7],[ 7.72972973 18.27027027] ; [3.27027027 7.72972973],0
p1,1,0.601921,0.272109,[ 3 25] ; [ 2 10],[ 3.5 24.5] ; [ 1.5 10.5],0
s4,1,0.604773,0.267857,[ 5 23] ; [3 9],[ 5.6 22.4] ; [2.4 9.6],0
u2,1,0.611541,0.257937,[5 5] ; [2 1],[5.38461538 4.61538462] ; [1.61538462 1.38461538],0
r1,1,0.677318,0.17316,[12 16] ; [6 6],[12.6 15.4] ; [5.4 6.6],0
a4,1,0.707852,0.140432,[14 13] ; [7 5],[14.53846154 12.46153846] ; [6.46153846 5.53846154],0
b4,1,0.72158,0.126984,[18 10] ; [7 5],[17.5 10.5] ; [7.5 4.5],0
b1,1,0.72158,0.126984,[18 10] ; [7 5],[17.5 10.5] ; [7.5 4.5],0
n4,1,0.763285,0.090703,[20  8] ; [8 4],[19.6  8.4] ; [8.4 3.6],0
r2,1,0.785704,0.073926,[20  6] ; [8 3],[19.67567568  6.32432432] ; [8.32432432 2.67567568],0
u3,1,0.835099,0.043333,[6 4] ; [2 1],[6.15384615 3.84615385] ; [1.84615385 1.15384615],0
s1,1,0.895778,0.01716,[ 2 26] ; [ 1 11],[ 2.1 25.9] ; [ 0.9 11.1],0
n3,1,0.964854,0.001942,[5 8] ; [3 5],[4.95238095 8.04761905] ; [3.04761905 4.95238095],0
