Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,0.01721,5.674877,[5 7] ; [ 2 22],[2.33333333 9.66666667] ; [ 4.66666667 19.33333333],0
p2,1,0.033895,4.5,[9 3] ; [ 9 15],[6. 6.] ; [12. 12.],0
s3,1,0.074462,3.181818,[2 9] ; [12 12],[4.4 6.6] ; [ 9.6 14.4],0
v3,1,0.10247,2.666667,[5 7] ; [ 4 20],[3. 9.] ; [ 6. 18.],0
a4,1,0.133614,2.25,[6 6] ; [ 6 18],[4. 8.] ; [ 8. 16.],0
a5,1,0.133614,2.25,[10  2] ; [14 10],[8. 4.] ; [16.  8.],0
d4,1,0.133614,2.25,[6 6] ; [18  6],[8. 4.] ; [16.  8.],0
p4,1,0.133614,2.25,[6 6] ; [ 6 18],[4. 8.] ; [ 8. 16.],0
p9,1,0.138154,2.198403,[8 3] ; [11 13],[5.97142857 5.02857143] ; [13.02857143 10.97142857],0
s7,1,0.151317,2.058924,[4 7] ; [ 3 18],[2.40625 8.59375] ; [ 4.59375 16.40625],0
v2,1,0.151494,2.057143,[7 5] ; [ 8 16],[5. 7.] ; [10. 14.],0
s4,1,0.200825,1.636364,[ 2 10] ; [ 1 23],[ 1. 11.] ; [ 2. 22.],0
p1,1,0.200825,1.636364,[ 2 10] ; [ 1 23],[ 1. 11.] ; [ 2. 22.],0
b1,1,0.237867,1.393189,[8 4] ; [11 13],[6.33333333 5.66666667] ; [12.66666667 11.33333333],0
p6,1,0.256839,1.285714,[4 8] ; [ 4 20],[2.66666667 9.33333333] ; [ 5.33333333 18.66666667],0
p3,1,0.256839,1.285714,[4 8] ; [ 4 20],[2.66666667 9.33333333] ; [ 5.33333333 18.66666667],0
a3,1,0.26012,1.268116,[10  2] ; [15  8],[8.57142857 3.42857143] ; [16.42857143  6.57142857],0
r4,1,0.33355,0.935065,[6 6] ; [ 8 16],[4.66666667 7.33333333] ; [ 9.33333333 14.66666667],0
r1,1,0.345033,0.891641,[7 5] ; [10 14],[5.66666667 6.33333333] ; [11.33333333 12.66666667],0
p8,1,0.391249,0.735058,[5 7] ; [ 6 16],[3.88235294 8.11764706] ; [ 7.11764706 14.88235294],0
d3,1,0.473289,0.514286,[8 4] ; [13 11],[7. 5.] ; [14. 10.],0
p10,1,0.477688,0.504137,[6 5] ; [10 14],[5.02857143 5.97142857] ; [10.97142857 13.02857143],0
b3,1,0.484423,0.488889,[2 8] ; [4 8],[2.72727273 7.27272727] ; [3.27272727 8.72727273],0
b2,1,0.484423,0.488889,[2 8] ; [4 8],[2.72727273 7.27272727] ; [3.27272727 8.72727273],0
a8,1,0.490021,0.47648,[2 9] ; [ 7 17],[2.82857143 8.17142857] ; [ 6.17142857 17.82857143],0
s6,1,0.490843,0.474677,[5 6] ; [ 8 16],[4.08571429 6.91428571] ; [ 8.91428571 15.08571429],0
r2,1,0.560891,0.338164,[8 4] ; [13 10],[7.2 4.8] ; [13.8  9.2],0
p11,1,0.635256,0.225,[6 6] ; [10 14],[5.33333333 6.66666667] ; [10.66666667 13.33333333],0
b5,1,0.636831,0.22291,[7 5] ; [12 12],[6.33333333 5.66666667] ; [12.66666667 11.33333333],0
s2,1,0.65564,0.198864,[2 9] ; [ 6 18],[2.51428571 8.48571429] ; [ 5.48571429 18.51428571],0
u2,1,0.657619,0.196429,[1 1] ; [3 6],[0.72727273 1.27272727] ; [3.27272727 5.72727273],0
s1,1,0.70766,0.140625,[ 1 11] ; [ 3 21],[ 1.33333333 10.66666667] ; [ 2.66666667 21.33333333],0
a1,1,0.70766,0.140625,[ 1 11] ; [ 3 21],[ 1.33333333 10.66666667] ; [ 2.66666667 21.33333333],0
s8,1,0.776814,0.080357,[3 9] ; [ 5 19],[2.66666667 9.33333333] ; [ 5.33333333 18.66666667],0
d5,1,0.776814,0.080357,[9 3] ; [19  5],[9.33333333 2.66666667] ; [18.66666667  5.33333333],0
n4,1,0.806179,0.060201,[8 4] ; [15  9],[7.66666667 4.33333333] ; [15.33333333  8.66666667],0
a6,1,0.806179,0.060201,[8 4] ; [15  9],[7.66666667 4.33333333] ; [15.33333333  8.66666667],0
n5,1,0.808976,0.058442,[7 5] ; [15  9],[7.33333333 4.66666667] ; [14.66666667  9.33333333],0
s5,1,0.85554,0.033144,[2 9] ; [ 5 19],[2.2 8.8] ; [ 4.8 19.2],0
r3,1,0.886436,0.020396,[8 3] ; [18  6],[8.17142857 2.82857143] ; [17.82857143  6.17142857],0
n6,1,0.902785,0.014919,[6 6] ; [11 12],[5.82857143 6.17142857] ; [11.17142857 11.82857143],0
u1,1,1.0,0.0,[ 1 11] ; [ 2 22],[ 1. 11.] ; [ 2. 22.],0
d2,1,1.0,0.0,[6 6] ; [12 12],[6. 6.] ; [12. 12.],0
d1,1,1.0,0.0,[5 7] ; [10 14],[5. 7.] ; [10. 14.],0
p7,1,1.0,0.0,[4 8] ; [ 8 16],[4. 8.] ; [ 8. 16.],0
b4,1,1.0,0.0,[9 3] ; [18  6],[9. 3.] ; [18.  6.],0
