Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,1e-05,19.501323,[60  1] ; [8 5],[56.05405405  4.94594595] ; [11.94594595  1.05405405],1
r1,1,0.000599,11.778763,[48 13] ; [4 9],[42.86486486 18.13513514] ; [9.13513514 3.86486486],1
p9,1,0.003619,8.465513,[52  7] ; [7 6],[48.34722222 10.65277778] ; [10.65277778  2.34722222],0
v4,1,0.003832,8.361677,[58  3] ; [9 4],[55.22972973  5.77027027] ; [11.77027027  1.22972973],0
n3,1,0.006027,7.542088,[17  5] ; [1 5],[14.14285714  7.85714286] ; [3.85714286 2.14285714],0
s6,1,0.010562,6.537534,[52  9] ; [7 6],[48.63513514 12.36486486] ; [10.36486486  2.63513514],0
b1,1,0.027772,4.842168,[22 39] ; [9 4],[25.55405405 35.44594595] ; [5.44594595 7.55405405],0
s3,1,0.119593,2.42264,[42 19] ; [6 7],[39.56756757 21.43243243] ; [8.43243243 4.56756757],0
s8,1,0.152123,2.050831,[41 20] ; [6 7],[38.74324324 22.25675676] ; [8.25675676 4.74324324],0
d4,1,0.179038,1.805594,[46 15] ; [12  1],[47.81081081 13.18918919] ; [10.18918919  2.81081081],0
s2,1,0.18992,1.718241,[40 21] ; [6 7],[37.91891892 23.08108108] ; [8.08108108 4.91891892],0
a5,1,0.18992,1.718241,[40 21] ; [6 7],[37.91891892 23.08108108] ; [8.08108108 4.91891892],0
p8,1,0.205903,1.6,[28 32] ; [8 4],[30. 30.] ; [6. 6.],0
s4,1,0.233135,1.421629,[22 39] ; [7 6],[23.90540541 37.09459459] ; [5.09459459 7.90540541],0
n6,1,0.260997,1.263462,[42 18] ; [7 6],[40.2739726 19.7260274] ; [8.7260274 4.2739726],0
b2,1,0.26419,1.246667,[17 17] ; [3 7],[15.45454545 18.54545455] ; [4.54545455 5.45454545],0
b3,1,0.26419,1.246667,[17 17] ; [3 7],[15.45454545 18.54545455] ; [4.54545455 5.45454545],0
d2,1,0.269358,1.220012,[29 32] ; [4 9],[27.2027027 33.7972973] ; [5.7972973 7.2027027],0
a4,1,0.315829,1.006143,[23 38] ; [ 3 10],[21.43243243 39.56756757] ; [4.56756757 8.43243243],0
p6,1,0.338877,0.914675,[19 40] ; [6 7],[20.48611111 38.51388889] ; [4.51388889 8.48611111],0
a6,1,0.359355,0.840148,[41 20] ; [7 6],[39.56756757 21.43243243] ; [8.43243243 4.56756757],0
p4,1,0.370649,0.801486,[34 27] ; [9 4],[35.44594595 25.55405405] ; [7.55405405 5.44594595],0
a3,1,0.374441,0.788873,[45 16] ; [8 5],[43.68918919 17.31081081] ; [9.31081081 3.68918919],0
a7,1,0.377536,0.77871,[49 12] ; [9 4],[47.81081081 13.18918919] ; [10.18918919  2.81081081],0
b4,1,0.42516,0.636008,[40 21] ; [7 6],[38.74324324 22.25675676] ; [8.25675676 4.74324324],0
p11,1,0.427397,0.629887,[40 21] ; [10  3],[41.21621622 19.78378378] ; [8.78378378 4.21621622],0
p12,1,0.463812,0.53668,[ 2 59] ; [ 1 12],[ 2.47297297 58.52702703] ; [ 0.52702703 12.47297297],0
d3,1,0.492218,0.471674,[41 20] ; [10  3],[42.04054054 18.95945946] ; [8.95945946 4.04054054],0
v3,1,0.498205,0.458758,[18 37] ; [ 3 10],[16.98529412 38.01470588] ; [4.01470588 8.98529412],0
u1,1,0.498912,0.457251,[ 9 52] ; [ 1 12],[ 8.24324324 52.75675676] ; [ 1.75675676 11.24324324],0
a2,1,0.547396,0.362004,[14 47] ; [ 2 11],[13.18918919 47.81081081] ; [ 2.81081081 10.18918919],0
d5,1,0.550814,0.355862,[47 14] ; [9 4],[46.16216216 14.83783784] ; [9.83783784 3.16216216],0
p7,1,0.554006,0.350189,[39 19] ; [7 5],[38.11428571 19.88571429] ; [7.88571429 4.11428571],0
v1,1,0.562128,0.336034,[33 27] ; [6 7],[32.05479452 27.94520548] ; [6.94520548 6.05479452],0
p10,1,0.583903,0.299967,[50 10] ; [10  3],[49.31506849 10.68493151] ; [10.68493151  2.31506849],0
v2,1,0.585641,0.297203,[30 25] ; [6 7],[29.11764706 25.88235294] ; [6.88235294 6.11764706],0
p3,1,0.624145,0.240085,[28 33] ; [5 8],[27.2027027 33.7972973] ; [5.7972973 7.2027027],0
n5,1,0.682652,0.167156,[24 36] ; [6 7],[24.65753425 35.34246575] ; [5.34246575 7.65753425],0
n2,1,0.752976,0.099047,[17  5] ; [5 2],[16.68965517  5.31034483] ; [5.31034483 1.68965517],0
u3,1,0.818769,0.0525,[12  4] ; [4 1],[12.19047619  3.80952381] ; [3.80952381 1.19047619],0
p5,1,0.894408,0.017617,[ 4 56] ; [ 1 12],[ 4.10958904 55.89041096] ; [ 0.89041096 12.10958904],0
b5,1,0.900862,0.015518,[34 27] ; [7 6],[33.7972973 27.2027027] ; [7.2027027 5.7972973],0
d1,1,0.927532,0.008272,[29 32] ; [6 7],[28.85135135 32.14864865] ; [6.14864865 6.85135135],0
s5,1,0.96399,0.002038,[25 34] ; [5 7],[24.92957746 34.07042254] ; [5.07042254 6.92957746],0
p2,1,0.99217,9.6e-05,[47 14] ; [10  3],[46.98648649 14.01351351] ; [10.01351351  2.98648649],0
u2,1,1.0,0.0,[12  3] ; [4 1],[12.  3.] ; [4. 1.],0
n1,1,1.0,0.0,[ 9 12] ; [3 4],[ 9. 12.] ; [3. 4.],0
