Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,2e-06,22.51953,[173 152] ; [68 15],[191.97303922 133.02696078] ; [49.02696078 33.97303922],1
s2,1,4e-06,21.331909,[125 203] ; [55 28],[143.64963504 184.35036496] ; [36.35036496 46.64963504],1
s3,1,4e-05,16.851729,[149 176] ; [59 24],[165.68627451 159.31372549] ; [42.31372549 40.68627451],1
s5,1,0.000102,15.100504,[ 73 248] ; [34 42],[ 86.5163728 234.4836272] ; [20.4836272 55.5163728],1
b3,1,0.005379,7.747268,[ 62 126] ; [ 5 38],[ 54.52813853 133.47186147] ; [12.47186147 30.52813853],0
b2,1,0.005379,7.747268,[ 62 126] ; [ 5 38],[ 54.52813853 133.47186147] ; [12.47186147 30.52813853],0
s7,1,0.005411,7.73654,[124 189] ; [46 35],[135.05076142 177.94923858] ; [34.94923858 46.05076142],0
a8,1,0.00985,6.661811,[ 38 266] ; [ 2 77],[ 31.74934726 272.25065274] ; [ 8.25065274 70.74934726],0
p6,1,0.017884,5.607432,[ 85 240] ; [33 51],[ 93.76528117 231.23471883] ; [24.23471883 59.76528117],0
n4,1,0.030449,4.683767,[236  93] ; [50 34],[227.83050847 101.16949153] ; [58.16949153 25.83050847],0
n3,1,0.03797,4.306367,[68 32] ; [23  3],[72.22222222 27.77777778] ; [18.77777778  7.22222222],0
r4,1,0.056381,3.640776,[292  37] ; [68 16],[286.77966102  42.22033898] ; [73.22033898 10.77966102],0
d3,1,0.07642,3.139442,[210 116] ; [62 21],[216.80195599 109.19804401] ; [55.19804401 27.80195599],0
s8,1,0.133263,2.254077,[108 220] ; [35 49],[113.84466019 214.15533981] ; [29.15533981 54.84466019],0
p5,1,0.140879,2.168331,[ 27 300] ; [ 3 81],[ 23.86861314 303.13138686] ; [ 6.13138686 77.86861314],0
u3,1,0.201427,1.631998,[54 52] ; [21 12],[57.1942446 48.8057554] ; [17.8057554 15.1942446],0
n2,1,0.222792,1.486295,[70 32] ; [21  5],[72.515625 29.484375] ; [18.484375  7.515625],0
