Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,4e-06,21.341084,[193  93] ; [ 7 22],[181.58730159 104.41269841] ; [18.41269841 10.58730159],1
d3,1,1.5e-05,18.763832,[226  60] ; [13 17],[216.31012658  69.68987342] ; [22.68987342  7.31012658],1
p7,1,0.000297,13.092227,[223  61] ; [14 15],[215.04153355  68.95846645] ; [21.95846645  7.04153355],1
n4,1,0.001051,10.734716,[240  45] ; [18 12],[233.42857143  51.57142857] ; [24.57142857  5.42857143],0
p6,1,0.010172,6.604589,[150 135] ; [ 8 21],[143.40764331 141.59235669] ; [14.59235669 14.40764331],0
a6,1,0.013992,6.039122,[197  89] ; [14 16],[190.96835443  95.03164557] ; [20.03164557  9.96835443],0
p10,1,0.015686,5.837748,[245  38] ; [21  9],[240.50479233  42.49520767] ; [25.49520767  4.50479233],0
p9,1,0.015703,5.835789,[253  32] ; [22  8],[248.80952381  36.19047619] ; [26.19047619  3.80952381],0
r2,1,0.021265,5.304908,[272  11] ; [26  4],[269.43769968  13.56230032] ; [28.56230032  1.43769968],0
s5,1,0.045178,4.011984,[128 144] ; [ 8 21],[122.89700997 149.10299003] ; [13.10299003 15.89700997],0
p3,1,0.047712,3.920114,[202  83] ; [16 14],[197.23809524  87.76190476] ; [20.76190476  9.23809524],0
p11,1,0.053543,3.726886,[233  53] ; [20 10],[228.98101266  57.01898734] ; [24.01898734  5.98101266],0
d4,1,0.057649,3.603776,[246  39] ; [22  8],[242.47619048  42.52380952] ; [25.52380952  4.47619048],0
v4,1,0.062581,3.467626,[276   9] ; [27  3],[274.14285714  10.85714286] ; [28.85714286  1.14285714],0
s6,1,0.085524,2.956664,[246  34] ; [23  7],[242.96774194  37.03225806] ; [26.03225806  3.96774194],0
a7,1,0.091313,2.85107,[212  73] ; [18 12],[208.0952381  76.9047619] ; [21.9047619  8.0952381],0
n1,1,0.112799,2.514564,[21 26] ; [6 2],[23.07272727 23.92727273] ; [3.92727273 4.07272727],0
a2,1,0.141103,2.165893,[ 84 202] ; [ 5 25],[ 80.55063291 205.44936709] ; [ 8.44936709 21.55063291],0
s7,1,0.155497,2.017484,[194  78] ; [17 12],[190.67109635  81.32890365] ; [20.32890365  8.67109635],0
n6,1,0.163115,1.945106,[252  32] ; [24  6],[249.63057325  34.36942675] ; [26.36942675  3.63057325],0
n5,1,0.196354,1.66929,[237  49] ; [22  8],[234.41139241  51.58860759] ; [24.58860759  5.41139241],0
d1,1,0.201622,1.630589,[195  91] ; [17 13],[191.87341772  94.12658228] ; [20.12658228  9.87341772],0
a8,1,0.215271,1.535617,[ 40 227] ; [ 2 28],[ 37.75757576 229.24242424] ; [ 4.24242424 25.75757576],0
v3,1,0.248221,1.333287,[123 151] ; [ 9 18],[120.15946844 153.84053156] ; [11.84053156 15.15946844],0
r1,1,0.294025,1.1011,[239  45] ; [23  7],[236.96815287  47.03184713] ; [25.03184713  4.96815287],0
v2,1,0.294346,1.099636,[157 120] ; [14 16],[154.28990228 122.71009772] ; [16.71009772 13.28990228],0
