Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,59.492349,[103  30] ; [ 91 161],[67.01818182 65.98181818] ; [126.98181818 125.01818182],1
v1,1,4.2e-05,16.79144,[82 52] ; [103 158],[62.75949367 71.24050633] ; [122.24050633 138.75949367],1
a1,1,0.005567,7.685397,[  8 127] ; [  3 262],[  3.7125 131.2875] ; [  7.2875 257.7125],0
p5,1,0.005638,7.662614,[ 12 123] ; [  7 257],[  6.42857143 128.57142857] ; [ 12.57142857 251.42857143],0
s8,1,0.00623,7.482435,[63 71] ; [ 87 177],[50.50251256 83.49748744] ; [ 99.49748744 164.50251256],0
n4,1,0.034551,4.467215,[104  30] ; [178  86],[94.94472362 39.05527638] ; [187.05527638  76.94472362],0
s7,1,0.040596,4.192803,[62 67] ; [ 96 162],[52.66666667 76.33333333] ; [105.33333333 152.66666667],0
b4,1,0.052769,3.751205,[88 47] ; [146 119],[78.975 56.025] ; [155.025 109.975],0
d1,1,0.062716,3.464071,[80 55] ; [131 134],[71.2125 63.7875] ; [139.7875 125.2125],0
d2,1,0.067162,3.351046,[67 67] ; [107 158],[58.43609023 75.56390977] ; [115.56390977 149.43609023],0
p8,1,0.07248,3.225939,[60 71] ; [ 95 166],[51.79846939 79.20153061] ; [103.20153061 157.79846939],0
p12,1,0.074519,3.180567,[ 10 124] ; [  9 254],[  6.41309824 127.58690176] ; [ 12.58690176 250.41309824],0
s2,1,0.075163,3.166509,[73 62] ; [117 145],[64.60957179 70.39042821] ; [125.39042821 136.60957179],0
n5,1,0.098648,2.727264,[100  34] ; [175  88],[92.82115869 41.17884131] ; [182.17884131  80.82115869],0
a5,1,0.120639,2.40901,[98 37] ; [172  93],[91.125 43.875] ; [178.875  86.125],0
a3,1,0.135416,2.229287,[96 39] ; [168  96],[89.32330827 45.67669173] ; [174.67669173  89.32330827],0
s4,1,0.143432,2.140744,[ 17 117] ; [ 48 212],[ 22.10659898 111.89340102] ; [ 42.89340102 217.10659898],0
d3,1,0.173386,1.853419,[99 36] ; [176  88],[93.04511278 41.95488722] ; [181.95488722  82.04511278],0
n6,1,0.191518,1.705902,[117  18] ; [216  49],[112.3875  22.6125] ; [220.6125  44.3875],0
s6,1,0.196045,1.671598,[90 41] ; [162  99],[84.21428571 46.78571429] ; [167.78571429  93.21428571],0
u1,1,0.19962,1.645155,[ 22 113] ; [ 31 234],[ 17.8875 117.1125] ; [ 35.1125 229.8875],0
n1,1,0.203762,1.615202,[ 9 23] ; [32 46],[11.92727273 20.07272727] ; [29.07272727 48.92727273],0
a4,1,0.216073,1.530264,[60 75] ; [100 163],[54.27135678 80.72864322] ; [105.72864322 157.27135678],0
d4,1,0.235974,1.404486,[114  21] ; [210  54],[109.62406015  25.37593985] ; [214.37593985  49.62406015],0
p4,1,0.284118,1.147286,[55 77] ; [ 95 168],[50.12658228 81.87341772] ; [ 99.87341772 163.12658228],0
s5,1,0.293105,1.105306,[42 89] ; [ 69 187],[37.57364341 93.42635659] ; [ 73.42635659 182.57364341],0
b2,1,0.365111,0.820237,[29 51] ; [ 44 101],[25.95555556 54.04444444] ; [47.04444444 97.95555556],0
b3,1,0.365111,0.820237,[29 51] ; [ 44 101],[25.95555556 54.04444444] ; [47.04444444 97.95555556],0
a2,1,0.375374,0.785798,[ 30 105] ; [ 49 216],[ 26.6625 108.3375] ; [ 52.3375 212.6625],0
r1,1,0.382702,0.762005,[116  19] ; [217  46],[112.95226131  22.04773869] ; [220.04773869  42.95226131],0
p2,1,0.39187,0.733133,[103  32] ; [212  53],[106.3125  28.6875] ; [208.6875  56.3125],0
s3,1,0.462099,0.540807,[73 56] ; [139 125],[69.58778626 59.41221374] ; [142.41221374 121.58778626],0
u3,1,0.476671,0.506471,[20 18] ; [57 39],[21.8358209 16.1641791] ; [55.1641791 40.8358209],0
u2,1,0.50303,0.448538,[23 16] ; [50 45],[21.24626866 17.75373134] ; [51.75373134 43.24626866],0
u4,1,0.607192,0.264284,[  3 132] ; [  4 261],[  2.3625 132.6375] ; [  4.6375 260.3625],0
n2,1,0.647157,0.209503,[26  9] ; [61 17],[26.94690265  8.05309735] ; [60.05309735 17.94690265],0
v4,1,0.666969,0.185168,[131   4] ; [253  10],[130.25125628   4.74874372] ; [253.74874372   9.25125628],0
b1,1,0.672077,0.179183,[42 93] ; [ 88 177],[43.875 91.125] ; [ 86.125 178.875],0
d5,1,0.713348,0.134956,[106  29] ; [203  61],[104.54887218  30.45112782] ; [204.45112782  59.54887218],0
r3,1,0.766526,0.088163,[133   2] ; [259   5],[132.63157895   2.36842105] ; [259.36842105   4.63157895],0
a7,1,0.773862,0.082556,[100  35] ; [192  72],[98.79699248 36.20300752] ; [193.20300752  70.79699248],0
p10,1,0.773989,0.082461,[101  32] ; [194  66],[99.8346056 33.1653944] ; [195.1653944  64.8346056],0
a8,1,0.777163,0.080099,[ 20 101] ; [ 38 209],[ 19.07065217 101.92934783] ; [ 38.92934783 208.07065217],0
s1,1,0.826651,0.04796,[  4 127] ; [  9 250],[  4.36666667 126.63333333] ; [  8.63333333 250.36666667],0
p7,1,0.828511,0.046921,[65 63] ; [133 123],[66. 62.] ; [132. 124.],0
p9,1,0.900611,0.015597,[105  26] ; [207  53],[104.53196931  26.46803069] ; [207.46803069  52.53196931],0
b5,1,0.929784,0.007765,[86 49] ; [170  95],[86.4 48.6] ; [169.6  95.4],0
p11,1,0.948363,0.004194,[102  33] ; [201  64],[102.2625  32.7375] ; [200.7375  64.2625],0
p1,1,0.957121,0.002891,[  6 129] ; [ 12 251],[  6.10552764 128.89447236] ; [ 11.89447236 251.10552764],0
p6,1,0.968325,0.001577,[34 98] ; [ 67 195],[33.83756345 98.16243655] ; [ 67.16243655 194.83756345],0
n3,1,0.976796,0.000846,[26  9] ; [57 20],[25.9375  9.0625] ; [57.0625 19.9375],0
a6,1,0.977487,0.000796,[91 44] ; [179  86],[91.125 43.875] ; [178.875  86.125],0
r2,1,0.980106,0.000622,[130   4] ; [256   8],[129.95979899   4.04020101] ; [256.04020101   7.95979899],0
