Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,27.687627,[26 42] ; [169  63],[44.2 23.8] ; [150.8  81.2],1
n4,1,6e-06,20.379987,[32 37] ; [175  58],[47.29470199 21.70529801] ; [159.70529801  73.29470199],1
p11,1,0.000408,12.494675,[41 28] ; [187  46],[52.09271523 16.90728477] ; [175.90728477  57.09271523],1
p2,1,0.001943,9.602741,[43 24] ; [191  42],[52.26 14.74] ; [181.74  51.26],0
d1,1,0.002862,8.893568,[25 44] ; [132 101],[35.87086093 33.12913907] ; [121.12913907 111.87086093],0
p9,1,0.003147,8.720172,[41 27] ; [179  50],[50.37037037 17.62962963] ; [169.62962963  59.37037037],0
p10,1,0.003704,8.423672,[38 29] ; [174  58],[47.50501672 19.49498328] ; [164.49498328  67.50501672],0
b1,1,0.004799,7.95354,[37 32] ; [ 81 152],[26.9602649 42.0397351] ; [ 91.0397351 141.9602649],0
p7,1,0.012465,6.243513,[28 38] ; [138  93],[36.88888889 29.11111111] ; [129.11111111 101.88888889],0
p8,1,0.013132,6.151267,[22 45] ; [115 115],[30.90572391 36.09427609] ; [106.09427609 123.90572391],0
r3,1,0.020972,5.32908,[58 11] ; [216  16],[62.81063123  6.18936877] ; [211.18936877  20.81063123],0
s1,1,0.025733,4.973892,[ 4 63] ; [  3 229],[ 1.56856187 65.43143813] ; [  5.43143813 226.56856187],0
b2,1,0.031205,4.641668,[ 8 26] ; [62 80],[13.52272727 20.47727273] ; [56.47727273 85.52272727],0
b3,1,0.031205,4.641668,[ 8 26] ; [62 80],[13.52272727 20.47727273] ; [56.47727273 85.52272727],0
p4,1,0.031914,4.6031,[23 43] ; [115 116],[30.66666667 35.33333333] ; [107.33333333 123.66666667],0
u3,1,0.039677,4.231658,[15  6] ; [36 42],[10.81818182 10.18181818] ; [40.18181818 37.81818182],0
u2,1,0.044824,4.025259,[15  6] ; [36 41],[10.92857143 10.07142857] ; [40.07142857 36.92857143],0
p3,1,0.087643,2.917136,[21 45] ; [101 131],[27.02013423 38.97986577] ; [ 94.97986577 137.02013423],0
r4,1,0.091522,2.847393,[53 16] ; [199  34],[57.57615894 11.42384106] ; [194.42384106  38.57615894],0
s8,1,0.09191,2.840602,[ 9 60] ; [ 52 181],[13.93708609 55.06291391] ; [ 47.06291391 185.93708609],0
a8,1,0.100616,2.695749,[ 3 63] ; [ 24 186],[ 6.45652174 59.54347826] ; [ 20.54347826 189.45652174],0
p6,1,0.127078,2.327845,[13 52] ; [ 68 162],[17.84745763 47.15254237] ; [ 63.15254237 166.84745763],0
s3,1,0.1351,2.232904,[22 46] ; [ 54 177],[17.28428094 50.71571906] ; [ 58.71571906 172.28428094],0
d2,1,0.138498,2.194568,[25 44] ; [107 124],[30.36 38.64] ; [101.64 129.36],0
v1,1,0.18475,1.758997,[25 43] ; [105 124],[29.76430976 38.23569024] ; [100.23569024 128.76430976],0
