Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,6e-05,16.088655,[9 1] ; [ 7 27],[3.63636364 6.36363636] ; [12.36363636 21.63636364],1
a6,1,0.002243,9.339075,[8 2] ; [ 9 25],[3.86363636 6.13636364] ; [13.13636364 20.86363636],0
d2,1,0.008205,6.988235,[6 4] ; [ 6 28],[2.72727273 7.27272727] ; [ 9.27272727 24.72727273],0
a2,1,0.008885,6.845882,[3 7] ; [ 1 33],[0.90909091 9.09090909] ; [ 3.09090909 30.90909091],0
a5,1,0.012567,6.22902,[8 2] ; [12 22],[4.54545455 5.45454545] ; [15.45454545 18.54545455],0
a7,1,0.020107,5.402606,[8 2] ; [13 21],[4.77272727 5.22727273] ; [16.22727273 17.77272727],0
v3,1,0.034649,4.462383,[3 7] ; [ 2 32],[1.13636364 8.86363636] ; [ 3.86363636 30.13636364],0
v4,1,0.045828,3.987919,[8 2] ; [15 19],[5.22727273 4.77272727] ; [17.77272727 16.22727273],0
a4,1,0.049265,3.866288,[6 4] ; [ 9 25],[3.40909091 6.59090909] ; [11.59090909 22.40909091],0
v1,1,0.06639,3.370098,[5 5] ; [ 7 27],[2.72727273 7.27272727] ; [ 9.27272727 24.72727273],0
v2,1,0.085712,2.953125,[5 5] ; [ 7 25],[2.85714286 7.14285714] ; [ 9.14285714 22.85714286],0
u3,1,0.116025,2.470175,[1 2] ; [ 1 18],[0.27272727 2.72727273] ; [ 1.72727273 17.27272727],0
p3,1,0.144686,2.127405,[4 5] ; [ 7 27],[2.30232558 6.69767442] ; [ 8.69767442 25.30232558],0
p1,1,0.172218,1.863529,[2 8] ; [ 2 32],[0.90909091 9.09090909] ; [ 3.09090909 30.90909091],0
a3,1,0.173728,1.850472,[7 3] ; [15 18],[5.11627907 4.88372093] ; [16.88372093 16.11627907],0
n4,1,0.201688,1.630106,[3 7] ; [18 16],[4.77272727 5.22727273] ; [16.22727273 17.77272727],0
b4,1,0.22192,1.491913,[4 6] ; [21 13],[5.68181818 4.31818182] ; [19.31818182 14.68181818],0
n6,1,0.302467,1.063284,[7 3] ; [17 16],[5.58139535 4.41860465] ; [18.41860465 14.58139535],0
p4,1,0.307841,1.039916,[5 5] ; [11 23],[3.63636364 6.36363636] ; [12.36363636 21.63636364],0
p12,1,0.346184,0.887395,[1 9] ; [ 1 33],[0.45454545 9.54545455] ; [ 1.54545455 32.45454545],0
u1,1,0.346184,0.887395,[1 9] ; [ 1 33],[0.45454545 9.54545455] ; [ 1.54545455 32.45454545],0
n5,1,0.401156,0.704857,[5 5] ; [22 12],[6.13636364 3.86363636] ; [20.86363636 13.13636364],0
b1,1,0.401156,0.704857,[5 5] ; [22 12],[6.13636364 3.86363636] ; [20.86363636 13.13636364],0
b2,1,0.420113,0.65,[4 4] ; [ 6 12],[3.07692308 4.92307692] ; [ 6.92307692 11.07692308],0
b3,1,0.420113,0.65,[4 4] ; [ 6 12],[3.07692308 4.92307692] ; [ 6.92307692 11.07692308],0
p8,1,0.442663,0.589371,[4 6] ; [ 9 24],[3.02325581 6.97674419] ; [ 9.97674419 23.02325581],0
p6,1,0.442719,0.589226,[2 7] ; [ 4 29],[1.28571429 7.71428571] ; [ 4.71428571 28.28571429],0
b5,1,0.577845,0.309731,[4 6] ; [17 17],[4.77272727 5.22727273] ; [16.22727273 17.77272727],0
n3,1,0.59536,0.282051,[3 3] ; [10  6],[3.54545455 2.45454545] ; [9.45454545 6.54545455],0
n2,1,0.59536,0.282051,[3 3] ; [10  6],[3.54545455 2.45454545] ; [9.45454545 6.54545455],0
s3,1,0.613893,0.254545,[1 8] ; [ 6 27],[1.5 7.5] ; [ 5.5 27.5],0
s5,1,0.649749,0.206217,[1 9] ; [ 2 32],[0.68181818 9.31818182] ; [ 2.31818182 31.68181818],0
r1,1,0.653827,0.201109,[4 6] ; [11 23],[3.40909091 6.59090909] ; [11.59090909 22.40909091],0
r4,1,0.687423,0.16189,[2 8] ; [ 5 29],[1.59090909 8.40909091] ; [ 5.40909091 28.59090909],0
p9,1,0.698486,0.150051,[4 4] ; [19 14],[4.48780488 3.51219512] ; [18.51219512 14.48780488],0
p2,1,0.81725,0.053399,[6 4] ; [19 15],[5.68181818 4.31818182] ; [19.31818182 14.68181818],0
s2,1,0.833596,0.044139,[1 8] ; [ 3 31],[0.8372093 8.1627907] ; [ 3.1627907 30.8372093],0
p11,1,0.869978,0.026793,[5 5] ; [16 18],[4.77272727 5.22727273] ; [16.22727273 17.77272727],0
s4,1,0.877162,0.023891,[1 9] ; [ 4 30],[1.13636364 8.86363636] ; [ 3.86363636 30.13636364],0
s8,1,0.877162,0.023891,[1 9] ; [ 4 30],[1.13636364 8.86363636] ; [ 3.86363636 30.13636364],0
s7,1,0.903848,0.014593,[1 6] ; [ 5 26],[1.10526316 5.89473684] ; [ 4.89473684 26.10526316],0
u2,1,0.906537,0.013784,[1 2] ; [ 7 12],[1.09090909 1.90909091] ; [ 6.90909091 12.09090909],0
s1,1,0.909429,0.012941,[1 9] ; [ 3 31],[0.90909091 9.09090909] ; [ 3.09090909 30.90909091],0
p7,1,0.919751,0.01015,[4 6] ; [13 21],[3.86363636 6.13636364] ; [13.13636364 20.86363636],0
p10,1,0.956962,0.002912,[4 5] ; [15 18],[4.07142857 4.92857143] ; [14.92857143 18.07142857],0
r3,1,0.972606,0.001179,[6 4] ; [20 13],[6.04651163 3.95348837] ; [19.95348837 13.04651163],0
