Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2.3e-05,17.893208,[40  9] ; [ 8 17],[31.78378378 17.21621622] ; [16.21621622  8.78378378],1
n6,1,0.00067,11.569869,[41  7] ; [12 13],[34.84931507 13.15068493] ; [18.15068493  6.84931507],1
a7,1,0.014877,5.930983,[34 15] ; [10 15],[29.13513514 19.86486486] ; [14.86486486 10.13513514],0
p9,1,0.024175,5.082007,[39 10] ; [13 11],[34.90410959 14.09589041] ; [17.09589041  6.90410959],0
p7,1,0.027357,4.868143,[23 22] ; [ 6 19],[18.64285714 26.35714286] ; [10.35714286 14.64285714],0
n2,1,0.033641,4.512857,[15  1] ; [6 4],[12.92307692  3.07692308] ; [8.07692308 1.92307692],0
a6,1,0.044564,4.035077,[31 17] ; [10 15],[26.95890411 21.04109589] ; [14.04109589 10.95890411],0
u1,1,0.087285,2.923755,[ 9 40] ; [ 1 24],[ 6.62162162 42.37837838] ; [ 3.37837838 21.62162162],0
p10,1,0.106989,2.598147,[34 15] ; [12 12],[30.87671233 18.12328767] ; [15.12328767  8.87671233],0
r2,1,0.169677,1.885791,[46  3] ; [21  4],[44.36486486  4.63513514] ; [22.63513514  2.36486486],0
p11,1,0.184437,1.761502,[35 14] ; [14 11],[32.44594595 16.55405405] ; [16.55405405  8.44594595],0
a4,1,0.187567,1.736627,[21 27] ; [15 10],[23.67123288 24.32876712] ; [12.32876712 12.67123288],0
p6,1,0.205389,1.603636,[17 31] ; [ 5 19],[14.66666667 33.33333333] ; [ 7.33333333 16.66666667],0
d4,1,0.232397,1.426129,[32 16] ; [20  5],[34.19178082 13.80821918] ; [17.80821918  7.19178082],0
u3,1,0.242755,1.364522,[13  6] ; [8 1],[14.25  4.75] ; [6.75 2.25],0
p8,1,0.253491,1.303959,[16 33] ; [ 5 20],[13.90540541 35.09459459] ; [ 7.09459459 17.90540541],0
v4,1,0.304497,1.054397,[45  4] ; [21  4],[43.7027027  5.2972973] ; [22.2972973  2.7027027],0
s7,1,0.306556,1.045455,[24 22] ; [ 9 14],[22. 24.] ; [11. 12.],0
s8,1,0.315624,1.006993,[24 24] ; [ 9 15],[22. 26.] ; [11. 13.],0
v2,1,0.316811,1.002068,[29 19] ; [11 12],[27.04225352 20.95774648] ; [12.95774648 10.04225352],0
b2,1,0.368066,0.810185,[13 23] ; [7 7],[14.4 21.6] ; [5.6 8.4],0
b3,1,0.368066,0.810185,[13 23] ; [7 7],[14.4 21.6] ; [5.6 8.4],0
