Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-06,22.691343,[14 25] ; [41  7],[24.65517241 14.34482759] ; [30.34482759 17.65517241],1
a5,1,0.000264,13.308216,[11 28] ; [33 16],[19.5 19.5] ; [24.5 24.5],1
d2,1,0.003449,8.553483,[ 7 32] ; [23 25],[13.44827586 25.55172414] ; [16.55172414 31.44827586],0
u3,1,0.01863,5.535927,[10 13] ; [ 2 17],[ 6.57142857 16.42857143] ; [ 5.42857143 13.57142857],0
b2,1,0.021979,5.247464,[ 3 18] ; [15 19],[ 6.87272727 14.12727273] ; [11.12727273 22.87272727],0
b3,1,0.021979,5.247464,[ 3 18] ; [15 19],[ 6.87272727 14.12727273] ; [11.12727273 22.87272727],0
a4,1,0.028354,4.806404,[ 7 32] ; [19 29],[11.65517241 27.34482759] ; [14.34482759 33.65517241],0
p7,1,0.059272,3.557625,[17 20] ; [12 34],[12.92771084 24.07228916] ; [16.07228916 29.92771084],0
a7,1,0.065563,3.390755,[22 17] ; [18 31],[17.72727273 21.27272727] ; [22.27272727 26.72727273],0
s7,1,0.073273,3.208136,[ 7 29] ; [18 30],[10.71428571 25.28571429] ; [14.28571429 33.71428571],0
d1,1,0.079752,3.069946,[ 7 32] ; [17 32],[10.63636364 28.36363636] ; [13.36363636 35.63636364],0
a3,1,0.091327,2.850823,[16 22] ; [29 19],[19.88372093 18.11627907] ; [25.11627907 22.88372093],0
a1,1,0.100117,2.703678,[ 2 37] ; [ 8 41],[ 4.43181818 34.56818182] ; [ 5.56818182 43.43181818],0
p5,1,0.103297,2.653883,[ 1 36] ; [ 6 42],[ 3.04705882 33.95294118] ; [ 3.95294118 44.04705882],0
p2,1,0.119194,2.427882,[25 13] ; [23 24],[21.45882353 16.54117647] ; [26.54117647 20.45882353],0
p8,1,0.134039,2.245086,[15 23] ; [12 37],[11.79310345 26.20689655] ; [15.20689655 33.79310345],0
d5,1,0.145706,2.116642,[17 22] ; [29 20],[20.38636364 18.61363636] ; [25.61363636 23.38636364],0
n1,1,0.146508,2.108235,[ 5 13] ; [12 12],[ 7.28571429 10.71428571] ; [ 9.71428571 14.28571429],0
v3,1,0.160015,1.974087,[ 3 35] ; [ 9 40],[ 5.24137931 32.75862069] ; [ 6.75862069 42.24137931],0
p1,1,0.1705,1.878543,[ 2 36] ; [ 7 42],[ 3.93103448 34.06896552] ; [ 5.06896552 43.93103448],0
s6,1,0.172935,1.857317,[ 7 32] ; [15 34],[ 9.75 29.25] ; [12.25 36.75],0
r2,1,0.184368,1.762056,[19 20] ; [29 17],[22.02352941 16.97647059] ; [25.97647059 20.02352941],0
r3,1,0.210291,1.569421,[19 20] ; [17 31],[16.13793103 22.86206897] ; [19.86206897 28.13793103],0
n6,1,0.21416,1.54308,[18 21] ; [28 19],[20.86046512 18.13953488] ; [25.13953488 21.86046512],0
u2,1,0.233066,1.422054,[11 12] ; [ 6 14],[ 9.09302326 13.90697674] ; [ 7.90697674 12.09302326],0
a2,1,0.248659,1.330822,[ 2 37] ; [ 6 43],[ 3.54545455 35.45454545] ; [ 4.45454545 44.54545455],0
a6,1,0.283292,1.15123,[17 22] ; [27 22],[19.5 19.5] ; [24.5 24.5],0
p6,1,0.330048,0.948708,[ 7 32] ; [ 5 42],[ 5.44186047 33.55813953] ; [ 6.55813953 40.44186047],0
v4,1,0.376545,0.781952,[23 15] ; [25 24],[20.96551724 17.03448276] ; [27.03448276 21.96551724],0
p3,1,0.396301,0.719523,[ 9 30] ; [15 33],[10.75862069 28.24137931] ; [13.24137931 34.75862069],0
b5,1,0.404172,0.695878,[21 18] ; [22 27],[19.05681818 19.94318182] ; [23.94318182 25.05681818],0
n3,1,0.417887,0.65625,[9 9] ; [ 9 15],[ 7.71428571 10.28571429] ; [10.28571429 13.71428571],0
u1,1,0.425992,0.633725,[ 1 38] ; [ 3 46],[ 1.77272727 37.22727273] ; [ 2.22727273 46.77272727],0
p4,1,0.440314,0.595464,[15 24] ; [15 34],[13.29545455 25.70454545] ; [16.70454545 32.29545455],0
d4,1,0.507548,0.439118,[25 14] ; [28 21],[23.48863636 15.51136364] ; [29.51136364 19.48863636],0
n2,1,0.532884,0.388889,[ 8 10] ; [13 11],[9. 9.] ; [12. 12.],0
s2,1,0.535607,0.383743,[11 28] ; [11 38],[ 9.75 29.25] ; [12.25 36.75],0
b1,1,0.614606,0.253521,[22 17] ; [25 24],[20.82954545 18.17045455] ; [26.17045455 22.82954545],0
p10,1,0.627464,0.235516,[21 17] ; [24 24],[19.88372093 18.11627907] ; [25.11627907 22.88372093],0
d3,1,0.674735,0.176113,[18 20] ; [21 28],[17.03448276 20.96551724] ; [21.96551724 27.03448276],0
s5,1,0.697985,0.150577,[ 6 33] ; [ 6 42],[ 5.37931034 33.62068966] ; [ 6.62068966 41.37931034],0
r1,1,0.71013,0.138148,[ 9 30] ; [13 36],[ 9.75 29.25] ; [12.25 36.75],0
