Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,27.849215,[ 4 10] ; [88 12],[11.29824561  2.70175439] ; [80.70175439 19.29824561],1
p11,1,0.000126,14.697857,[ 3 11] ; [73 27],[9.33333333 4.66666667] ; [66.66666667 33.33333333],1
p5,1,0.644167,0.213333,[ 2 12] ; [10 88],[ 1.5 12.5] ; [10.5 87.5],0
b1,1,0.65452,0.200249,[5 9] ; [42 58],[5.77192982 8.22807018] ; [41.22807018 58.77192982],0
p3,1,0.724992,0.123759,[7 7] ; [55 45],[7.61403509 6.38596491] ; [54.38596491 45.61403509],0
p6,1,0.79989,0.064257,[6 8] ; [46 53],[6.44247788 7.55752212] ; [45.55752212 53.44247788],0
