Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,43.454738,[68 15] ; [ 4 25],[53.35714286 29.64285714] ; [18.64285714 10.35714286],1
p11,1,6e-06,20.52015,[52 31] ; [ 4 25],[41.5 41.5] ; [14.5 14.5],1
v4,1,1.3e-05,19.000138,[71 12] ; [13 16],[62.25 20.75] ; [21.75  7.25],1
p9,1,0.000574,11.857783,[47 34] ; [ 5 21],[39.36448598 41.63551402] ; [12.63551402 13.36448598],1
r1,1,0.000966,10.89212,[55 28] ; [ 9 20],[47.42857143 35.57142857] ; [16.57142857 12.42857143],1
n6,1,0.002324,9.274623,[64 19] ; [13 15],[57.57657658 25.42342342] ; [19.42342342  8.57657658],0
p10,1,0.002603,9.066488,[44 37] ; [ 6 22],[37.1559633 43.8440367] ; [12.8440367 15.1559633],0
n3,1,0.002818,8.921751,[21  8] ; [ 3 10],[16.57142857 12.42857143] ; [7.42857143 5.57142857],0
r2,1,0.006652,7.364536,[73  9] ; [18  9],[68.4587156 13.5412844] ; [22.5412844  4.4587156],0
s8,1,0.010079,6.62094,[21 61] ; [ 1 28],[16.25225225 65.74774775] ; [ 5.74774775 23.25225225],0
v2,1,0.018463,5.55166,[37 42] ; [ 6 22],[31.74766355 47.25233645] ; [11.25233645 16.74766355],0
s6,1,0.02239,5.215209,[33 48] ; [ 5 24],[27.98181818 53.01818182] ; [10.01818182 18.98181818],0
p3,1,0.026394,4.930019,[26 57] ; [ 3 26],[21.49107143 61.50892857] ; [ 7.50892857 21.49107143],0
d4,1,0.035018,4.444286,[63 20] ; [16 13],[58.54464286 24.45535714] ; [20.45535714  8.54464286],0
p6,1,0.035797,4.406731,[17 66] ; [ 1 27],[13.45945946 69.54054054] ; [ 4.54054054 23.45945946],0
a1,1,0.043638,4.070528,[ 6 77] ; [ 6 23],[ 8.89285714 74.10714286] ; [ 3.10714286 25.89285714],0
u2,1,0.063286,3.449117,[17 17] ; [2 9],[14.35555556 19.64444444] ; [4.64444444 6.35555556],0
s5,1,0.073054,3.213029,[17 61] ; [ 2 27],[13.85046729 64.14953271] ; [ 5.14953271 23.85046729],0
p4,1,0.073911,3.193961,[26 56] ; [ 4 24],[22.36363636 59.63636364] ; [ 7.63636364 20.36363636],0
u3,1,0.083935,2.987013,[20 15] ; [3 8],[17.5 17.5] ; [5.5 5.5],0
n2,1,0.085021,2.9662,[21  9] ; [6 8],[18.40909091 11.59090909] ; [8.59090909 5.40909091],0
s7,1,0.089607,2.881416,[17 60] ; [ 2 25],[14.06730769 62.93269231] ; [ 4.93269231 22.06730769],0
a7,1,0.09408,2.803143,[52 31] ; [13 16],[48.16964286 34.83035714] ; [16.83035714 12.16964286],0
b5,1,0.100248,2.701592,[49 34] ; [12 17],[45.20535714 37.79464286] ; [15.79464286 13.20535714],0
n5,1,0.108107,2.581673,[46 37] ; [21  8],[49.65178571 33.34821429] ; [17.34821429 11.65178571],0
u1,1,0.141676,2.159657,[11 72] ; [ 1 28],[ 8.89285714 74.10714286] ; [ 3.10714286 25.89285714],0
p7,1,0.152207,2.049996,[23 60] ; [ 4 24],[20.18918919 62.81081081] ; [ 6.81081081 21.18918919],0
p1,1,0.185215,1.755276,[ 5 78] ; [ 4 25],[ 6.66964286 76.33035714] ; [ 2.33035714 26.66964286],0
a5,1,0.249517,1.326008,[53 30] ; [15 14],[50.39285714 32.60714286] ; [17.60714286 11.39285714],0
b2,1,0.26454,1.244844,[18 32] ; [11 11],[20.13888889 29.86111111] ; [ 8.86111111 13.13888889],0
b3,1,0.26454,1.244844,[18 32] ; [11 11],[20.13888889 29.86111111] ; [ 8.86111111 13.13888889],0
s2,1,0.280696,1.163716,[12 70] ; [ 2 27],[10.34234234 71.65765766] ; [ 3.65765766 25.34234234],0
n1,1,0.316642,1.002766,[ 8 21] ; [6 8],[ 9.44186047 19.55813953] ; [4.55813953 9.44186047],0
d5,1,0.389179,0.741504,[56 27] ; [17 12],[54.09821429 28.90178571] ; [18.90178571 10.09821429],0
s1,1,0.436714,0.604902,[ 5 78] ; [ 3 26],[ 5.92857143 77.07142857] ; [ 2.07142857 26.92857143],0
b1,1,0.436952,0.604274,[36 47] ; [15 14],[37.79464286 45.20535714] ; [13.20535714 15.79464286],0
d2,1,0.447684,0.57651,[39 43] ; [11 17],[37.27272727 44.72727273] ; [12.72727273 15.27272727],0
d3,1,0.447877,0.576019,[44 39] ; [13 16],[42.24107143 40.75892857] ; [14.75892857 14.24107143],0
s4,1,0.454632,0.559077,[13 68] ; [ 3 26],[11.78181818 69.21818182] ; [ 4.21818182 24.78181818],0
