Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,174.971226,[363   6] ; [42 44],[328.45054945  40.54945055] ; [76.54945055  9.45054945],1
r2,1,0.0,131.336131,[356  10] ; [45 38],[326.87305122  39.12694878] ; [74.12694878  8.87305122],1
r1,1,0.0,110.505531,[305  62] ; [24 64],[265.36923077 101.63076923] ; [63.63076923 24.36923077],1
v4,1,0.0,93.741259,[352  15] ; [52 35],[326.5814978  40.4185022] ; [77.4185022  9.5814978],1
p11,1,0.0,49.1659,[294  75] ; [38 51],[267.48471616 101.51528384] ; [64.51528384 24.48471616],1
p2,1,0.0,37.206842,[299  69] ; [44 44],[276.80701754  91.19298246] ; [66.19298246 21.80701754],1
p7,1,0.0,32.340665,[221 143] ; [23 63],[197.36888889 166.63111111] ; [46.63111111 39.36888889],1
p9,1,0.0,32.232236,[287  78] ; [41 44],[266.04444444  98.95555556] ; [61.95555556 23.04444444],1
p10,1,0.0,30.023282,[269  96] ; [37 49],[247.64966741 117.35033259] ; [58.35033259 27.64966741],1
n6,1,0.0,28.005353,[300  69] ; [48 40],[280.98905908  88.01094092] ; [67.01094092 20.98905908],1
a6,1,0.0,27.751689,[266 103] ; [38 51],[244.92576419 124.07423581] ; [59.07423581 29.92576419],1
p8,1,0.0,26.400366,[184 178] ; [18 70],[162.49777778 199.50222222] ; [39.50222222 48.49777778],1
p3,1,4e-06,21.071129,[162 207] ; [15 72],[143.23026316 225.76973684] ; [33.76973684 53.23026316],1
p4,1,7e-06,20.166077,[186 180] ; [21 66],[167.24503311 198.75496689] ; [39.75496689 47.24503311],1
d5,1,1.1e-05,19.309527,[294  75] ; [51 38],[277.95851528  91.04148472] ; [67.04148472 21.95851528],1
s6,1,3.3e-05,17.257199,[166 199] ; [19 70],[148.73348018 216.26651982] ; [36.26651982 52.73348018],1
d3,1,3.3e-05,17.216135,[251 118] ; [39 49],[234.15754923 134.84245077] ; [55.84245077 32.15754923],1
a7,1,3.7e-05,17.009686,[267 102] ; [43 44],[250.85526316 118.14473684] ; [59.14473684 27.85526316],1
d1,1,7.8e-05,15.604678,[198 171] ; [27 62],[181.27729258 187.72270742] ; [43.72270742 45.27729258],1
a5,1,8.1e-05,15.52713,[256 113] ; [42 47],[240.09170306 128.90829694] ; [57.90829694 31.09170306],1
v2,1,0.00041,12.48696,[189 167] ; [27 58],[174.36734694 181.63265306] ; [41.63265306 43.36734694],1
d4,1,0.000466,12.246383,[288  80] ; [53 35],[275.19298246  92.80701754] ; [65.80701754 22.19298246],1
s8,1,0.000571,11.868615,[ 90 277] ; [ 7 82],[ 78.06798246 288.93201754] ; [18.93201754 70.06798246],1
u3,1,0.000586,11.818535,[68 57] ; [10 32],[58.38323353 66.61676647] ; [19.61676647 22.38323353],1
a1,1,0.000826,11.182142,[  9 360] ; [ 9 80],[ 14.50218341 354.49781659] ; [ 3.49781659 85.50218341],1
b1,1,0.000969,10.886418,[129 240] ; [48 41],[142.60480349 226.39519651] ; [34.39519651 54.60480349],1
p6,1,0.00111,10.634932,[104 259] ; [10 76],[ 92.16481069 270.83518931] ; [21.83518931 64.16481069],0
v1,1,0.002343,9.259048,[174 189] ; [26 61],[161.33333333 201.66666667] ; [38.66666667 48.33333333],0
n4,1,0.002767,8.955171,[269  99] ; [50 38],[257.43859649 110.56140351] ; [61.56140351 26.43859649],0
n3,1,0.004011,8.278846,[63 19] ; [21 20],[56. 26.] ; [28. 13.],0
v3,1,0.008104,7.010241,[121 236] ; [17 71],[110.71011236 246.28988764] ; [27.28988764 60.71011236],0
n2,1,0.010584,6.533901,[62 23] ; [21 21],[55.5511811 29.4488189] ; [27.4488189 14.5511811],0
a3,1,0.017487,5.646874,[244 123] ; [46 41],[234.42731278 132.57268722] ; [55.57268722 31.42731278],0
a2,1,0.028851,4.77646,[ 74 295] ; [ 9 80],[ 66.87117904 302.12882096] ; [16.12882096 72.87117904],0
b5,1,0.05269,3.753712,[228 141] ; [45 44],[219.94978166 149.05021834] ; [53.05021834 35.94978166],0
n5,1,0.054768,3.689125,[250 116] ; [50 37],[242.38410596 123.61589404] ; [57.61589404 29.38410596],0
a4,1,0.085856,2.950414,[153 213] ; [28 60],[145.91629956 220.08370044] ; [35.08370044 52.91629956],0
s1,1,0.097295,2.749338,[  6 358] ; [ 4 84],[  8.05309735 355.94690265] ; [ 1.94690265 86.05309735],0
s7,1,0.130688,2.284316,[ 87 266] ; [14 69],[ 81.77293578 271.22706422] ; [19.22706422 63.77293578],0
a8,1,0.135239,2.231316,[ 39 292] ; [ 5 77],[ 35.26392252 295.73607748] ; [ 8.73607748 73.26392252],0
s3,1,0.150925,2.06288,[ 90 274] ; [15 71],[ 84.93333333 279.06666667] ; [20.06666667 65.93333333],0
p1,1,0.166197,1.916914,[ 22 345] ; [ 9 80],[ 24.9495614 342.0504386] ; [ 6.0504386 82.9495614],0
d2,1,0.182337,1.778469,[160 208] ; [31 56],[154.47912088 213.52087912] ; [36.52087912 50.47912088],0
u2,1,0.245388,1.349371,[66 58] ; [18 24],[62.74698795 61.25301205] ; [21.25301205 20.74698795],0
u1,1,0.247788,1.335731,[ 45 324] ; [ 7 82],[ 41.89519651 327.10480349] ; [10.10480349 78.89519651],0
s5,1,0.254441,1.298753,[ 58 303] ; [10 79],[ 54.55111111 306.44888889] ; [13.44888889 75.55111111],0
s4,1,0.310976,1.026526,[ 36 331] ; [12 77],[ 38.63157895 328.36842105] ; [ 9.36842105 79.63157895],0
b3,1,0.55683,0.345223,[ 72 139] ; [20 32],[ 73.80988593 137.19011407] ; [18.19011407 33.80988593],0
b2,1,0.55683,0.345223,[ 72 139] ; [20 32],[ 73.80988593 137.19011407] ; [18.19011407 33.80988593],0
n1,1,0.693282,0.155556,[29 55] ; [16 26],[30. 54.] ; [15. 27.],0
p12,1,0.708617,0.139663,[ 11 354] ; [ 2 86],[ 10.47461369 354.52538631] ; [ 2.52538631 85.47461369],0
b4,1,0.903989,0.01455,[213 156] ; [52 37],[213.50436681 155.49563319] ; [51.49563319 37.50436681],0
