Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,50.56712,[110  48] ; [ 2 35],[90.74871795 67.25128205] ; [21.25128205 15.74871795],1
d3,1,0.0,41.523464,[126  32] ; [ 9 27],[109.94845361  48.05154639] ; [25.05154639 10.94845361],1
d2,1,1.7e-05,18.534011,[92 66] ; [ 7 30],[80.21538462 77.78461538] ; [18.78461538 18.21538462],1
d5,1,0.000233,13.540521,[132  26] ; [20 16],[123.79381443  34.20618557] ; [28.20618557  7.79381443],1
a2,1,0.001084,10.678413,[ 44 114] ; [ 1 36],[ 36.46153846 121.53846154] ; [ 8.53846154 28.46153846],0
u2,1,0.002363,9.243397,[28 13] ; [ 5 14],[22.55 18.45] ; [10.45  8.55],0
a7,1,0.002401,9.214779,[126  32] ; [20 16],[118.90721649  39.09278351] ; [27.09278351  8.90721649],0
a3,1,0.004541,8.053534,[115  43] ; [18 19],[107.76410256  50.23589744] ; [25.23589744 11.76410256],0
a4,1,0.005163,7.821291,[74 84] ; [ 8 29],[66.44102564 91.55897436] ; [15.55897436 21.44102564],0
r1,1,0.010729,6.509685,[128  29] ; [23 14],[122.20103093  34.79896907] ; [28.79896907  8.20103093],0
u1,1,0.013679,6.079157,[ 37 121] ; [ 2 35],[ 31.6 126.4] ; [ 7.4 29.6],0
b3,1,0.016934,5.703231,[31 54] ; [ 2 19],[26.46226415 58.53773585] ; [ 6.53773585 14.46226415],0
b2,1,0.016934,5.703231,[31 54] ; [ 2 19],[26.46226415 58.53773585] ; [ 6.53773585 14.46226415],0
a5,1,0.018213,5.575566,[113  45] ; [19 18],[106.95384615  51.04615385] ; [25.04615385 11.95384615],0
v4,1,0.018776,5.522244,[151   6] ; [31  5],[148.05181347   8.94818653] ; [33.94818653  2.05181347],0
r4,1,0.028896,4.773777,[141  17] ; [28  9],[136.93333333  21.06666667] ; [32.06666667  4.93333333],0
s6,1,0.043341,4.082045,[135  21] ; [27 10],[130.94300518  25.05699482] ; [31.05699482  5.94300518],0
r3,1,0.048536,3.891345,[151   5] ; [33  4],[148.7253886   7.2746114] ; [35.2746114  1.7253886],0
u3,1,0.054091,3.709884,[28 13] ; [ 8 11],[24.6 16.4] ; [11.4  7.6],0
p3,1,0.081698,3.030791,[78 80] ; [12 24],[73.29896907 84.70103093] ; [16.70103093 19.29896907],0
b4,1,0.116335,2.465975,[95 63] ; [17 20],[90.74871795 67.25128205] ; [21.25128205 15.74871795],0
n4,1,0.125493,2.347389,[118  40] ; [23 14],[114.24615385  43.75384615] ; [26.75384615 10.24615385],0
p1,1,0.12854,2.310052,[ 10 147] ; [ 5 31],[ 12.20207254 144.79792746] ; [ 2.79792746 33.20207254],0
p4,1,0.178421,1.810725,[96 62] ; [18 19],[92.36923077 65.63076923] ; [21.63076923 15.36923077],0
s4,1,0.187926,1.733805,[ 43 112] ; [14 22],[ 46.2565445 108.7434555] ; [10.7434555 25.2565445],0
p9,1,0.24067,1.376663,[130  25] ; [28  9],[127.55208333  27.44791667] ; [30.44791667  6.55208333],0
n2,1,0.260785,1.264585,[29 12] ; [8 1],[30.34 10.66] ; [6.66 2.34],0
v2,1,0.28009,1.166654,[70 82] ; [13 23],[67.10638298 84.89361702] ; [15.89361702 20.10638298],0
a8,1,0.329311,0.951605,[ 18 129] ; [ 2 30],[ 16.42458101 130.57541899] ; [ 3.57541899 28.42458101],0
s7,1,0.346335,0.88684,[100  50] ; [21 15],[97.58064516 52.41935484] ; [23.41935484 12.58064516],0
p5,1,0.346947,0.884593,[ 11 147] ; [ 1 35],[  9.77319588 148.22680412] ; [ 2.22680412 33.77319588],0
b5,1,0.366459,0.815638,[94 64] ; [19 18],[91.55897436 66.44102564] ; [21.44102564 15.55897436],0
v3,1,0.370883,0.800703,[ 46 109] ; [ 8 28],[ 43.82198953 111.17801047] ; [10.17801047 25.82198953],0
a6,1,0.47026,0.521365,[108  50] ; [23 14],[106.14358974  51.85641026] ; [24.85641026 12.14358974],0
r2,1,0.488308,0.480253,[147   8] ; [34  3],[146.11979167   8.88020833] ; [34.88020833  2.11979167],0
p2,1,0.529528,0.395297,[134  24] ; [29  7],[132.75257732  25.24742268] ; [30.24742268  5.75257732],0
s8,1,0.560182,0.33939,[81 77] ; [17 20],[79.40512821 78.59487179] ; [18.59487179 18.40512821],0
s3,1,0.57647,0.311975,[137  20] ; [31  6],[135.95876289  21.04123711] ; [32.04123711  4.95876289],0
n3,1,0.579663,0.30678,[31 10] ; [6 3],[30.34 10.66] ; [6.66 2.34],0
