Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,100.832453,[149  15] ; [58 98],[106.0875  57.9125] ; [100.9125  55.0875],1
d5,1,0.0,98.613294,[160   3] ; [78 79],[121.23125  41.76875] ; [116.76875  40.23125],1
d2,1,0.0,91.353631,[109  55] ; [ 22 135],[66.92834891 97.07165109] ; [64.07165109 92.92834891],1
d4,1,0.0,75.811457,[160   3] ; [92 66],[127.96261682  35.03738318] ; [124.03738318  33.96261682],1
r1,1,0.0,37.70062,[141  24] ; [85 72],[115.80745342  49.19254658] ; [110.19254658  46.80745342],1
u1,1,0.0,36.127892,[ 41 124] ; [  3 155],[ 22.47678019 142.52321981] ; [ 21.52321981 136.47678019],1
a5,1,0.0,31.5525,[135  30] ; [83 75],[111.3622291  53.6377709] ; [106.6377709  51.3622291],1
a2,1,0.0,29.066582,[ 52 113] ; [ 12 146],[ 32.69349845 132.30650155] ; [ 31.30650155 126.69349845],1
a4,1,0.0,28.799015,[94 71] ; [ 43 114],[70.20186335 94.79813665] ; [66.79813665 90.20186335],1
a3,1,5e-06,20.945166,[128  36] ; [84 72],[108.65  55.35] ; [103.35  52.65],1
r2,1,1.6e-05,18.574595,[159   3] ; [133  24],[148.28840125  13.71159875] ; [143.71159875  13.28840125],1
r4,1,4e-05,16.864235,[154  11] ; [122  36],[140.99071207  24.00928793] ; [135.00928793  22.99071207],1
s8,1,0.000127,14.686605,[87 78] ; [ 50 108],[69.98452012 95.01547988] ; [67.01547988 90.98452012],1
p6,1,0.000297,13.087422,[75 89] ; [ 41 115],[ 59.45 104.55] ; [56.55 99.45],1
n4,1,0.000606,11.756377,[135  30] ; [102  55],[121.44409938  43.55590062] ; [115.55590062  41.44409938],1
p3,1,0.000729,11.41476,[91 73] ; [ 58 100],[75.88819876 88.11180124] ; [73.11180124 84.88819876],1
p4,1,0.00593,7.571441,[109  56] ; [80 77],[96.84782609 68.15217391] ; [92.15217391 64.84782609],0
s5,1,0.008427,6.940462,[65 95] ; [ 40 111],[ 54.0192926 105.9807074] ; [ 50.9807074 100.0192926],0
v4,1,0.015334,5.877718,[160   5] ; [142  15],[154.7515528  10.2484472] ; [147.2484472   9.7515528],0
s7,1,0.018788,5.521124,[84 74] ; [61 92],[73.66559486 84.33440514] ; [71.33440514 81.66559486],0
a6,1,0.019243,5.479321,[115  49] ; [91 67],[104.91925466  59.08074534] ; [101.08074534  56.91925466],0
r3,1,0.019755,5.433458,[156   8] ; [138  19],[150.20560748  13.79439252] ; [143.79439252  13.20560748],0
a7,1,0.036265,4.384594,[120  45] ; [97 60],[111.19565217  53.80434783] ; [105.80434783  51.19565217],0
s6,1,0.042873,4.100406,[115  46] ; [94 61],[106.48417722  54.51582278] ; [102.51582278  52.48417722],0
n6,1,0.048899,3.878824,[143  22] ; [123  34],[136.30434783  28.69565217] ; [129.69565217  27.30434783],0
p7,1,0.055164,3.677113,[104  57] ; [82 70],[95.67412141 65.32587859] ; [90.32587859 61.67412141],0
p10,1,0.057102,3.619606,[150  15] ; [130  25],[144.375  20.625] ; [135.625  19.375],0
u3,1,0.059575,3.549177,[25 12] ; [35 37],[20.36697248 16.63302752] ; [39.63302752 32.36697248],0
s3,1,0.071237,3.254282,[99 65] ; [78 77],[90.9968652 73.0031348] ; [86.0031348 68.9968652],0
a8,1,0.080993,3.044854,[ 15 135] ; [ 25 123],[ 20.13422819 129.86577181] ; [ 19.86577181 128.13422819],0
n5,1,0.089217,2.888438,[129  36] ; [109  47],[122.3364486  42.6635514] ; [115.6635514  40.3364486],0
v3,1,0.096203,2.767393,[ 34 126] ; [ 22 134],[ 28.35443038 131.64556962] ; [ 27.64556962 128.35443038],0
s2,1,0.1041,2.641572,[88 76] ; [70 87],[80.72274143 83.27725857] ; [77.27725857 79.72274143],0
b2,1,0.116961,2.457553,[45 61] ; [26 57],[39.82010582 66.17989418] ; [31.17989418 51.82010582],0
b3,1,0.116961,2.457553,[45 61] ; [26 57],[39.82010582 66.17989418] ; [31.17989418 51.82010582],0
p5,1,0.117884,2.445217,[ 25 137] ; [ 15 141],[ 20.37735849 141.62264151] ; [ 19.62264151 136.37735849],0
u2,1,0.200562,1.638277,[24 13] ; [38 35],[20.85454545 16.14545455] ; [41.14545455 31.85454545],0
p8,1,0.226044,1.465581,[91 74] ; [76 81],[85.57453416 79.42546584] ; [81.42546584 75.57453416],0
p2,1,0.279952,1.167322,[142  21] ; [130  27],[138.55  24.45] ; [133.45  23.55],0
u4,1,0.335617,0.927103,[  3 162] ; [  1 157],[  2.04334365 162.95665635] ; [  1.95665635 156.04334365],0
b1,1,0.375698,0.784732,[ 62 103] ; [67 91],[65.89783282 99.10216718] ; [63.10216718 94.89783282],0
p12,1,0.381362,0.766308,[ 11 153] ; [  7 150],[  9.19626168 154.80373832] ; [  8.80373832 148.19626168],0
v1,1,0.415626,0.662651,[70 91] ; [60 94],[66.44444444 94.55555556] ; [63.55555556 90.44444444],0
p11,1,0.456124,0.55539,[132  33] ; [121  37],[129.24148607  35.75851393] ; [123.75851393  34.24148607],0
b5,1,0.458794,0.548835,[101  64] ; [103  55],[104.21052632  60.78947368] ; [99.78947368 58.21052632],0
b4,1,0.496787,0.461794,[96 69] ; [86 72],[92.97213622 72.02786378] ; [89.02786378 68.97213622],0
a1,1,0.528989,0.396334,[  6 159] ; [  8 150],[  7.15170279 157.84829721] ; [  6.84829721 151.15170279],0
n3,1,0.539942,0.375647,[31 12] ; [25 13],[29.72839506 13.27160494] ; [26.27160494 11.72839506],0
n2,1,0.550275,0.356825,[31 13] ; [29  9],[32.19512195 11.80487805] ; [27.80487805 10.19512195],0
s4,1,0.619283,0.246877,[ 35 128] ; [ 30 126],[ 33.21316614 129.78683386] ; [ 31.78683386 124.21316614],0
n1,1,0.635913,0.224127,[17 26] ; [17 21],[18.04938272 24.95061728] ; [15.95061728 22.04938272],0
p1,1,0.737969,0.11192,[ 15 150] ; [ 16 141],[ 15.88509317 149.11490683] ; [ 15.11490683 141.88509317],0
s1,1,0.859134,0.031498,[  8 155] ; [  7 149],[  7.6645768 155.3354232] ; [  7.3354232 148.6645768],0
