Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000183,14.0,[4 6] ; [24  1],[8. 2.] ; [20.  5.],1
s3,1,0.001925,9.619281,[1 9] ; [17  8],[5.14285714 4.85714286] ; [12.85714286 12.14285714],0
r3,1,0.005968,7.56,[6 4] ; [24  1],[8.57142857 1.42857143] ; [21.42857143  3.57142857],0
n4,1,0.061369,3.5,[6 4] ; [22  3],[8. 2.] ; [20.  5.],0
n6,1,0.065755,3.385931,[6 3] ; [23  2],[7.67647059 1.32352941] ; [21.32352941  3.67647059],0
s7,1,0.089,2.892361,[5 5] ; [19  5],[7.05882353 2.94117647] ; [16.94117647  7.05882353],0
v4,1,0.12663,2.333333,[8 2] ; [24  1],[9.14285714 0.85714286] ; [22.85714286  2.14285714],0
p8,1,0.134435,2.24053,[5 5] ; [19  6],[6.85714286 3.14285714] ; [17.14285714  7.85714286],0
p3,1,0.134435,2.24053,[5 5] ; [19  6],[6.85714286 3.14285714] ; [17.14285714  7.85714286],0
p6,1,0.169327,1.888889,[3 6] ; [15 10],[4.76470588 4.23529412] ; [13.23529412 11.76470588],0
p1,1,0.178529,1.809829,[1 9] ; [ 8 17],[2.57142857 7.42857143] ; [ 6.42857143 18.57142857],0
d3,1,0.184346,1.762238,[8 2] ; [14 11],[6.28571429 3.71428571] ; [15.71428571  9.28571429],0
s8,1,0.194924,1.68,[4 6] ; [16  9],[5.71428571 4.28571429] ; [14.28571429 10.71428571],0
n2,1,0.196706,1.666667,[3 1] ; [2 4],[2. 2.] ; [3. 3.],0
p4,1,0.201798,1.62931,[7 3] ; [22  3],[8.28571429 1.71428571] ; [20.71428571  4.28571429],0
r1,1,0.22133,1.495726,[6 4] ; [20  5],[7.42857143 2.57142857] ; [18.57142857  6.42857143],0
p11,1,0.251943,1.3125,[9 1] ; [18  7],[7.71428571 2.28571429] ; [19.28571429  5.71428571],0
a5,1,0.26012,1.268116,[8 2] ; [15 10],[6.57142857 3.42857143] ; [16.42857143  8.57142857],0
p12,1,0.305724,1.04906,[1 8] ; [ 7 18],[2.11764706 6.88235294] ; [ 5.88235294 19.11764706],0
n5,1,0.313439,1.016129,[8 2] ; [23  2],[8.85714286 1.14285714] ; [22.14285714  2.85714286],0
a4,1,0.319435,0.991259,[5 5] ; [ 8 17],[3.71428571 6.28571429] ; [ 9.28571429 15.71428571],0
u1,1,0.349575,0.875,[1 9] ; [ 6 19],[2. 8.] ; [ 5. 20.],0
b4,1,0.392227,0.732026,[6 4] ; [11 14],[4.85714286 5.14285714] ; [12.14285714 12.85714286],0
v2,1,0.420287,0.649513,[5 4] ; [10 15],[3.97058824 5.02941176] ; [11.02941176 13.97058824],0
d5,1,0.477748,0.504,[8 2] ; [17  8],[7.14285714 2.85714286] ; [17.85714286  7.14285714],0
u3,1,0.490153,0.47619,[2 1] ; [3 4],[1.5 1.5] ; [3.5 3.5],0
a7,1,0.58018,0.305944,[7 3] ; [15 10],[6.28571429 3.71428571] ; [15.71428571  9.28571429],0
a8,1,0.586287,0.29618,[1 9] ; [ 4 19],[1.51515152 8.48484848] ; [ 3.48484848 19.51515152],0
n3,1,0.598161,0.277778,[2 2] ; [2 4],[1.6 2.4] ; [2.4 3.6],0
p10,1,0.646767,0.21,[9 1] ; [21  4],[8.57142857 1.42857143] ; [21.42857143  3.57142857],0
s1,1,0.646767,0.21,[1 9] ; [ 4 21],[1.42857143 8.57142857] ; [ 3.57142857 21.42857143],0
p2,1,0.674576,0.176296,[7 2] ; [21  4],[7.41176471 1.58823529] ; [20.58823529  4.41176471],0
d1,1,0.74753,0.103618,[5 5] ; [14 11],[5.42857143 4.57142857] ; [13.57142857 11.42857143],0
p7,1,0.763331,0.090667,[7 3] ; [18  6],[7.35294118 2.64705882] ; [17.64705882  6.35294118],0
d4,1,0.776675,0.08046,[8 2] ; [21  4],[8.28571429 1.71428571] ; [20.71428571  4.28571429],0
a2,1,0.776675,0.08046,[2 8] ; [ 4 21],[1.71428571 8.28571429] ; [ 4.28571429 20.71428571],0
u2,1,0.77816,0.079365,[1 2] ; [3 4],[1.2 1.8] ; [2.8 4.2],0
v3,1,0.816297,0.053968,[4 5] ; [10 15],[3.70588235 5.29411765] ; [10.29411765 14.70588235],0
b1,1,0.828969,0.046667,[4 6] ; [11 14],[4.28571429 5.71428571] ; [10.71428571 14.28571429],0
p9,1,0.848572,0.036458,[9 1] ; [23  2],[9.14285714 0.85714286] ; [22.85714286  2.14285714],0
r2,1,0.866579,0.028226,[9 1] ; [22  3],[8.85714286 1.14285714] ; [22.14285714  2.85714286],0
v1,1,0.885663,0.020677,[5 4] ; [14 10],[5.18181818 3.81818182] ; [13.81818182 10.18181818],0
a3,1,0.905813,0.014,[7 3] ; [18  7],[7.14285714 2.85714286] ; [17.85714286  7.14285714],0
b2,1,0.908697,0.013152,[4 4] ; [10 11],[3.86206897 4.13793103] ; [10.13793103 10.86206897],0
b3,1,0.908697,0.013152,[4 4] ; [10 11],[3.86206897 4.13793103] ; [10.13793103 10.86206897],0
d2,1,0.91483,0.011438,[5 5] ; [12 13],[4.85714286 5.14285714] ; [12.14285714 12.85714286],0
b5,1,1.0,0.0,[6 4] ; [15 10],[6. 4.] ; [15. 10.],0
a6,1,1.0,0.0,[6 4] ; [15 10],[6. 4.] ; [15. 10.],0
n1,1,1.0,0.0,[2 2] ; [3 3],[2. 2.] ; [3. 3.],0
