Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,6e-05,16.091954,[21  6] ; [ 7 22],[13.5 13.5] ; [14.5 14.5],1
a6,1,0.00226,9.325326,[18 10] ; [ 7 22],[12.28070175 15.71929825] ; [12.71929825 16.28070175],0
p9,1,0.01378,6.066115,[18  8] ; [10 18],[13.48148148 12.51851852] ; [14.51851852 13.48148148],0
a4,1,0.014635,5.9599,[12 16] ; [ 4 25],[ 7.85964912 20.14035088] ; [ 8.14035088 20.85964912],0
p11,1,0.023688,5.117365,[19  9] ; [11 18],[14.73684211 13.26315789] ; [15.26315789 13.73684211],0
p4,1,0.023854,5.10524,[16 12] ; [ 8 21],[11.78947368 16.21052632] ; [12.21052632 16.78947368],0
v1,1,0.039322,4.246921,[13 15] ; [ 6 23],[ 9.33333333 18.66666667] ; [ 9.66666667 19.33333333],0
d5,1,0.04662,3.959044,[18 10] ; [11 18],[14.24561404 13.75438596] ; [14.75438596 14.24561404],0
d1,1,0.05459,3.694557,[10 18] ; [ 4 25],[ 6.87719298 21.12280702] ; [ 7.12280702 21.87719298],0
v3,1,0.060951,3.511315,[ 7 21] ; [ 2 27],[ 4.42105263 23.57894737] ; [ 4.57894737 24.42105263],0
v4,1,0.083357,2.998194,[10 18] ; [17 12],[13.26315789 14.73684211] ; [13.73684211 15.26315789],0
a7,1,0.085951,2.948624,[16 12] ; [10 19],[12.77192982 15.22807018] ; [13.22807018 15.77192982],0
b3,1,0.093075,2.820369,[ 8 12] ; [ 3 16],[ 5.64102564 14.35897436] ; [ 5.35897436 13.64102564],0
b2,1,0.093075,2.820369,[ 8 12] ; [ 3 16],[ 5.64102564 14.35897436] ; [ 5.35897436 13.64102564],0
p3,1,0.094622,2.793924,[10 17] ; [ 5 24],[ 7.23214286 19.76785714] ; [ 7.76785714 21.23214286],0
s4,1,0.106607,2.603811,[ 3 25] ; [ 8 21],[ 5.40350877 22.59649123] ; [ 5.59649123 23.40350877],0
d2,1,0.113339,2.507037,[10 18] ; [ 5 24],[ 7.36842105 20.63157895] ; [ 7.63157895 21.36842105],0
d4,1,0.116861,2.458889,[21  7] ; [16 13],[18.1754386  9.8245614] ; [18.8245614 10.1754386],0
n5,1,0.126591,2.333824,[20  8] ; [15 14],[17.19298246 10.80701754] ; [17.80701754 11.19298246],0
p10,1,0.139584,2.18254,[15 12] ; [10 18],[12.27272727 14.72727273] ; [12.72727273 15.27272727],0
a8,1,0.145841,2.115218,[ 4 22] ; [ 1 26],[ 2.45283019 23.54716981] ; [ 2.54716981 24.45283019],0
