Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.003012,8.8,[12 21] ; [24  9],[18. 15.] ; [18. 15.],0
a6,1,0.013433,6.111111,[10 23] ; [20 13],[15. 18.] ; [15. 18.],0
d3,1,0.013779,6.066176,[11 22] ; [21 12],[16. 17.] ; [16. 17.],0
a5,1,0.047968,3.911111,[11 22] ; [19 14],[15. 18.] ; [15. 18.],0
s2,1,0.057164,3.617825,[12 21] ; [ 5 27],[ 8.63076923 24.36923077] ; [ 8.36923077 23.63076923],0
v2,1,0.068211,3.325557,[ 8 24] ; [15 17],[11.5 20.5] ; [11.5 20.5],0
r3,1,0.07654,3.136873,[19 14] ; [25  7],[22.33846154 10.66153846] ; [21.66153846 10.33846154],0
p11,1,0.079689,3.071225,[16 17] ; [23 10],[19.5 13.5] ; [19.5 13.5],0
d1,1,0.084822,2.97,[ 5 28] ; [11 22],[ 8. 25.] ; [ 8. 25.],0
u3,1,0.089552,2.882401,[ 3 16] ; [ 7 10],[ 5.27777778 13.72222222] ; [ 4.72222222 12.27777778],0
r4,1,0.121741,2.394775,[ 4 29] ; [ 9 24],[ 6.5 26.5] ; [ 6.5 26.5],0
a8,1,0.129683,2.296296,[ 2 29] ; [ 6 25],[ 4. 27.] ; [ 4. 27.],0
a4,1,0.159307,1.980792,[ 6 27] ; [11 22],[ 8.5 24.5] ; [ 8.5 24.5],0
s1,1,0.162852,1.947541,[ 4 29] ; [ 1 32],[ 2.5 30.5] ; [ 2.5 30.5],0
d4,1,0.196479,1.668352,[19 14] ; [24  9],[21.5 11.5] ; [21.5 11.5],0
b1,1,0.21065,1.566952,[22 11] ; [17 16],[19.5 13.5] ; [19.5 13.5],0
p10,1,0.211077,1.564027,[14 18] ; [19 13],[16.5 15.5] ; [16.5 15.5],0
b5,1,0.214954,1.537745,[16 17] ; [21 12],[18.5 14.5] ; [18.5 14.5],0
p3,1,0.279696,1.168565,[10 23] ; [ 6 26],[ 8.12307692 24.87692308] ; [ 7.87692308 24.12307692],0
u2,1,0.295971,1.09226,[ 9 10] ; [11  6],[10.55555556  8.44444444] ; [9.44444444 7.55555556],0
r1,1,0.29627,1.090909,[ 9 24] ; [13 20],[11. 22.] ; [11. 22.],0
p1,1,0.302187,1.064516,[ 3 30] ; [ 1 32],[ 2. 31.] ; [ 2. 31.],0
v4,1,0.319137,0.992481,[17 16] ; [21 12],[19. 14.] ; [19. 14.],0
s7,1,0.330495,0.946959,[ 9 20] ; [ 6 24],[ 7.37288136 21.62711864] ; [ 7.62711864 22.37288136],0
s4,1,0.353146,0.862119,[ 8 25] ; [ 5 28],[ 6.5 26.5] ; [ 6.5 26.5],0
n3,1,0.377822,0.777778,[8 8] ; [8 4],[9.14285714 6.85714286] ; [6.85714286 5.14285714],0
p9,1,0.382673,0.762097,[16 15] ; [20 12],[17.71428571 13.28571429] ; [18.28571429 13.71428571],0
s3,1,0.41177,0.673684,[11 21] ; [ 8 24],[ 9.5 22.5] ; [ 9.5 22.5],0
s6,1,0.446504,0.579512,[11 22] ; [14 19],[12.5 20.5] ; [12.5 20.5],0
n5,1,0.452612,0.564103,[21 12] ; [18 15],[19.5 13.5] ; [19.5 13.5],0
n4,1,0.456855,0.553588,[20 13] ; [17 16],[18.5 14.5] ; [18.5 14.5],0
p7,1,0.456855,0.553588,[16 17] ; [13 20],[14.5 18.5] ; [14.5 18.5],0
p6,1,0.521839,0.410256,[ 5 27] ; [ 7 25],[ 6. 26.] ; [ 6. 26.],0
v3,1,0.523288,0.407407,[ 5 28] ; [ 7 26],[ 6. 27.] ; [ 6. 27.],0
a3,1,0.540194,0.37518,[14 19] ; [16 16],[15.23076923 17.76923077] ; [14.76923077 17.23076923],0
p12,1,0.554563,0.349206,[ 1 32] ; [ 2 31],[ 1.5 31.5] ; [ 1.5 31.5],0
v1,1,0.592177,0.286957,[ 9 24] ; [11 22],[10. 23.] ; [10. 23.],0
a1,1,0.641802,0.216393,[ 2 31] ; [ 3 30],[ 2.5 30.5] ; [ 2.5 30.5],0
s5,1,0.689335,0.159806,[ 4 29] ; [ 3 30],[ 3.5 29.5] ; [ 3.5 29.5],0
n1,1,0.71714,0.13125,[ 5 11] ; [3 9],[ 4.57142857 11.42857143] ; [3.42857143 8.57142857],0
s8,1,0.778341,0.079232,[ 8 25] ; [ 9 24],[ 8.5 24.5] ; [ 8.5 24.5],0
d2,1,0.778341,0.079232,[ 9 24] ; [ 8 25],[ 8.5 24.5] ; [ 8.5 24.5],0
p2,1,0.799687,0.06439,[21 12] ; [20 13],[20.5 12.5] ; [20.5 12.5],0
b4,1,0.804125,0.06151,[18 15] ; [19 14],[18.5 14.5] ; [18.5 14.5],0
n2,1,0.823218,0.049911,[10  6] ; [7 5],[9.71428571 6.28571429] ; [7.28571429 4.71428571],0
b2,1,0.853493,0.034101,[ 6 17] ; [ 4 13],[ 5.75 17.25] ; [ 4.25 12.75],0
b3,1,0.853493,0.034101,[ 6 17] ; [ 4 13],[ 5.75 17.25] ; [ 4.25 12.75],0
n6,1,0.890073,0.019103,[18 14] ; [18 15],[17.72307692 14.27692308] ; [18.27692308 14.72307692],0
p4,1,1.0,0.0,[14 19] ; [14 19],[14. 19.] ; [14. 19.],0
p8,1,1.0,0.0,[11 22] ; [11 22],[11. 22.] ; [11. 22.],0
