Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,72.09041,[87 21] ; [10 57],[59.86285714 48.13714286] ; [37.13714286 29.86285714],1
p2,1,7e-06,20.222551,[83 25] ; [29 38],[69.12 38.88] ; [42.88 24.12],1
s2,1,8e-06,19.958293,[66 43] ; [17 49],[51.69714286 57.30285714] ; [31.30285714 34.69714286],1
s7,1,8e-06,19.918195,[59 42] ; [13 46],[45.45 55.55] ; [26.55 32.45],1
s8,1,2.7e-05,17.605723,[55 54] ; [12 53],[41.97126437 67.02873563] ; [25.02873563 39.97126437],1
r4,1,3.1e-05,17.380681,[96 13] ; [41 26],[84.84659091 24.15340909] ; [52.15340909 14.84659091],1
s6,1,0.000102,15.092358,[80 26] ; [30 35],[68.1871345 37.8128655] ; [41.8128655 23.1871345],1
p7,1,0.000217,13.677354,[60 47] ; [18 48],[48.24277457 58.75722543] ; [29.75722543 36.24277457],1
r2,1,0.000293,13.11548,[105   2] ; [54 11],[98.9127907  8.0872093] ; [60.0872093  4.9127907],1
p6,1,0.000309,13.016482,[43 65] ; [ 9 56],[32.46242775 75.53757225] ; [19.53757225 45.46242775],1
s3,1,0.000442,12.345547,[64 44] ; [21 45],[52.75862069 55.24137931] ; [32.24137931 33.75862069],1
s5,1,0.001536,10.035088,[44 56] ; [13 52],[34.54545455 65.45454545] ; [22.45454545 42.54545455],0
b1,1,0.001929,9.615974,[47 62] ; [45 22],[56.97727273 52.02272727] ; [35.02272727 31.97727273],0
n3,1,0.004305,8.150355,[33  7] ; [14 14],[27.64705882 12.35294118] ; [19.35294118  8.64705882],0
p4,1,0.004381,8.11877,[60 48] ; [22 44],[50.89655172 57.10344828] ; [31.10344828 34.89655172],0
n6,1,0.005716,7.637867,[82 25] ; [38 29],[73.79310345 33.20689655] ; [46.20689655 20.79310345],0
d3,1,0.006835,7.315851,[85 23] ; [40 27],[77.14285714 30.85714286] ; [47.85714286 19.14285714],0
v4,1,0.00842,6.941822,[102   7] ; [54 13],[96.61363636 12.38636364] ; [59.38636364  7.61363636],0
n5,1,0.01058,6.534545,[72 35] ; [32 35],[63.95402299 43.04597701] ; [40.04597701 26.95402299],0
r3,1,0.014769,5.943761,[97 11] ; [51 16],[91.33714286 16.66285714] ; [56.66285714 10.33714286],0
a5,1,0.027938,4.8319,[85 24] ; [42 25],[78.65340909 30.34659091] ; [48.34659091 18.65340909],0
a1,1,0.034546,4.467455,[  4 105] ; [ 8 59],[  7.43181818 101.56818182] ; [ 4.56818182 62.43181818],0
a8,1,0.034563,4.466649,[13 84] ; [ 2 59],[ 9.20886076 87.79113924] ; [ 5.79113924 55.20886076],0
v1,1,0.039728,4.229484,[53 56] ; [22 45],[46.44886364 62.55113636] ; [28.55113636 38.44886364],0
n2,1,0.040398,4.20109,[29 11] ; [14 15],[24.92753623 15.07246377] ; [18.07246377 10.92753623],0
p3,1,0.045303,4.007316,[51 57] ; [21 45],[44.68965517 63.31034483] ; [27.31034483 38.68965517],0
b5,1,0.05136,3.796508,[76 33] ; [37 30],[69.98295455 39.01704545] ; [43.01704545 23.98295455],0
a6,1,0.05136,3.796508,[76 33] ; [37 30],[69.98295455 39.01704545] ; [43.01704545 23.98295455],0
n4,1,0.071934,3.238319,[75 32] ; [38 29],[69.48850575 37.51149425] ; [43.51149425 23.48850575],0
v2,1,0.074324,3.184846,[58 46] ; [28 39],[52.30409357 51.69590643] ; [33.69590643 33.30409357],0
r1,1,0.082679,3.011435,[88 20] ; [47 20],[83.31428571 24.68571429] ; [51.68571429 15.31428571],0
a7,1,0.083134,3.002543,[86 23] ; [45 22],[81.13068182 27.86931818] ; [49.86931818 17.13068182],0
a3,1,0.107099,2.596519,[83 25] ; [44 23],[78.37714286 29.62285714] ; [48.62285714 18.37714286],0
p8,1,0.115547,2.476663,[38 70] ; [16 51],[33.32571429 74.67428571] ; [20.67428571 46.32571429],0
d1,1,0.135461,2.228779,[77 32] ; [40 27],[72.46022727 36.53977273] ; [44.53977273 22.46022727],0
n1,1,0.142823,2.147278,[19 20] ; [ 9 20],[16.05882353 22.94117647] ; [11.94117647 17.05882353],0
v3,1,0.156363,2.009047,[39 66] ; [17 47],[34.79289941 70.20710059] ; [21.20710059 42.79289941],0
p5,1,0.15649,2.007821,[ 9 99] ; [ 2 65],[  6.78857143 101.21142857] ; [ 4.21142857 62.78857143],0
a4,1,0.202866,1.621623,[62 47] ; [31 35],[57.92571429 51.07428571] ; [35.07428571 30.92571429],0
u1,1,0.247143,1.339379,[24 85] ; [10 57],[21.05681818 87.94318182] ; [12.94318182 54.05681818],0
s1,1,0.258679,1.275813,[  5 102] ; [ 6 61],[  6.76436782 100.23563218] ; [ 4.23563218 62.76436782],0
u2,1,0.371341,0.799173,[13 12] ; [ 9 14],[11.45833333 13.54166667] ; [10.54166667 12.45833333],0
a2,1,0.408616,0.682824,[34 75] ; [17 50],[31.58522727 77.41477273] ; [19.41477273 47.58522727],0
p1,1,0.543583,0.368939,[11 97] ; [ 5 62],[ 9.87428571 98.12571429] ; [ 6.12571429 60.87428571],0
u4,1,0.586096,0.296482,[  3 106] ; [ 1 66],[  2.47727273 106.52272727] ; [ 1.52272727 65.47727273],0
s4,1,0.590109,0.290174,[27 82] ; [14 52],[25.53714286 83.46285714] ; [15.46285714 50.53714286],0
u3,1,0.790414,0.070635,[14 11] ; [12 11],[13.54166667 11.45833333] ; [12.45833333 10.54166667],0
b2,1,0.859405,0.031376,[16 36] ; [13 27],[16.39130435 35.60869565] ; [12.60869565 27.39130435],0
b3,1,0.859405,0.031376,[16 36] ; [13 27],[16.39130435 35.60869565] ; [12.60869565 27.39130435],0
d4,1,0.910404,0.012663,[95 14] ; [58  9],[94.75568182 14.24431818] ; [58.24431818  8.75568182],0
d2,1,0.943567,0.005011,[65 44] ; [39 27],[64.77714286 44.22285714] ; [39.22285714 26.77714286],0
b4,1,0.992827,8.1e-05,[65 44] ; [40 27],[65.02840909 43.97159091] ; [39.97159091 27.02840909],0
