Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,29.777027,[ 29 122] ; [68 69],[ 50.85763889 100.14236111] ; [46.14236111 90.85763889],1
v1,1,5e-06,20.976853,[ 47 105] ; [78 57],[66.20209059 85.79790941] ; [58.79790941 76.20209059],1
r3,1,3.1e-05,17.362937,[124  32] ; [134   6],[135.97297297  20.02702703] ; [122.02702703  17.97297297],1
s6,1,0.000243,13.463706,[63 93] ; [87 54],[78.78787879 77.21212121] ; [71.21212121 69.78787879],1
d1,1,0.00026,13.336045,[67 90] ; [90 51],[82.7147651 74.2852349] ; [74.2852349 66.7147651],1
a5,1,0.000342,12.823534,[92 65] ; [110  31],[106.42281879  50.57718121] ; [95.57718121 45.42281879],1
r1,1,0.001486,10.095898,[98 59] ; [111  29],[110.48148148  46.51851852] ; [98.51851852 41.48148148],0
p12,1,0.002689,9.007263,[  4 151] ; [ 16 125],[ 10.47297297 144.52702703] ; [  9.52702703 131.47297297],0
s2,1,0.003362,8.5997,[ 45 111] ; [63 76],[57.11186441 98.88813559] ; [50.88813559 88.11186441],0
p2,1,0.003533,8.509667,[93 64] ; [106  35],[104.84228188  52.15771812] ; [94.15771812 46.84228188],0
p11,1,0.00589,7.58377,[92 65] ; [104  37],[103.26174497  53.73825503] ; [92.73825503 48.26174497],0
d4,1,0.007699,7.102249,[112  45] ; [118  22],[121.58249158  35.41750842] ; [108.41750842  31.58249158],0
p4,1,0.008866,6.849685,[ 53 103] ; [69 72],[64.08080808 91.91919192] ; [57.91919192 83.08080808],0
d5,1,0.008978,6.827184,[110  47] ; [117  24],[119.59395973  37.40604027] ; [107.40604027  33.59395973],0
s1,1,0.011681,6.35869,[ 12 144] ; [  2 137],[  7.40338983 148.59661017] ; [  6.59661017 132.40338983],0
n3,1,0.012513,6.236702,[26 25] ; [32 10],[31.80645161 19.19354839] ; [26.19354839 15.80645161],0
a7,1,0.014783,5.942184,[97 60] ; [105  35],[106.78114478  50.21885522] ; [95.21885522 44.78114478],0
s8,1,0.01545,5.864389,[ 39 118] ; [53 87],[ 48.63299663 108.36700337] ; [43.36700337 96.63299663],0
r4,1,0.019256,5.478131,[111  46] ; [116  25],[119.59395973  37.40604027] ; [107.40604027  33.59395973],0
p6,1,0.024273,5.075026,[ 15 141] ; [ 26 113],[ 21.68135593 134.31864407] ; [ 19.31864407 119.68135593],0
p9,1,0.030157,4.700328,[103  51] ; [108  30],[111.28082192  42.71917808] ; [99.71917808 38.28082192],0
b1,1,0.03614,4.390508,[71 86] ; [47 94],[62.16778523 94.83221477] ; [55.83221477 85.16778523],0
a3,1,0.037343,4.334714,[92 63] ; [100  41],[100.54054054  54.45945946] ; [91.45945946 49.54054054],0
s7,1,0.037407,4.331787,[ 45 104] ; [56 77],[53.36524823 95.63475177] ; [47.63475177 85.36524823],0
p10,1,0.053895,3.715949,[93 62] ; [99 41],[100.88135593  54.11864407] ; [91.11864407 48.88135593],0
n2,1,0.080856,3.047619,[32 22] ; [32 10],[36. 18.] ; [28. 14.],0
s3,1,0.089355,2.885952,[58 96] ; [66 73],[65.17406143 88.82593857] ; [58.82593857 80.17406143],0
p5,1,0.101983,2.674255,[ 14 141] ; [  6 135],[ 10.47297297 144.52702703] ; [  9.52702703 131.47297297],0
r2,1,0.104855,2.6301,[134  23] ; [128  12],[138.4983165  18.5016835] ; [123.5016835  16.4983165],0
d3,1,0.108799,2.571574,[87 70] ; [91 50],[93.77852349 63.22147651] ; [84.22147651 56.77852349],0
d2,1,0.111222,2.536765,[67 88] ; [73 66],[73.80952381 81.19047619] ; [66.19047619 72.80952381],0
n6,1,0.20885,1.579378,[113  43] ; [111  30],[117.65656566  38.34343434] ; [106.34343434  34.65656566],0
p1,1,0.211188,1.563266,[ 19 137] ; [ 11 130],[ 15.75757576 140.24242424] ; [ 14.24242424 126.75757576],0
p3,1,0.212988,1.551001,[ 42 114] ; [47 93],[ 46.90540541 109.09459459] ; [42.09459459 97.90540541],0
u2,1,0.214239,1.542551,[30 35] ; [24 17],[33.11320755 31.88679245] ; [20.88679245 20.11320755],0
a8,1,0.232654,1.424564,[ 18 130] ; [ 10 118],[ 15.01449275 132.98550725] ; [ 12.98550725 115.01449275],0
n1,1,0.237709,1.39413,[24 29] ; [14 28],[21.2 31.8] ; [16.8 25.2],0
v4,1,0.269295,1.220335,[131  26] ; [124  17],[134.34563758  22.65436242] ; [120.65436242  20.34563758],0
p8,1,0.296646,1.089213,[ 36 120] ; [ 40 101],[ 39.91919192 116.08080808] ; [ 36.08080808 104.91919192],0
u4,1,0.337515,0.919847,[  2 155] ; [  4 137],[  3.16107383 153.83892617] ; [  2.83892617 138.16107383],0
n5,1,0.351658,0.867465,[110  47] ; [91 49],[106.25252525  50.74747475] ; [94.74747475 45.25252525],0
u3,1,0.434709,0.610209,[33 32] ; [24 17],[34.95283019 30.04716981] ; [22.04716981 18.95283019],0
a2,1,0.457174,0.552805,[ 27 130] ; [ 29 112],[ 29.5033557 127.4966443] ; [ 26.4966443 114.5033557],0
s5,1,0.490114,0.476277,[ 29 123] ; [ 30 104],[ 31.35664336 120.64335664] ; [ 27.64335664 106.35664336],0
b5,1,0.510974,0.432073,[91 66] ; [87 54],[93.77852349 63.22147651] ; [84.22147651 56.77852349],0
b3,1,0.53952,0.37643,[35 58] ; [35 48],[36.98863636 56.01136364] ; [33.01136364 49.98863636],0
b2,1,0.53952,0.37643,[35 58] ; [35 48],[36.98863636 56.01136364] ; [33.01136364 49.98863636],0
