Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,9.4e-05,15.2478,[58  1] ; [8 4],[54.84507042  4.15492958] ; [11.15492958  0.84507042],1
r2,1,0.001414,10.187279,[58  1] ; [9 3],[55.67605634  3.32394366] ; [11.32394366  0.67605634],0
s3,1,0.002327,9.272031,[45 13] ; [4 8],[40.6 17.4] ; [8.4 3.6],0
d1,1,0.003802,8.375867,[41 18] ; [3 9],[36.56338028 22.43661972] ; [7.43661972 4.56338028],0
v4,1,0.004747,7.973213,[57  2] ; [8 3],[54.78571429  4.21428571] ; [10.21428571  0.78571429],0
s2,1,0.007603,7.124717,[46 12] ; [5 7],[42.25714286 15.74285714] ; [8.74285714 3.25714286],0
s8,1,0.008279,6.972103,[39 20] ; [3 9],[34.90140845 24.09859155] ; [7.09859155 4.90140845],0
a3,1,0.012491,6.23985,[49 10] ; [6 6],[45.70422535 13.29577465] ; [9.29577465 2.70422535],0
d2,1,0.013134,6.150977,[33 26] ; [ 2 10],[29.08450704 29.91549296] ; [5.91549296 6.08450704],0
p9,1,0.019911,5.419676,[53  5] ; [8 4],[50.54285714  7.45714286] ; [10.45714286  1.54285714],0
s1,1,0.019999,5.41202,[ 1 57] ; [ 2 10],[ 2.48571429 55.51428571] ; [ 0.51428571 11.48571429],0
n6,1,0.035486,4.421636,[53  6] ; [8 4],[50.69014085  8.30985915] ; [10.30985915  1.69014085],0
r1,1,0.036056,4.394459,[50  9] ; [7 5],[47.36619718 11.63380282] ; [9.63380282 2.36619718],0
b4,1,0.039165,4.253715,[34 25] ; [3 9],[30.74647887 28.25352113] ; [6.25352113 5.74647887],0
s5,1,0.057121,3.619056,[36 21] ; [4 8],[33.04347826 23.95652174] ; [6.95652174 5.04347826],0
p8,1,0.082999,3.00518,[34 22] ; [4 8],[31.29411765 24.70588235] ; [6.70588235 5.29411765],0
d4,1,0.095676,2.776182,[51  8] ; [8 4],[49.02816901  9.97183099] ; [9.97183099 2.02816901],0
a7,1,0.118172,2.441385,[43 16] ; [6 6],[40.71830986 18.28169014] ; [8.28169014 3.71830986],0
p10,1,0.167411,1.905973,[52  6] ; [9 3],[50.54285714  7.45714286] ; [10.45714286  1.54285714],0
s7,1,0.168122,1.899614,[39 19] ; [5 6],[36.98550725 21.01449275] ; [7.01449275 3.98550725],0
v3,1,0.189585,1.720842,[21 37] ; [ 2 10],[19.05714286 38.94285714] ; [3.94285714 8.05714286],0
p4,1,0.193197,1.693067,[41 18] ; [6 6],[39.05633803 19.94366197] ; [7.94366197 4.05633803],0
n2,1,0.226104,1.465201,[12  2] ; [1 1],[11.375  2.625] ; [1.625 0.375],0
p7,1,0.242948,1.363409,[42 14] ; [7 5],[40.35294118 15.64705882] ; [8.64705882 3.35294118],0
b5,1,0.291234,1.113907,[39 20] ; [6 6],[37.3943662 21.6056338] ; [7.6056338 4.3943662],0
p6,1,0.318821,0.993777,[28 29] ; [4 8],[26.43478261 30.56521739] ; [5.56521739 6.43478261],0
p11,1,0.326047,0.964535,[47 12] ; [8 4],[45.70422535 13.29577465] ; [9.29577465 2.70422535],0
n4,1,0.331193,0.944228,[41 18] ; [10  2],[42.38028169 16.61971831] ; [8.61971831 3.38028169],0
a5,1,0.403074,0.699137,[46 13] ; [8 4],[44.87323944 14.12676056] ; [9.12676056 2.87323944],0
b2,1,0.413598,0.668435,[12 24] ; [1 5],[11.14285714 24.85714286] ; [1.85714286 4.14285714],0
b3,1,0.413598,0.668435,[12 24] ; [1 5],[11.14285714 24.85714286] ; [1.85714286 4.14285714],0
u3,1,0.423711,0.64,[7 3] ; [3 3],[6.25 3.75] ; [3.75 2.25],0
a8,1,0.437649,0.60244,[ 2 52] ; [ 1 10],[ 2.49230769 51.50769231] ; [ 0.50769231 10.49230769],0
a1,1,0.437745,0.602186,[ 2 57] ; [ 1 11],[ 2.49295775 56.50704225] ; [ 0.50704225 11.49295775],0
u1,1,0.448032,0.575626,[16 43] ; [ 2 10],[14.95774648 44.04225352] ; [3.04225352 8.95774648],0
a6,1,0.479097,0.500918,[36 23] ; [6 6],[34.90140845 24.09859155] ; [7.09859155 4.90140845],0
a4,1,0.492121,0.471885,[31 28] ; [5 7],[29.91549296 29.08450704] ; [6.08450704 5.91549296],0
d5,1,0.516425,0.421027,[53  6] ; [10  2],[52.35211268  6.64788732] ; [10.64788732  1.35211268],0
u2,1,0.550985,0.355556,[2 8] ; [2 4],[2.5 7.5] ; [1.5 4.5],0
b1,1,0.551214,0.355147,[24 35] ; [6 6],[24.92957746 34.07042254] ; [5.07042254 6.92957746],0
d3,1,0.572628,0.318306,[44 15] ; [8 4],[43.21126761 15.78873239] ; [8.78873239 3.21126761],0
p2,1,0.613941,0.254476,[48 11] ; [9 3],[47.36619718 11.63380282] ; [9.63380282 2.36619718],0
p3,1,0.713242,0.135061,[36 23] ; [8 4],[36.56338028 22.43661972] ; [7.43661972 4.56338028],0
n5,1,0.718423,0.130009,[47 12] ; [9 3],[46.53521127 12.46478873] ; [9.46478873 2.53521127],0
v2,1,0.743365,0.107191,[32 26] ; [6 6],[31.48571429 26.51428571] ; [6.51428571 5.48571429],0
