Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,23.66372,[69 17] ; [20 31],[55.86861314 30.13138686] ; [33.13138686 17.86861314],1
n1,1,0.011244,6.426411,[15 12] ; [ 5 19],[10.58823529 16.41176471] ; [ 9.41176471 14.58823529],0
v3,1,0.029773,4.72233,[24 60] ; [ 6 43],[18.94736842 65.05263158] ; [11.05263158 37.94736842],0
p11,1,0.031196,4.64212,[55 31] ; [23 28],[48.96350365 37.03649635] ; [29.03649635 21.96350365],0
s4,1,0.031744,4.612282,[11 75] ; [14 37],[15.69343066 70.30656934] ; [ 9.30656934 41.69343066],0
n3,1,0.042937,4.097864,[21  7] ; [12 13],[17.43396226 10.56603774] ; [15.56603774  9.43396226],0
a8,1,0.074803,3.174347,[11 70] ; [ 2 48],[ 8.03816794 72.96183206] ; [ 4.96183206 45.03816794],0
a4,1,0.081,3.044713,[36 49] ; [14 37],[31.25 53.75] ; [18.75 32.25],0
b5,1,0.09089,2.858538,[58 28] ; [27 24],[53.35766423 32.64233577] ; [31.64233577 19.35766423],0
u3,1,0.099739,2.709712,[ 7 21] ; [10 11],[ 9.71428571 18.28571429] ; [ 7.28571429 13.71428571],0
v4,1,0.102513,2.666011,[60 26] ; [42  9],[64.02919708 21.97080292] ; [37.97080292 13.02919708],0
d5,1,0.108934,2.569619,[63 23] ; [30 20],[58.80882353 27.19117647] ; [34.19117647 15.80882353],0
s6,1,0.116296,2.466504,[40 45] ; [17 34],[35.625 49.375] ; [21.375 29.625],0
a5,1,0.117077,2.455993,[49 37] ; [22 29],[44.56934307 41.43065693] ; [26.43065693 24.56934307],0
p10,1,0.160531,1.969219,[53 32] ; [25 25],[49.11111111 35.88888889] ; [28.88888889 21.11111111],0
n6,1,0.170569,1.877931,[62 24] ; [31 20],[58.37956204 27.62043796] ; [34.62043796 16.37956204],0
s5,1,0.187641,1.736041,[14 65] ; [14 37],[17.01538462 61.98461538] ; [10.98461538 40.01538462],0
b1,1,0.192581,1.697762,[39 47] ; [29 22],[42.68613139 43.31386861] ; [25.31386861 25.68613139],0
v2,1,0.197241,1.662688,[32 50] ; [14 36],[28.57575758 53.42424242] ; [17.42424242 32.57575758],0
d1,1,0.210317,1.56924,[38 48] ; [17 34],[34.52554745 51.47445255] ; [20.47445255 30.52554745],0
a2,1,0.21194,1.558128,[13 73] ; [ 4 47],[10.67153285 75.32846715] ; [ 6.32846715 44.67153285],0
a6,1,0.222725,1.486725,[53 33] ; [26 25],[49.59124088 36.40875912] ; [29.40875912 21.59124088],0
p4,1,0.232085,1.428036,[34 52] ; [15 36],[30.75912409 55.24087591] ; [18.24087591 32.75912409],0
p6,1,0.282196,1.156483,[20 64] ; [ 8 42],[17.55223881 66.44776119] ; [10.44776119 39.55223881],0
