Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,1e-06,23.90401,[107  15] ; [23 21],[95.54216867 26.45783133] ; [34.45783133  9.54216867],1
p10,1,1e-05,19.582357,[100  22] ; [22 24],[88.5952381 33.4047619] ; [33.4047619 12.5952381],1
p11,1,0.000238,13.50727,[93 29] ; [22 25],[83.01775148 38.98224852] ; [31.98224852 15.01775148],1
p7,1,0.00178,9.764102,[70 49] ; [15 32],[60.93373494 58.06626506] ; [24.06626506 22.93373494],0
v4,1,0.001893,9.650247,[114   8] ; [36 11],[108.28402367  13.71597633] ; [41.71597633  5.28402367],0
r3,1,0.002354,9.251032,[109  13] ; [33 14],[102.50887574  19.49112426] ; [39.49112426  7.50887574],0
p4,1,0.002365,9.242413,[65 56] ; [13 34],[56.17857143 64.82142857] ; [21.82142857 25.17857143],0
p1,1,0.005448,7.724395,[  8 114] ; [10 37],[ 12.99408284 109.00591716] ; [ 5.00591716 41.99408284],0
n6,1,0.009591,6.709259,[102  20] ; [30 16],[95.85714286 26.14285714] ; [36.14285714  9.85714286],0
s3,1,0.012665,6.215291,[64 56] ; [15 32],[56.76646707 63.23353293] ; [22.23353293 24.76646707],0
n3,1,0.013052,6.162036,[28  8] ; [ 9 11],[23.78571429 12.21428571] ; [13.21428571  6.78571429],0
r4,1,0.020531,5.366196,[90 32] ; [26 21],[83.73964497 38.26035503] ; [32.26035503 14.73964497],0
s6,1,0.027944,4.831508,[67 50] ; [18 29],[60.6402439 56.3597561] ; [24.3597561 22.6402439],0
p8,1,0.028481,4.798693,[55 64] ; [13 34],[48.74698795 70.25301205] ; [19.25301205 27.74698795],0
p3,1,0.028957,4.770173,[59 63] ; [14 33],[52.69822485 69.30177515] ; [20.30177515 26.69822485],0
s1,1,0.031553,4.622629,[  2 119] ; [ 4 43],[  4.32142857 116.67857143] ; [ 1.67857143 45.32142857],0
v1,1,0.040527,4.195702,[54 64] ; [13 33],[48.20731707 69.79268293] ; [18.79268293 27.20731707],0
s7,1,0.047815,3.916484,[51 66] ; [12 33],[45.5 71.5] ; [17.5 27.5],0
a1,1,0.053011,3.743587,[  7 115] ; [ 7 40],[ 10.10650888 111.89349112] ; [ 3.89349112 43.10650888],0
u2,1,0.057051,3.62109,[25 25] ; [ 4 13],[21.64179104 28.35820896] ; [7.35820896 9.64179104],0
s8,1,0.079465,3.075815,[43 79] ; [10 37],[38.26035503 83.73964497] ; [14.73964497 32.26035503],0
d2,1,0.132613,2.261643,[44 78] ; [22 23],[48.21556886 73.78443114] ; [17.78443114 27.21556886],0
p6,1,0.133215,2.254631,[45 74] ; [12 35],[40.86144578 78.13855422] ; [16.13855422 30.86144578],0
a7,1,0.135202,2.231732,[77 44] ; [24 23],[72.74404762 48.25595238] ; [28.25595238 18.74404762],0
s2,1,0.135985,2.222817,[57 65] ; [16 31],[52.69822485 69.30177515] ; [20.30177515 26.69822485],0
