Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,70.751223,[185  64] ; [172 250],[132.47839046 116.52160954] ; [224.52160954 197.47839046],1
s6,1,0.0,61.665176,[222  26] ; [257 163],[177.83233533  70.16766467] ; [301.16766467 118.83233533],1
s7,1,0.0,39.995177,[164  76] ; [173 233],[125.20123839 114.79876161] ; [211.79876161 194.20123839],1
p5,1,0.0,37.907063,[ 56 195] ; [ 26 393],[ 30.71940299 220.28059701] ; [ 51.28059701 367.71940299],1
s4,1,0.0,30.13633,[ 67 180] ; [ 45 376],[ 41.41317365 205.58682635] ; [ 70.58682635 350.41317365],1
s8,1,0.0,29.159454,[154  95] ; [170 252],[120.23248882 128.76751118] ; [203.76751118 218.23248882],1
s3,1,0.0,29.005609,[176  72] ; [208 211],[142.77661169 105.22338831] ; [241.22338831 177.77661169],1
p6,1,4e-06,21.465807,[127 122] ; [137 280],[ 98.7027027 150.2972973] ; [165.2972973 251.7027027],1
p7,1,0.000185,13.974357,[189  56] ; [262 153],[167.41666667  77.58333333] ; [283.58333333 131.41666667],1
p12,1,0.000361,12.724324,[ 36 214] ; [ 26 396],[ 23.06547619 226.93452381] ; [ 38.93452381 383.06547619],1
p3,1,0.000781,11.286591,[154  96] ; [204 219],[132.98662704 117.01337296] ; [225.01337296 197.98662704],1
p1,1,0.00112,10.618295,[ 34 216] ; [ 26 395],[ 22.35469449 227.64530551] ; [ 37.64530551 383.35469449],0
a5,1,0.002347,9.256426,[208  43] ; [307 116],[191.78783383  59.21216617] ; [323.21216617  99.78783383],0
b5,1,0.00345,8.552642,[134 117] ; [274 149],[151.94065282  99.05934718] ; [256.05934718 166.94065282],0
p4,1,0.004477,8.079341,[174  75] ; [248 173],[156.83283582  92.16716418] ; [265.16716418 155.83283582],0
a1,1,0.004696,7.992979,[ 18 233] ; [ 11 412],[ 10.79970326 240.20029674] ; [ 18.20029674 404.79970326],0
p8,1,0.007739,7.092917,[158  91] ; [220 196],[141.53684211 107.46315789] ; [236.46315789 179.53684211],0
v1,1,0.008982,6.826458,[158  91] ; [217 192],[141.90729483 107.09270517] ; [233.09270517 175.90729483],0
n6,1,0.011492,6.387599,[228  20] ; [360  62],[217.64776119  30.35223881] ; [370.35223881  51.64776119],0
d4,1,0.013128,6.151719,[220  29] ; [342  80],[208.5514158  40.4485842] ; [353.4485842  68.5514158],0
a3,1,0.016367,5.763045,[198  52] ; [298 123],[184.79880775  65.20119225] ; [311.20119225 109.79880775],0
a6,1,0.019301,5.474007,[161  88] ; [309 113],[174.41132638  74.58867362] ; [295.58867362 126.41132638],0
a7,1,0.029042,4.765115,[176  75] ; [327  94],[187.8764881  63.1235119] ; [315.1235119 105.8764881],0
d1,1,0.030881,4.659584,[167  84] ; [246 177],[153.80267062  97.19732938] ; [259.19732938 163.80267062],0
b3,1,0.031914,4.603134,[70 79] ; [ 91 161],[59.82294264 89.17705736] ; [101.17705736 150.82294264],0
b2,1,0.031914,4.603134,[70 79] ; [ 91 161],[59.82294264 89.17705736] ; [101.17705736 150.82294264],0
r3,1,0.032727,4.559996,[242   8] ; [419   4],[245.5423477   4.4576523] ; [415.4576523   7.5423477],0
p10,1,0.039836,4.224873,[236  14] ; [380  43],[228.82615156  21.17384844] ; [387.17384844  35.82615156],0
u1,1,0.043414,4.079223,[ 56 195] ; [ 68 355],[ 46.17804154 204.82195846] ; [ 77.82195846 345.17804154],0
n5,1,0.077383,3.119018,[205  45] ; [320 100],[195.89552239  54.10447761] ; [329.10447761  90.89552239],0
n1,1,0.088871,2.894702,[26 28] ; [29 57],[21.21428571 32.78571429] ; [33.78571429 52.21428571],0
u3,1,0.096548,2.761664,[36 17] ; [67 56],[31.01704545 21.98295455] ; [71.98295455 51.01704545],0
d2,1,0.107007,2.597883,[131 119] ; [194 228],[120.9077381 129.0922619] ; [204.0922619 217.9077381],0
v3,1,0.128023,2.316317,[111 135] ; [157 245],[101.74074074 144.25925926] ; [166.25925926 235.74074074],0
a4,1,0.135394,2.229542,[127 124] ; [188 233],[117.65625 133.34375] ; [197.34375 223.65625],0
a2,1,0.138263,2.197186,[ 71 180] ; [ 98 325],[ 62.93620178 188.06379822] ; [106.06379822 316.93620178],0
p11,1,0.209292,1.576317,[205  46] ; [361  62],[210.78041543  40.21958457] ; [355.21958457  67.78041543],0
n2,1,0.221112,1.497141,[44 10] ; [63 24],[40.9787234 13.0212766] ; [66.0212766 20.9787234],0
r1,1,0.251638,1.314184,[217  32] ; [354  68],[211.89120715  37.10879285] ; [359.10879285  62.89120715],0
n4,1,0.297021,1.087522,[201  48] ; [327  96],[195.64285714  53.35714286] ; [332.35714286  90.64285714],0
b4,1,0.384205,0.757205,[151 100] ; [240 183],[145.60979228 105.39020772] ; [245.39020772 177.60979228],0
u2,1,0.422351,0.643764,[28 25] ; [73 50],[30.41477273 22.58522727] ; [70.58522727 52.41477273],0
b1,1,0.451676,0.566444,[ 89 162] ; [138 285],[ 84.53560831 166.46439169] ; [142.46439169 280.53560831],0
d5,1,0.463402,0.537665,[209  40] ; [344  77],[205.51791045  43.48208955] ; [347.48208955  73.51791045],0
a8,1,0.485746,0.485936,[ 30 199] ; [ 58 325],[ 32.92810458 196.07189542] ; [ 55.07189542 327.92810458],0
u4,1,0.498881,0.457316,[  5 246] ; [ 12 411],[  6.33086053 244.66913947] ; [ 10.66913947 412.33086053],0
s1,1,0.506744,0.440784,[  8 238] ; [ 10 409],[  6.65864662 239.34135338] ; [ 11.34135338 407.65864662],0
d3,1,0.608036,0.263045,[181  69] ; [297 124],[178.0923994  71.9076006] ; [299.9076006 121.0923994],0
v4,1,0.626016,0.237502,[247   4] ; [414   9],[246.15875371   4.84124629] ; [414.84124629   8.15875371],0
v2,1,0.649756,0.206208,[148  98] ; [234 167],[145.24265842 100.75734158] ; [236.75734158 164.24265842],0
p2,1,0.658617,0.195208,[220  31] ; [364  57],[218.13095238  32.86904762] ; [365.86904762  55.13095238],0
r2,1,0.748631,0.102685,[244   7] ; [409  10],[244.63134328   6.36865672] ; [408.36865672  10.63134328],0
n3,1,0.958333,0.00273,[40 13] ; [66 21],[40.12857143 12.87142857] ; [65.87142857 21.12857143],0
