Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,40.362577,[250  14] ; [26 15],[238.89836066  25.10163934] ; [37.10163934  3.89836066],1
r4,1,0.0,37.785656,[232  32] ; [20 21],[218.12459016  45.87540984] ; [33.87540984  7.12459016],1
r3,1,0.0,33.05243,[239  23] ; [24 17],[227.41254125  34.58745875] ; [35.58745875  5.41254125],1
p10,1,1e-06,23.38614,[207  54] ; [18 23],[194.45364238  66.54635762] ; [30.54635762 10.45364238],1
p11,1,1.5e-05,18.776726,[202  62] ; [18 23],[190.42622951  73.57377049] ; [29.57377049 11.42622951],1
a1,1,0.000109,14.966146,[  8 256] ; [ 7 34],[ 12.98360656 251.01639344] ; [ 2.01639344 38.98360656],1
p4,1,0.000181,14.01974,[159 104] ; [12 29],[147.9375 115.0625] ; [23.0625 17.9375],1
p2,1,0.000181,14.016933,[214  49] ; [22 18],[204.84488449  58.15511551] ; [31.15511551  8.84488449],1
s6,1,0.000314,12.983032,[175  82] ; [16 25],[164.72147651  92.27852349] ; [26.27852349 14.72147651],1
p3,1,0.000383,12.612142,[122 140] ; [ 7 34],[111.54455446 150.45544554] ; [17.45544554 23.54455446],1
r1,1,0.000384,12.608506,[198  64] ; [20 21],[188.50165017  73.49834983] ; [29.49834983 11.50165017],1
p8,1,0.000618,11.720456,[135 127] ; [ 9 31],[124.92715232 137.07284768] ; [19.07284768 20.92715232],1
s7,1,0.000907,11.008186,[125 126] ; [ 9 32],[115.18493151 135.81506849] ; [18.81506849 22.18493151],1
d5,1,0.001448,10.143315,[206  57] ; [22 18],[197.9009901  65.0990099] ; [30.0990099  9.9009901],0
s8,1,0.001606,9.953269,[113 150] ; [ 7 34],[103.81578947 159.18421053] ; [16.18421053 24.81578947],0
d1,1,0.002227,9.351956,[145 119] ; [12 29],[135.89508197 128.10491803] ; [21.10491803 19.89508197],0
p9,1,0.008366,6.953332,[211  48] ; [26 15],[204.61  54.39] ; [32.39  8.61],0
s2,1,0.009582,6.711011,[130 133] ; [11 29],[122.38613861 140.61386139] ; [18.61386139 21.38613861],0
d4,1,0.015582,5.849386,[199  64] ; [23 17],[192.69306931  70.30693069] ; [29.30693069 10.69306931],0
n4,1,0.015626,5.844527,[230  33] ; [30 11],[224.93421053  38.06578947] ; [35.06578947  5.93421053],0
a5,1,0.02759,4.853481,[187  77] ; [22 19],[180.90491803  83.09508197] ; [28.09508197 12.90491803],0
b1,1,0.037351,4.334338,[115 149] ; [25 16],[121.18032787 142.81967213] ; [18.81967213 22.18032787],0
