Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a1,1,0.026826,4.901988,[ 4 56] ; [1 1],[ 4.83870968 55.16129032] ; [0.16129032 1.83870968],0
a2,1,0.026826,4.901988,[ 4 56] ; [1 1],[ 4.83870968 55.16129032] ; [0.16129032 1.83870968],0
p1,1,0.11165,2.53071,[ 7 53] ; [1 1],[ 7.74193548 52.25806452] ; [0.25806452 1.74193548],0
a8,1,0.176787,1.824432,[ 8 47] ; [1 1],[ 8.68421053 46.31578947] ; [0.31578947 1.68421053],0
p6,1,0.364466,0.822446,[13 45] ; [1 1],[13.53333333 44.46666667] ; [0.46666667 1.53333333],0
p3,1,0.386334,0.750449,[14 46] ; [1 1],[14.51612903 45.48387097] ; [0.48387097 1.51612903],0
s8,1,0.426698,0.631793,[15 45] ; [1 1],[15.48387097 44.51612903] ; [0.51612903 1.48387097],0
v2,1,0.458978,0.548386,[15 42] ; [1 1],[15.45762712 41.54237288] ; [0.54237288 1.45762712],0
v3,1,0.458978,0.548386,[15 42] ; [1 1],[15.45762712 41.54237288] ; [0.54237288 1.45762712],0
s7,1,0.597,0.279545,[18 38] ; [1 1],[18.34482759 37.65517241] ; [0.65517241 1.34482759],0
s2,1,0.624184,0.240031,[20 40] ; [1 1],[20.32258065 39.67741935] ; [0.67741935 1.32258065],0
r3,1,0.637395,0.222165,[39 20] ; [1 1],[38.68852459 20.31147541] ; [1.31147541 0.68852459],0
v1,1,0.662728,0.190227,[21 39] ; [1 1],[21.29032258 38.70967742] ; [0.70967742 1.29032258],0
n6,1,0.715258,0.133082,[37 22] ; [1 1],[36.75409836 22.24590164] ; [1.24590164 0.75409836],0
p10,1,0.760853,0.092635,[22 34] ; [1 1],[22.20689655 33.79310345] ; [0.79310345 1.20689655],0
b4,1,0.776712,0.080432,[24 36] ; [1 1],[24.19354839 35.80645161] ; [0.80645161 1.19354839],0
r4,1,0.776712,0.080432,[36 24] ; [1 1],[35.80645161 24.19354839] ; [1.19354839 0.80645161],0
p2,1,0.851614,0.034991,[34 26] ; [1 1],[33.87096774 26.12903226] ; [1.12903226 0.87096774],0
p4,1,0.851614,0.034991,[26 34] ; [1 1],[26.12903226 33.87096774] ; [0.87096774 1.12903226],0
b1,1,0.851614,0.034991,[34 26] ; [1 1],[33.87096774 26.12903226] ; [1.12903226 0.87096774],0
s3,1,0.868069,0.027593,[26 33] ; [1 1],[26.1147541 32.8852459] ; [0.8852459 1.1147541],0
p7,1,0.923436,0.009236,[27 31] ; [1 1],[27.06666667 30.93333333] ; [0.93333333 1.06666667],0
b5,1,0.92595,0.008638,[32 28] ; [1 1],[31.93548387 28.06451613] ; [1.06451613 0.93548387],0
p9,1,1.0,0.0,[28 28] ; [1 1],[28. 28.] ; [1. 1.],0
