Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.6e-05,18.615078,[71  3] ; [1 2],[69.19480519  4.80519481] ; [2.80519481 0.19480519],1
p9,1,0.000446,12.330053,[68  5] ; [1 2],[66.27631579  6.72368421] ; [2.72368421 0.27631579],1
p10,1,0.008175,6.994745,[65  9] ; [1 2],[63.42857143 10.57142857] ; [2.57142857 0.42857143],0
s6,1,0.026309,4.935566,[70  3] ; [2 1],[69.15789474  3.84210526] ; [2.84210526 0.15789474],0
r3,1,0.026309,4.935566,[70  3] ; [2 1],[69.15789474  3.84210526] ; [2.84210526 0.15789474],0
s2,1,0.035291,4.431062,[61 13] ; [1 2],[59.58441558 14.41558442] ; [2.41558442 0.58441558],0
s3,1,0.070731,3.265978,[58 16] ; [1 2],[56.7012987 17.2987013] ; [2.2987013 0.7012987],0
r1,1,0.070731,3.265978,[58 16] ; [1 2],[56.7012987 17.2987013] ; [2.2987013 0.7012987],0
a3,1,0.136249,2.21982,[54 20] ; [1 2],[52.85714286 21.14285714] ; [2.14285714 0.85714286],0
b4,1,0.175716,1.833489,[52 22] ; [1 2],[50.93506494 23.06493506] ; [2.06493506 0.93506494],0
b1,1,0.265714,1.238739,[26 48] ; [2 1],[26.90909091 47.09090909] ; [1.09090909 1.90909091],0
d4,1,0.387269,0.747499,[63 11] ; [2 1],[62.46753247 11.53246753] ; [2.53246753 0.46753247],0
a6,1,0.423168,0.641501,[42 32] ; [1 2],[41.32467532 32.67532468] ; [1.67532468 1.32467532],0
d5,1,0.437824,0.601979,[62 12] ; [2 1],[61.50649351 12.49350649] ; [2.49350649 0.50649351],0
d2,1,0.451646,0.566517,[41 33] ; [1 2],[40.36363636 33.63636364] ; [1.63636364 1.36363636],0
v2,1,0.571573,0.320057,[36 36] ; [1 2],[35.52 36.48] ; [1.48 1.52],0
v1,1,0.634636,0.225826,[39 35] ; [2 1],[39.4025974 34.5974026] ; [1.5974026 1.4025974],0
p3,1,0.634636,0.225826,[39 35] ; [2 1],[39.4025974 34.5974026] ; [1.5974026 1.4025974],0
p8,1,0.636602,0.223214,[38 34] ; [2 1],[38.4 33.6] ; [1.6 1.4],0
p6,1,0.652004,0.203382,[39 34] ; [2 1],[39.38157895 33.61842105] ; [1.61842105 1.38157895],0
u3,1,0.67415,0.176786,[13  7] ; [1 1],[12.72727273  7.27272727] ; [1.27272727 0.72727273],0
s7,1,0.710414,0.137864,[54 17] ; [2 1],[53.72972973 17.27027027] ; [2.27027027 0.72972973],0
n5,1,0.893648,0.017873,[52 22] ; [2 1],[51.8961039 22.1038961] ; [2.1038961 0.8961039],0
n4,1,0.948878,0.004111,[48 26] ; [2 1],[48.05194805 25.94805195] ; [1.94805195 1.05194805],0
p4,1,0.987096,0.000262,[49 25] ; [2 1],[49.01298701 24.98701299] ; [1.98701299 1.01298701],0
