Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2e-06,22.597619,[36 36] ; [200  55],[51.96330275 20.03669725] ; [184.03669725  70.96330275],1
s6,1,1.7e-05,18.46555,[49 23] ; [225  28],[60.70153846 11.29846154] ; [213.29846154  39.70153846],1
a3,1,7.4e-05,15.709001,[49 24] ; [222  33],[60.31402439 12.68597561] ; [210.68597561  44.31402439],1
s3,1,0.000273,13.244293,[42 30] ; [201  52],[53.83384615 18.16615385] ; [189.16615385  63.83384615],1
n5,1,0.002885,8.879036,[49 23] ; [213  41],[57.86503067 14.13496933] ; [204.13496933  49.86503067],0
p5,1,0.005185,7.81369,[ 4 69] ; [ 48 203],[11.71604938 61.28395062] ; [ 40.28395062 210.71604938],0
n6,1,0.010301,6.5821,[58 15] ; [229  24],[64.26687117  8.73312883] ; [222.73312883  30.26687117],0
u1,1,0.017194,5.676509,[11 62] ; [ 74 182],[18.86018237 54.13981763] ; [ 66.13981763 189.86018237],0
r4,1,0.03275,4.558808,[72  1] ; [234  22],[67.89665653  5.10334347] ; [238.10334347  17.89665653],0
s5,1,0.036802,4.359548,[24 44] ; [120 122],[31.58709677 36.41290323] ; [112.41290323 129.58709677],0
u2,1,0.048333,3.898359,[13 11] ; [26  7],[16.42105263  7.57894737] ; [22.57894737 10.42105263],0
n1,1,0.114574,2.489974,[3 9] ; [28 28],[5.47058824 6.52941176] ; [25.52941176 30.47058824],0
n4,1,0.129461,2.298957,[57 16] ; [218  37],[61.20426829 11.79573171] ; [213.79573171  41.20426829],0
b4,1,0.130759,2.283465,[48 25] ; [143 113],[42.37993921 30.62006079] ; [148.62006079 107.37993921],0
s4,1,0.133356,2.252997,[10 63] ; [ 55 199],[14.51070336 58.48929664] ; [ 50.48929664 203.51070336],0
p11,1,0.134968,2.234417,[65  8] ; [209  47],[60.79635258 12.20364742] ; [213.20364742  42.79635258],0
a2,1,0.137004,2.211294,[16 57] ; [ 79 177],[21.07902736 51.92097264] ; [ 73.92097264 182.07902736],0
u4,1,0.138625,2.193157,[ 1 72] ; [ 14 242],[ 3.32826748 69.67173252] ; [ 11.67173252 244.32826748],0
v2,1,0.140632,2.171025,[38 31] ; [160  87],[43.23417722 25.76582278] ; [154.76582278  92.23417722],0
d1,1,0.142121,2.154846,[61 12] ; [193  63],[56.35866261 16.64133739] ; [197.64133739  58.35866261],0
p9,1,0.148606,2.086501,[64  9] ; [237  18],[66.99085366  6.00914634] ; [234.00914634  20.99085366],0
d2,1,0.208963,1.578599,[49 24] ; [151 105],[44.3768997 28.6231003] ; [155.6231003 100.3768997],0
p1,1,0.214655,1.539752,[ 4 69] ; [ 26 228],[ 6.69724771 66.30275229] ; [ 23.30275229 230.69724771],0
