Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.000566,11.885056,[ 3 30] ; [18 21],[ 9.625 23.375] ; [11.375 27.625],1
r3,1,0.002119,9.443533,[26  9] ; [42  1],[30.51282051  4.48717949] ; [37.48717949  5.51282051],0
v1,1,0.026625,4.914962,[10 24] ; [23 19],[14.76315789 19.23684211] ; [18.23684211 23.76315789],0
p2,1,0.071205,3.255022,[19 15] ; [31 10],[22.66666667 11.33333333] ; [27.33333333 13.66666667],0
s6,1,0.108647,2.573796,[17 18] ; [28 14],[20.45454545 14.54545455] ; [24.54545455 17.45454545],0
p4,1,0.149923,2.073034,[13 22] ; [22 19],[16.11842105 18.88157895] ; [18.88157895 22.11842105],0
u2,1,0.17753,1.818182,[6 3] ; [10  1],[7.2 1.8] ; [8.8 2.2],0
b1,1,0.179263,1.803724,[20 15] ; [18 25],[17.05128205 17.94871795] ; [20.94871795 22.05128205],0
a4,1,0.179263,1.803724,[20 15] ; [18 25],[17.05128205 17.94871795] ; [20.94871795 22.05128205],0
a2,1,0.185969,1.749267,[12 23] ; [ 9 34],[ 9.42307692 25.57692308] ; [11.57692308 31.42307692],0
d2,1,0.198115,1.656213,[26  8] ; [27 16],[23.4025974 10.5974026] ; [29.5974026 13.4025974],0
r1,1,0.209559,1.574471,[24 11] ; [34  8],[26.36363636  8.63636364] ; [31.63636364 10.36363636],0
b4,1,0.223653,1.480778,[25 10] ; [25 18],[22.43589744 12.56410256] ; [27.56410256 15.43589744],0
s8,1,0.247669,1.336402,[15 20] ; [13 30],[12.56410256 22.43589744] ; [15.43589744 27.56410256],0
n2,1,0.255623,1.292308,[6 8] ; [9 5],[7.5 6.5] ; [7.5 6.5],0
n3,1,0.343446,0.897527,[6 7] ; [9 5],[7.22222222 5.77777778] ; [7.77777778 6.22222222],0
d3,1,0.383826,0.758413,[32  2] ; [38  5],[30.90909091  3.09090909] ; [39.09090909  3.90909091],0
p6,1,0.413495,0.668731,[ 7 27] ; [11 27],[ 8.5 25.5] ; [ 9.5 28.5],0
r4,1,0.418313,0.65505,[24 11] ; [33 10],[25.57692308  9.42307692] ; [31.42307692 11.57692308],0
s7,1,0.454407,0.559637,[ 9 22] ; [15 25],[10.47887324 20.52112676] ; [13.52112676 26.47887324],0
s2,1,0.46616,0.531065,[13 21] ; [20 23],[14.57142857 19.42857143] ; [18.42857143 24.57142857],0
p9,1,0.466436,0.530406,[22 13] ; [29 12],[23.48684211 11.51315789] ; [27.51315789 13.48684211],0
a6,1,0.472471,0.51619,[24 10] ; [27 16],[22.51948052 11.48051948] ; [28.48051948 14.51948052],0
v4,1,0.476046,0.507907,[28  7] ; [37  6],[29.16666667  5.83333333] ; [35.83333333  7.16666667],0
s4,1,0.476046,0.507907,[ 7 28] ; [ 6 37],[ 5.83333333 29.16666667] ; [ 7.16666667 35.83333333],0
p1,1,0.482026,0.494276,[ 3 32] ; [ 2 41],[ 2.24358974 32.75641026] ; [ 2.75641026 40.24358974],0
n5,1,0.494028,0.467741,[12 23] ; [18 25],[13.46153846 21.53846154] ; [16.53846154 26.46153846],0
s1,1,0.495295,0.465003,[ 3 31] ; [ 2 39],[ 2.26666667 31.73333333] ; [ 2.73333333 38.26666667],0
a8,1,0.505843,0.442657,[ 2 32] ; [ 1 36],[ 1.43661972 32.56338028] ; [ 1.56338028 35.43661972],0
n1,1,0.515759,0.422366,[6 8] ; [4 9],[5.18518519 8.81481481] ; [4.81481481 8.18518519],0
p11,1,0.553384,0.351289,[18 17] ; [25 18],[19.29487179 15.70512821] ; [23.70512821 19.29487179],0
p3,1,0.636602,0.223214,[13 22] ; [17 23],[14. 21.] ; [16. 24.],0
p7,1,0.658047,0.195904,[16 17] ; [22 19],[16.94594595 16.05405405] ; [21.05405405 19.94594595],0
s3,1,0.679314,0.170899,[17 17] ; [23 19],[17.89473684 16.10526316] ; [22.10526316 19.89473684],0
u1,1,0.726933,0.121946,[ 5 30] ; [ 5 38],[ 4.48717949 30.51282051] ; [ 5.51282051 37.48717949],0
b2,1,0.767515,0.087395,[ 8 18] ; [ 9 17],[ 8.5 17.5] ; [ 8.5 17.5],0
b3,1,0.767515,0.087395,[ 8 18] ; [ 9 17],[ 8.5 17.5] ; [ 8.5 17.5],0
u3,1,0.768571,0.08658,[6 3] ; [8 3],[6.3 2.7] ; [7.7 3.3],0
s5,1,0.776871,0.080315,[10 25] ; [10 29],[ 9.45945946 25.54054054] ; [10.54054054 28.45945946],0
n4,1,0.783534,0.075469,[19 16] ; [22 21],[18.3974359 16.6025641] ; [22.6025641 20.3974359],0
r2,1,0.787033,0.072989,[31  3] ; [39  3],[31.31578947  2.68421053] ; [38.68421053  3.31578947],0
p5,1,0.800028,0.064167,[ 2 33] ; [ 3 39],[ 2.27272727 32.72727273] ; [ 2.72727273 39.27272727],0
p8,1,0.824471,0.049194,[14 21] ; [15 25],[13.53333333 21.46666667] ; [15.46666667 24.53333333],0
b5,1,0.836113,0.042794,[22 13] ; [28 15],[22.43589744 12.56410256] ; [27.56410256 15.43589744],0
p10,1,0.974551,0.001018,[22 13] ; [25 15],[21.93333333 13.06666667] ; [25.06666667 14.93333333],0
a7,1,0.989334,0.000179,[26  9] ; [32 11],[26.02564103  8.97435897] ; [31.97435897 11.02564103],0
a5,1,0.989334,0.000179,[26  9] ; [32 11],[26.02564103  8.97435897] ; [31.97435897 11.02564103],0
a3,1,0.989334,0.000179,[26  9] ; [32 11],[26.02564103  8.97435897] ; [31.97435897 11.02564103],0
