Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,6e-06,20.387819,[23 56] ; [36 16],[35.58015267 43.41984733] ; [23.41984733 28.58015267],1
v3,1,0.002487,9.149934,[15 62] ; [23 29],[22.68217054 54.31782946] ; [15.31782946 36.68217054],0
a5,1,0.043598,4.07208,[45 34] ; [40 14],[50.4887218 28.5112782] ; [34.5112782 19.4887218],0
d3,1,0.075534,3.158469,[51 27] ; [43 11],[55.54545455 22.45454545] ; [38.45454545 15.54545455],0
a2,1,0.081509,3.034546,[17 62] ; [19 35],[21.38345865 57.61654135] ; [14.61654135 39.38345865],0
n4,1,0.082551,3.013939,[47 32] ; [40 14],[51.67669173 27.32330827] ; [35.32330827 18.67669173],0
s1,1,0.088533,2.900846,[ 7 70] ; [ 1 53],[ 4.70229008 72.29770992] ; [ 3.29770992 50.70229008],0
a3,1,0.127818,2.318809,[49 29] ; [40 13],[52.99236641 25.00763359] ; [36.00763359 16.99236641],0
p2,1,0.146976,2.103364,[49 30] ; [40 14],[52.86466165 26.13533835] ; [36.13533835 17.86466165],0
r1,1,0.148797,2.084542,[57 22] ; [44  9],[60.4469697 18.5530303] ; [40.5530303 12.4469697],0
n2,1,0.157061,2.002302,[16 15] ; [13  5],[18.34693878 12.65306122] ; [10.65306122  7.34693878],0
a8,1,0.168984,1.891933,[ 7 67] ; [ 8 36],[ 9.40677966 64.59322034] ; [ 5.59322034 38.40677966],0
v4,1,0.170812,1.875801,[65 14] ; [49  5],[67.71428571 11.28571429] ; [46.28571429  7.71428571],0
a6,1,0.195082,1.678818,[51 27] ; [41 13],[54.36363636 23.63636364] ; [37.63636364 16.36363636],0
r3,1,0.233485,1.419506,[66 13] ; [49  5],[68.30827068 10.69172932] ; [46.69172932  7.30827068],0
s6,1,0.271532,1.20899,[38 40] ; [31 22],[41.08396947 36.91603053] ; [27.91603053 25.08396947],0
s8,1,0.27739,1.179831,[17 61] ; [16 37],[19.64885496 58.35114504] ; [13.35114504 39.64885496],0
r2,1,0.320684,0.986155,[68 10] ; [50  4],[69.72727273  8.27272727] ; [48.27272727  5.72727273],0
s7,1,0.351564,0.867804,[22 53] ; [19 32],[24.4047619 50.5952381] ; [16.5952381 34.4047619],0
u1,1,0.371088,0.800018,[14 65] ; [13 41],[16.03759398 62.96240602] ; [10.96240602 43.03759398],0
r4,1,0.389,0.742065,[61 18] ; [45  9],[62.96240602 16.03759398] ; [43.03759398 10.96240602],0
a1,1,0.477782,0.503923,[ 7 72] ; [ 3 51],[ 5.93984962 73.06015038] ; [ 4.06015038 49.93984962],0
n6,1,0.499358,0.456301,[49 29] ; [37 17],[50.81818182 27.18181818] ; [35.18181818 18.81818182],0
p3,1,0.511009,0.432,[24 55] ; [19 34],[25.73484848 53.26515152] ; [17.26515152 35.73484848],0
s5,1,0.555839,0.34696,[13 62] ; [ 7 45],[11.81102362 63.18897638] ; [ 8.18897638 43.81102362],0
d2,1,0.573206,0.317348,[38 40] ; [29 25],[39.59090909 38.40909091] ; [27.40909091 26.59090909],0
n3,1,0.57921,0.307514,[20 11] ; [13  5],[20.87755102 10.12244898] ; [12.12244898  5.87755102],0
b4,1,0.583862,0.300032,[46 33] ; [34 20],[47.51879699 31.48120301] ; [32.48120301 21.51879699],0
n1,1,0.598976,0.276543,[14 16] ; [ 7 11],[13.125 16.875] ; [ 7.875 10.125],0
s4,1,0.619755,0.246212,[13 65] ; [ 7 45],[12. 66.] ; [ 8. 44.],0
p6,1,0.621565,0.243674,[21 57] ; [12 40],[19.8 58.2] ; [13.2 38.8],0
p8,1,0.624688,0.239333,[25 51] ; [20 34],[26.30769231 49.69230769] ; [18.69230769 35.30769231],0
u3,1,0.679126,0.171111,[17 13] ; [7 7],[16.36363636 13.63636364] ; [7.63636364 6.36363636],0
d4,1,0.707264,0.141026,[63 15] ; [45  9],[63.81818182 14.18181818] ; [44.18181818  9.81818182],0
s2,1,0.723216,0.125432,[25 54] ; [18 34],[25.93129771 53.06870229] ; [17.06870229 34.93129771],0
p11,1,0.76972,0.085697,[36 43] ; [26 28],[36.82706767 42.17293233] ; [25.17293233 28.82706767],0
b5,1,0.804718,0.06113,[54 25] ; [38 16],[54.64661654 24.35338346] ; [37.35338346 16.64661654],0
p7,1,0.813259,0.055802,[34 44] ; [22 31],[33.34351145 44.65648855] ; [22.65648855 30.34351145],0
p9,1,0.840952,0.040271,[27 48] ; [20 33],[27.5390625 47.4609375] ; [19.4609375 33.5390625],0
n5,1,0.872386,0.025801,[45 34] ; [30 24],[44.54887218 34.45112782] ; [30.45112782 23.54887218],0
d1,1,0.881635,0.02217,[42 37] ; [28 26],[41.57894737 37.42105263] ; [28.42105263 25.57894737],0
s3,1,0.885629,0.020689,[35 43] ; [24 28],[35.4 42.6] ; [23.6 28.4],0
a4,1,0.911675,0.012304,[35 44] ; [24 29],[35.31060606 43.68939394] ; [23.68939394 29.31060606],0
u2,1,0.920813,0.009882,[12 18] ; [5 7],[12.14285714 17.85714286] ; [4.85714286 7.14285714],0
p4,1,0.92502,0.008857,[33 46] ; [23 31],[33.26315789 45.73684211] ; [22.73684211 31.26315789],0
p1,1,0.93493,0.006666,[ 6 71] ; [ 4 50],[ 5.8778626 71.1221374] ; [ 4.1221374 49.8778626],0
b2,1,0.951135,0.003755,[17 35] ; [11 22],[17.12941176 34.87058824] ; [10.87058824 22.12941176],0
b3,1,0.951135,0.003755,[17 35] ; [11 22],[17.12941176 34.87058824] ; [10.87058824 22.12941176],0
d5,1,0.984084,0.000398,[62 16] ; [43 11],[62.04545455 15.95454545] ; [42.95454545 11.04545455],0
b1,1,0.987208,0.000257,[35 44] ; [24 30],[35.04511278 43.95488722] ; [23.95488722 30.04511278],0
