Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,8.6e-05,15.41482,[66 17] ; [ 6 12],[59.16831683 23.83168317] ; [12.83168317  5.16831683],1
v4,1,0.002582,9.081409,[65 17] ; [ 8 10],[59.86 22.14] ; [13.14  4.86],0
r3,1,0.00683,7.317073,[66 16] ; [9 9],[61.5 20.5] ; [13.5  4.5],0
a5,1,0.009605,6.706735,[55 28] ; [ 6 12],[50.12871287 32.87128713] ; [10.87128713  7.12871287],0
v3,1,0.012433,6.24803,[28 51] ; [ 1 17],[23.6185567 55.3814433] ; [ 5.3814433 12.6185567],0
u3,1,0.033852,4.502188,[16 11] ; [2 8],[13.13513514 13.86486486] ; [4.86486486 5.13513514],0
d3,1,0.079335,3.078464,[51 32] ; [ 7 11],[47.66336634 35.33663366] ; [10.33663366  7.66336634],0
a6,1,0.083208,3.001109,[55 28] ; [ 8 10],[51.77227723 31.22772277] ; [11.22772277  6.77227723],0
d2,1,0.087936,2.911765,[45 36] ; [ 6 12],[41.72727273 39.27272727] ; [9.27272727 8.72727273],0
n4,1,0.105673,2.617761,[58 25] ; [9 9],[55.05940594 27.94059406] ; [11.94059406  6.05940594],0
a3,1,0.110198,2.551382,[56 27] ; [8 9],[53.12 29.88] ; [10.88  6.12],0
s5,1,0.124667,2.357682,[17 64] ; [ 1 17],[14.72727273 66.27272727] ; [ 3.27272727 14.72727273],0
d5,1,0.125276,2.350084,[65 18] ; [11  7],[62.45544554 20.54455446] ; [13.54455446  4.45544554],0
a4,1,0.125731,2.344437,[39 43] ; [ 5 13],[36.08 45.92] ; [ 7.92 10.08],0
s8,1,0.129111,2.303156,[17 65] ; [ 1 17],[14.76 67.24] ; [ 3.24 14.76],0
s3,1,0.131679,2.272597,[30 52] ; [ 3 14],[27.33333333 54.66666667] ; [ 5.66666667 11.33333333],0
n5,1,0.143498,2.140046,[48 35] ; [ 7 11],[45.1980198 37.8019802] ; [9.8019802 8.1980198],0
p4,1,0.202859,1.621673,[26 56] ; [ 3 15],[23.78 58.22] ; [ 5.22 12.78],0
p10,1,0.215262,1.535682,[14 68] ; [ 1 17],[12.3 69.7] ; [ 2.7 15.3],0
p3,1,0.295122,1.096107,[19 63] ; [ 2 15],[17.39393939 64.60606061] ; [ 3.60606061 13.39393939],0
d1,1,0.32035,0.987518,[43 40] ; [ 7 11],[41.08910891 41.91089109] ; [8.91089109 9.08910891],0
s6,1,0.323788,0.973585,[33 49] ; [ 5 13],[31.16 50.84] ; [ 6.84 11.16],0
n1,1,0.350169,0.872845,[14 22] ; [2 7],[12.8 23.2] ; [3.2 5.8],0
p8,1,0.360218,0.837134,[11 72] ; [ 1 17],[ 9.86138614 73.13861386] ; [ 2.13861386 15.86138614],0
s7,1,0.380099,0.770381,[21 54] ; [ 3 14],[19.56521739 55.43478261] ; [ 4.43478261 12.56521739],0
s2,1,0.392962,0.729758,[21 59] ; [ 3 15],[19.59183673 60.40816327] ; [ 4.40816327 13.59183673],0
p1,1,0.396145,0.719998,[ 8 74] ; [ 3 15],[ 9.02 72.98] ; [ 1.98 16.02],0
p2,1,0.433347,0.613835,[36 47] ; [ 6 12],[34.51485149 48.48514851] ; [ 7.48514851 10.51485149],0
d4,1,0.433451,0.613559,[62 20] ; [12  6],[60.68 21.32] ; [13.32  4.68],0
b4,1,0.442117,0.590782,[52 31] ; [13  5],[53.41584158 29.58415842] ; [11.58415842  6.41584158],0
a7,1,0.470036,0.521892,[53 29] ; [10  8],[51.66 30.34] ; [11.34  6.66],0
p11,1,0.488952,0.478832,[35 48] ; [ 6 12],[33.69306931 49.30693069] ; [ 7.30693069 10.69306931],0
a2,1,0.495623,0.464295,[20 63] ; [ 3 15],[18.9009901 64.0990099] ; [ 4.0990099 13.9009901],0
v1,1,0.501945,0.450821,[25 58] ; [ 4 14],[23.83168317 59.16831683] ; [ 5.16831683 12.83168317],0
s1,1,0.59107,0.288677,[ 6 76] ; [ 2 16],[ 6.56 75.44] ; [ 1.44 16.56],0
n6,1,0.643218,0.214559,[51 32] ; [10  8],[50.12871287 32.87128713] ; [10.87128713  7.12871287],0
b1,1,0.703078,0.14529,[42 41] ; [10  8],[42.73267327 40.26732673] ; [9.26732673 8.73267327],0
a1,1,0.717774,0.130635,[ 7 76] ; [ 2 16],[ 7.3960396 75.6039604] ; [ 1.6039604 16.3960396],0
b2,1,0.730504,0.118649,[19 34] ; [4 9],[18.46969697 34.53030303] ; [4.53030303 8.46969697],0
b3,1,0.730504,0.118649,[19 34] ; [4 9],[18.46969697 34.53030303] ; [4.53030303 8.46969697],0
v2,1,0.805509,0.060626,[29 52] ; [ 7 11],[29.45454545 51.54545455] ; [ 6.54545455 11.45454545],0
n3,1,0.888798,0.019551,[18 16] ; [5 4],[18.18604651 15.81395349] ; [4.81395349 4.18604651],0
b5,1,0.889391,0.019342,[43 40] ; [9 9],[42.73267327 40.26732673] ; [9.26732673 8.73267327],0
a8,1,0.9185,0.01047,[ 4 72] ; [ 1 16],[ 4.08602151 71.91397849] ; [ 0.91397849 16.08602151],0
n2,1,0.948019,0.00425,[21 16] ; [5 4],[20.91304348 16.08695652] ; [5.08695652 3.91304348],0
s4,1,0.948688,0.004142,[13 68] ; [ 3 15],[13.09090909 67.90909091] ; [ 2.90909091 15.09090909],0
u2,1,0.96749,0.001661,[11 16] ; [4 6],[10.94594595 16.05405405] ; [4.05405405 5.94594595],0
