Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.005155,7.824074,[8 1] ; [1 5],[5.4 3.6] ; [3.6 2.4],0
a5,1,0.005155,7.824074,[8 1] ; [1 5],[5.4 3.6] ; [3.6 2.4],0
p10,1,0.020116,5.401786,[7 2] ; [1 5],[4.8 4.2] ; [3.2 2.8],0
p7,1,0.020116,5.401786,[7 2] ; [1 5],[4.8 4.2] ; [3.2 2.8],0
p3,1,0.057224,3.616071,[6 3] ; [1 5],[4.2 4.8] ; [2.8 3.2],0
v1,1,0.057224,3.616071,[6 3] ; [1 5],[4.2 4.8] ; [2.8 3.2],0
p9,1,0.085192,2.962963,[7 2] ; [2 4],[5.4 3.6] ; [3.6 2.4],0
d1,1,0.085192,2.962963,[7 2] ; [2 4],[5.4 3.6] ; [3.6 2.4],0
n6,1,0.095205,2.784091,[8 1] ; [3 3],[6.6 2.4] ; [4.4 1.6],0
r4,1,0.132026,2.268519,[5 4] ; [1 5],[3.6 5.4] ; [2.4 3.6],0
s2,1,0.132026,2.268519,[5 4] ; [1 5],[3.6 5.4] ; [2.4 3.6],0
p6,1,0.204894,1.607143,[6 3] ; [2 4],[4.8 4.2] ; [3.2 2.8],0
p11,1,0.204894,1.607143,[6 3] ; [2 4],[4.8 4.2] ; [3.2 2.8],0
a6,1,0.204894,1.607143,[6 3] ; [2 4],[4.8 4.2] ; [3.2 2.8],0
a4,1,0.204894,1.607143,[6 3] ; [2 4],[4.8 4.2] ; [3.2 2.8],0
b4,1,0.263552,1.25,[5 4] ; [5 1],[6. 3.] ; [4. 2.],0
r2,1,0.263552,1.25,[7 2] ; [3 3],[6. 3.] ; [4. 2.],0
n4,1,0.263552,1.25,[7 2] ; [3 3],[6. 3.] ; [4. 2.],0
p2,1,0.263552,1.25,[7 2] ; [3 3],[6. 3.] ; [4. 2.],0
n1,1,0.270289,1.215278,[3 1] ; [1 2],[2.28571429 1.71428571] ; [1.71428571 1.28571429],0
r1,1,0.398025,0.714286,[5 4] ; [2 4],[4.2 4.8] ; [2.8 3.2],0
s3,1,0.474549,0.511364,[3 6] ; [1 5],[2.4 6.6] ; [1.6 4.4],0
s8,1,0.474549,0.511364,[3 6] ; [1 5],[2.4 6.6] ; [1.6 4.4],0
a2,1,0.474549,0.511364,[3 6] ; [1 5],[2.4 6.6] ; [1.6 4.4],0
s5,1,0.474549,0.511364,[3 6] ; [1 5],[2.4 6.6] ; [1.6 4.4],0
a7,1,0.518605,0.416667,[6 3] ; [3 3],[5.4 3.6] ; [3.6 2.4],0
b3,1,0.621014,0.244444,[4 4] ; [1 2],[3.63636364 4.36363636] ; [1.36363636 1.63636364],0
b2,1,0.621014,0.244444,[4 4] ; [1 2],[3.63636364 4.36363636] ; [1.36363636 1.63636364],0
a3,1,0.633553,0.227273,[7 2] ; [4 2],[6.6 2.4] ; [4.4 1.6],0
d4,1,0.633553,0.227273,[7 2] ; [4 2],[6.6 2.4] ; [4.4 1.6],0
n3,1,0.659243,0.194444,[2 2] ; [2 1],[2.28571429 1.71428571] ; [1.71428571 1.28571429],0
v3,1,0.666955,0.185185,[4 5] ; [2 4],[3.6 5.4] ; [2.4 3.6],0
p1,1,0.756495,0.096154,[1 8] ; [1 5],[1.2 7.8] ; [0.8 5.2],0
d5,1,0.756495,0.096154,[8 1] ; [5 1],[7.8 1.2] ; [5.2 0.8],0
s4,1,0.792147,0.069444,[2 7] ; [1 5],[1.8 7.2] ; [1.2 4.8],0
b1,1,0.792147,0.069444,[7 2] ; [5 1],[7.2 1.8] ; [4.8 1.2],0
s6,1,0.832662,0.044643,[4 5] ; [3 3],[4.2 4.8] ; [2.8 3.2],0
d2,1,0.832662,0.044643,[4 5] ; [3 3],[4.2 4.8] ; [2.8 3.2],0
s7,1,0.872081,0.025926,[4 5] ; [2 3],[3.85714286 5.14285714] ; [2.14285714 2.85714286],0
u3,1,1.0,0.0,[1 1] ; [1 1],[1. 1.] ; [1. 1.],0
