Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000108,15.0,[117  27] ; [18 18],[108.  36.] ; [27.  9.],1
a3,1,0.00058,11.839421,[118  25] ; [20 16],[110.24581006  32.75418994] ; [27.75418994  8.24581006],1
n6,1,0.001775,9.769097,[135   8] ; [28  8],[130.21787709  12.78212291] ; [32.78212291  3.21787709],0
p5,1,0.003166,8.709129,[ 36 108] ; [ 1 35],[ 29.6 114.4] ; [ 7.4 28.6],0
v4,1,0.012211,6.279934,[141   3] ; [32  4],[138.4   5.6] ; [34.6  1.4],0
r2,1,0.021968,5.248297,[140   2] ; [32  3],[137.98870056   4.01129944] ; [34.01129944  0.98870056],0
u2,1,0.029342,4.747436,[20  6] ; [7 9],[16.71428571  9.28571429] ; [10.28571429  5.71428571],0
b4,1,0.029416,4.743076,[75 69] ; [26 10],[80.8 63.2] ; [20.2 15.8],0
s5,1,0.031176,4.643261,[75 59] ; [12 22],[69.39285714 64.60714286] ; [17.60714286 16.39285714],0
p11,1,0.0455,4.0,[116  28] ; [34  2],[120.  24.] ; [30.  6.],0
u1,1,0.052584,3.757102,[ 43 101] ; [ 5 31],[ 38.4 105.6] ; [ 9.6 26.4],0
n5,1,0.060289,3.529412,[126  18] ; [27  9],[122.4  21.6] ; [30.6  5.4],0
s3,1,0.067326,3.347042,[109  34] ; [22 14],[104.65363128  38.34636872] ; [26.34636872  9.65363128],0
a2,1,0.085192,2.962963,[ 40 104] ; [ 5 31],[ 36. 108.] ; [ 9. 27.],0
u3,1,0.087608,2.917788,[21  5] ; [9 7],[18.57142857  7.42857143] ; [11.42857143  4.57142857],0
v3,1,0.103004,2.658412,[70 71] ; [12 23],[65.69318182 75.30681818] ; [16.30681818 18.69318182],0
a4,1,0.117502,2.450303,[77 67] ; [14 22],[72.8 71.2] ; [18.2 17.8],0
d1,1,0.185748,1.751026,[100  44] ; [29  7],[103.2  40.8] ; [25.8 10.2],0
n4,1,0.227835,1.454327,[127  17] ; [29  7],[124.8  19.2] ; [31.2  4.8],0
n1,1,0.228191,1.452101,[16 12] ; [1 3],[14.875 13.125] ; [2.125 1.875],0
v2,1,0.229364,1.444803,[91 51] ; [18 16],[87.94318182 54.05681818] ; [21.05681818 12.94318182],0
a7,1,0.23055,1.437465,[96 48] ; [27  8],[98.94972067 45.05027933] ; [24.05027933 10.94972067],0
a1,1,0.249415,1.326578,[ 12 132] ; [ 1 35],[ 10.4 133.6] ; [ 2.6 33.4],0
p12,1,0.259344,1.272256,[ 23 120] ; [ 3 32],[ 20.88764045 122.11235955] ; [ 5.11235955 29.88764045],0
s6,1,0.330193,0.94814,[122  19] ; [28  7],[120.17045455  20.82954545] ; [29.82954545  5.17045455],0
p8,1,0.339443,0.912535,[99 43] ; [28  8],[101.31460674  40.68539326] ; [25.68539326 10.31460674],0
s4,1,0.350147,0.872923,[ 34 108] ; [ 6 30],[ 31.91011236 110.08988764] ; [ 8.08988764 27.91011236],0
v1,1,0.386362,0.750361,[100  42] ; [22 13],[97.87570621 44.12429379] ; [24.12429379 10.87570621],0
p9,1,0.422059,0.644576,[136   7] ; [33  3],[135.01117318   7.98882682] ; [33.98882682  2.01117318],0
a6,1,0.454859,0.558515,[93 50] ; [21 15],[91.0726257 51.9273743] ; [22.9273743 13.0726257],0
p1,1,0.456181,0.555248,[ 23 120] ; [ 4 32],[ 21.5698324 121.4301676] ; [ 5.4301676 30.5698324],0
d4,1,0.478358,0.502604,[125  18] ; [33  3],[126.22346369  16.77653631] ; [31.77653631  4.22346369],0
p4,1,0.495026,0.465583,[117  27] ; [31  5],[118.4  25.6] ; [29.6  6.4],0
b1,1,0.497083,0.461159,[59 85] ; [17 19],[60.8 83.2] ; [15.2 20.8],0
p10,1,0.545096,0.366176,[126  17] ; [33  3],[127.02234637  15.97765363] ; [31.97765363  4.02234637],0
