Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2.1e-05,18.088755,[16 13] ; [88 10],[23.7480315  5.2519685] ; [80.2519685 17.7480315],1
p10,1,0.00012,14.79417,[15 14] ; [83 14],[22.55555556  6.44444444] ; [75.44444444 21.55555556],1
a3,1,0.016505,5.748268,[18 12] ; [82 19],[22.90076336  7.09923664] ; [77.09923664 23.90076336],0
n4,1,0.019439,5.461542,[19 10] ; [85 15],[23.37984496  5.62015504] ; [80.62015504 19.37984496],0
n5,1,0.020546,5.364914,[17 12] ; [79 20],[21.75  7.25] ; [74.25 24.75],0
p2,1,0.025107,5.016505,[19 11] ; [81 17],[23.4375  6.5625] ; [76.5625 21.4375],0
r3,1,0.027861,4.836624,[26  4] ; [97  3],[28.38461538  1.61538462] ; [94.61538462  5.38461538],0
v1,1,0.053862,3.716974,[16 14] ; [70 27],[20.31496063  9.68503937] ; [65.68503937 31.31496063],0
s1,1,0.071725,3.243098,[ 2 28] ; [ 1 98],[ 0.69767442 29.30232558] ; [ 2.30232558 96.69767442],0
n6,1,0.075608,3.15686,[20  9] ; [83 16],[23.3359375  5.6640625] ; [79.6640625 19.3359375],0
a5,1,0.130788,2.283125,[18 12] ; [75 26],[21.29770992  8.70229008] ; [71.70229008 29.29770992],0
p3,1,0.162644,1.949469,[12 18] ; [54 45],[15.34883721 14.65116279] ; [50.65116279 48.34883721],0
s6,1,0.204139,1.61251,[20  8] ; [57 41],[17.11111111 10.88888889] ; [59.88888889 38.11111111],0
b4,1,0.215791,1.532145,[19 11] ; [51 50],[16.03053435 13.96946565] ; [53.96946565 47.03053435],0
n1,1,0.260426,1.266488,[6 5] ; [ 6 12],[4.55172414 6.44827586] ; [ 7.44827586 10.55172414],0
s4,1,0.265838,1.238095,[ 6 24] ; [12 88],[ 4.15384615 25.84615385] ; [13.84615385 86.15384615],0
a2,1,0.383086,0.760774,[ 1 29] ; [ 8 93],[ 2.0610687 27.9389313] ; [ 6.9389313 94.0610687],0
a6,1,0.389902,0.739248,[ 9 21] ; [39 62],[10.99236641 19.00763359] ; [37.00763359 63.99236641],0
