Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,42.120905,[58  8] ; [ 9 28],[42.93203883 23.06796117] ; [24.06796117 12.93203883],1
n6,1,2.8e-05,17.558999,[61  6] ; [20 16],[52.68932039 14.31067961] ; [28.31067961  7.68932039],1
p9,1,8.3e-05,15.496131,[55 12] ; [16 20],[46.18446602 20.81553398] ; [24.81553398 11.18446602],1
s7,1,0.000513,12.069169,[41 18] ; [11 23],[32.98924731 26.01075269] ; [19.01075269 14.98924731],1
n1,1,0.004638,8.015514,[12  6] ; [ 2 11],[8.12903226 9.87096774] ; [5.87096774 7.12903226],0
p2,1,0.011131,6.444288,[59  8] ; [25 12],[54.11538462 12.88461538] ; [29.88461538  7.11538462],0
s8,1,0.01527,5.88506,[36 30] ; [11 26],[30.11650485 35.88349515] ; [16.88349515 20.11650485],0
r2,1,0.018088,5.587568,[63  3] ; [30  7],[59.59223301  6.40776699] ; [33.40776699  3.59223301],0
p10,1,0.022102,5.23771,[43 23] ; [15 21],[37.52941176 28.47058824] ; [20.47058824 15.52941176],0
r4,1,0.032695,4.561687,[61  6] ; [28  9],[57.33653846  9.66346154] ; [31.66346154  5.33653846],0
v1,1,0.03391,4.499227,[37 30] ; [12 24],[31.87378641 35.12621359] ; [17.12621359 18.87378641],0
a3,1,0.034606,4.464504,[46 20] ; [18 19],[41.00970874 24.99029126] ; [22.99029126 14.00970874],0
p6,1,0.047284,3.935265,[31 35] ; [10 27],[26.27184466 39.72815534] ; [14.72815534 22.27184466],0
v4,1,0.079997,3.064957,[62  5] ; [30  7],[59.26923077  7.73076923] ; [32.73076923  4.26923077],0
r1,1,0.083553,2.994403,[53 13] ; [24 13],[49.33980583 16.66019417] ; [27.66019417  9.33980583],0
a1,1,0.093045,2.820879,[ 1 66] ; [ 3 34],[ 2.57692308 64.42307692] ; [ 1.42307692 35.57692308],0
a4,1,0.125658,2.345341,[34 33] ; [13 24],[30.27884615 36.72115385] ; [16.72115385 20.27884615],0
a7,1,0.151438,2.057709,[49 18] ; [22 15],[45.74038462 21.25961538] ; [25.25961538 11.74038462],0
n2,1,0.159565,1.978348,[14  4] ; [7 6],[12.19354839  5.80645161] ; [8.80645161 4.19354839],0
p8,1,0.190021,1.717459,[32 34] ; [13 24],[28.83495146 37.16504854] ; [16.16504854 20.83495146],0
u1,1,0.207364,1.589738,[16 51] ; [ 5 32],[13.52884615 53.47115385] ; [ 7.47115385 29.52884615],0
s6,1,0.220381,1.501889,[51 12] ; [26 11],[48.51 14.49] ; [28.49  8.51],0
b3,1,0.238064,1.39202,[11 27] ; [ 3 17],[ 9.17241379 28.82758621] ; [ 4.82758621 15.17241379],0
b2,1,0.238064,1.39202,[11 27] ; [ 3 17],[ 9.17241379 28.82758621] ; [ 4.82758621 15.17241379],0
d5,1,0.275777,1.187783,[55 12] ; [27 10],[52.82692308 14.17307692] ; [29.17307692  7.82692308],0
a2,1,0.363906,0.82437,[18 49] ; [ 7 30],[16.10576923 50.89423077] ; [ 8.89423077 28.10576923],0
p12,1,0.455852,0.55606,[ 4 63] ; [ 1 36],[ 3.22115385 63.77884615] ; [ 1.77884615 35.22115385],0
s5,1,0.458561,0.549405,[26 36] ; [12 23],[24.28865979 37.71134021] ; [13.71134021 21.28865979],0
p7,1,0.500238,0.454432,[39 28] ; [19 18],[37.36538462 29.63461538] ; [20.63461538 16.36538462],0
s4,1,0.503015,0.44857,[14 52] ; [10 27],[15.37864078 50.62135922] ; [ 8.62135922 28.37864078],0
b5,1,0.528794,0.396708,[44 23] ; [22 15],[42.51923077 24.48076923] ; [23.48076923 13.51923077],0
d2,1,0.538906,0.377572,[35 32] ; [17 20],[33.5 33.5] ; [18.5 18.5],0
s3,1,0.553566,0.350968,[42 25] ; [21 16],[40.58653846 26.41346154] ; [22.41346154 14.58653846],0
a5,1,0.579357,0.307275,[47 20] ; [24 13],[45.74038462 21.25961538] ; [25.25961538 11.74038462],0
s2,1,0.593607,0.284747,[41 25] ; [21 16],[39.72815534 26.27184466] ; [22.27184466 14.72815534],0
d1,1,0.598671,0.277005,[38 29] ; [19 18],[36.72115385 30.27884615] ; [20.27884615 16.72115385],0
u2,1,0.655546,0.19898,[ 9 12] ; [9 9],[ 9.69230769 11.30769231] ; [8.30769231 9.69230769],0
b4,1,0.658151,0.195778,[35 32] ; [21 16],[36.07692308 30.92307692] ; [19.92307692 17.07692308],0
r3,1,0.681217,0.16876,[59  7] ; [34  3],[59.59223301  6.40776699] ; [33.40776699  3.59223301],0
s1,1,0.707405,0.140883,[ 4 61] ; [ 3 34],[ 4.46078431 60.53921569] ; [ 2.53921569 34.46078431],0
d3,1,0.722767,0.125857,[51 16] ; [27 10],[50.25 16.75] ; [27.75  9.25],0
n3,1,0.768398,0.086713,[12  6] ; [8 5],[11.61290323  6.38709677] ; [8.38709677 4.61290323],0
p3,1,0.770328,0.085232,[40 27] ; [21 16],[39.29807692 27.70192308] ; [21.70192308 15.29807692],0
a6,1,0.793541,0.068495,[38 29] ; [20 17],[37.36538462 29.63461538] ; [20.63461538 16.36538462],0
v3,1,0.799806,0.064312,[25 41] ; [12 22],[24.42 41.58] ; [12.58 21.42],0
u3,1,0.899192,0.016048,[14  7] ; [11  6],[13.81578947  7.18421053] ; [11.18421053  5.81578947],0
p1,1,0.900469,0.015642,[ 8 59] ; [ 4 32],[ 7.80582524 59.19417476] ; [ 4.19417476 31.80582524],0
d4,1,0.905866,0.013984,[50 17] ; [28  9],[50.25 16.75] ; [27.75  9.25],0
b1,1,0.908635,0.01317,[37 30] ; [20 17],[36.72115385 30.27884615] ; [20.27884615 16.72115385],0
v2,1,0.947821,0.004283,[33 34] ; [17 18],[32.84313725 34.15686275] ; [17.15686275 17.84313725],0
