Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1.3e-05,19.013263,[ 2 24] ; [34 24],[11.14285714 14.85714286] ; [24.85714286 33.14285714],1
d3,1,0.000211,13.729672,[ 8 18] ; [42 15],[15.6626506 10.3373494] ; [34.3373494 22.6626506],1
v2,1,0.000716,11.44619,[ 2 22] ; [26 28],[ 8.61538462 15.38461538] ; [19.38461538 34.61538462],1
d4,1,0.00117,10.536396,[12 13] ; [48 10],[18.07228916  6.92771084] ; [41.92771084 16.07228916],0
a7,1,0.001733,9.813071,[10 16] ; [43 15],[16.4047619  9.5952381] ; [36.5952381 21.4047619],0
v4,1,0.002731,8.978757,[11 14] ; [45 13],[16.86746988  8.13253012] ; [39.13253012 18.86746988],0
a6,1,0.008206,6.987987,[11 15] ; [42 16],[16.4047619  9.5952381] ; [36.5952381 21.4047619],0
a5,1,0.012998,6.169385,[ 9 17] ; [37 21],[14.23809524 11.76190476] ; [31.76190476 26.23809524],0
r1,1,0.013275,6.132141,[11 15] ; [41 17],[16.0952381  9.9047619] ; [35.9047619 22.0952381],0
u2,1,0.0141,6.025521,[ 5 10] ; [13  4],[8.4375 6.5625] ; [9.5625 7.4375],0
s5,1,0.017397,5.655838,[ 1 24] ; [14 38],[ 4.87012987 20.12987013] ; [10.12987013 41.87012987],0
a3,1,0.032041,4.596286,[11 14] ; [40 18],[15.36144578  9.63855422] ; [35.63855422 22.36144578],0
r3,1,0.034284,4.480468,[13 13] ; [42 15],[17.22891566  8.77108434] ; [37.77108434 19.22891566],0
n5,1,0.036343,4.38096,[15 11] ; [19 38],[10.65060241 15.34939759] ; [23.34939759 33.65060241],0
d2,1,0.05401,3.712385,[ 8 18] ; [31 27],[12.07142857 13.92857143] ; [26.92857143 31.07142857],0
n2,1,0.062302,3.475031,[10  4] ; [11 16],[7.17073171 6.82926829] ; [13.82926829 13.17073171],0
r4,1,0.063006,3.456437,[10 16] ; [35 23],[13.92857143 12.07142857] ; [31.07142857 26.92857143],0
s6,1,0.069456,3.295841,[ 6 20] ; [25 32],[ 9.71084337 16.28915663] ; [21.28915663 35.71084337],0
n1,1,0.069905,3.285256,[7 7] ; [ 6 21],[4.43902439 9.56097561] ; [ 8.56097561 18.43902439],0
a2,1,0.07598,3.148853,[ 2 24] ; [14 44],[ 4.95238095 21.04761905] ; [11.04761905 46.95238095],0
u3,1,0.076523,3.137255,[ 5 10] ; [11  6],[7.5 7.5] ; [8.5 8.5],0
p6,1,0.109161,2.566323,[ 2 24] ; [12 42],[ 4.55 21.45] ; [ 9.45 44.55],0
a4,1,0.174976,1.839788,[ 8 18] ; [27 31],[10.83333333 15.16666667] ; [24.16666667 33.83333333],0
b5,1,0.203962,1.613773,[10 16] ; [31 27],[12.69047619 13.30952381] ; [28.30952381 29.69047619],0
a1,1,0.22051,1.501047,[ 4 22] ; [ 4 54],[ 2.47619048 23.52380952] ; [ 5.52380952 52.47619048],0
r2,1,0.233019,1.422339,[19  7] ; [48  9],[20.98795181  5.01204819] ; [46.01204819 10.98795181],0
s4,1,0.240611,1.377009,[ 3 23] ; [13 45],[ 4.95238095 21.04761905] ; [11.04761905 46.95238095],0
s3,1,0.251271,1.316226,[14 12] ; [23 34],[11.59036145 14.40963855] ; [25.40963855 31.59036145],0
n4,1,0.288567,1.126295,[14 12] ; [24 34],[11.76190476 14.23809524] ; [26.23809524 31.76190476],0
b4,1,0.288567,1.126295,[12 14] ; [34 24],[14.23809524 11.76190476] ; [31.76190476 26.23809524],0
p10,1,0.346693,0.885523,[ 7 18] ; [21 33],[ 8.86075949 16.13924051] ; [19.13924051 34.86075949],0
p8,1,0.347909,0.881069,[ 4 21] ; [14 41],[ 5.625 19.375] ; [12.375 42.625],0
p2,1,0.46864,0.525181,[11 15] ; [29 28],[12.53012048 13.46987952] ; [27.46987952 29.53012048],0
a8,1,0.472351,0.51647,[ 3 22] ; [ 4 52],[ 2.16049383 22.83950617] ; [ 4.83950617 51.16049383],0
n3,1,0.485045,0.4875,[7 6] ; [17  9],[8. 5.] ; [16. 10.],0
s1,1,0.491806,0.472572,[ 3 23] ; [ 4 53],[ 2.19277108 23.80722892] ; [ 4.80722892 52.19277108],0
p4,1,0.52409,0.405836,[ 6 20] ; [17 40],[ 7.20481928 18.79518072] ; [15.79518072 41.20481928],0
v1,1,0.526542,0.401061,[ 8 18] ; [22 36],[ 9.28571429 16.71428571] ; [20.71428571 37.28571429],0
p5,1,0.553038,0.351903,[ 1 24] ; [ 1 55],[ 0.61728395 24.38271605] ; [ 1.38271605 54.61728395],0
b2,1,0.555113,0.348236,[ 6 10] ; [ 9 22],[ 5.10638298 10.89361702] ; [ 9.89361702 21.10638298],0
b3,1,0.555113,0.348236,[ 6 10] ; [ 9 22],[ 5.10638298 10.89361702] ; [ 9.89361702 21.10638298],0
u1,1,0.584888,0.298398,[ 1 25] ; [ 4 54],[ 1.54761905 24.45238095] ; [ 3.45238095 54.54761905],0
p9,1,0.6003,0.274543,[10 15] ; [25 29],[11.07594937 13.92405063] ; [23.92405063 30.07594937],0
s7,1,0.659579,0.194036,[ 5 19] ; [13 38],[ 5.76 18.24] ; [12.24 38.76],0
p1,1,0.701819,0.146587,[ 2 24] ; [ 6 52],[ 2.47619048 23.52380952] ; [ 5.52380952 52.47619048],0
s2,1,0.738549,0.111406,[ 8 18] ; [20 38],[ 8.66666667 17.33333333] ; [19.33333333 38.66666667],0
p7,1,0.738707,0.111267,[ 9 17] ; [17 38],[ 8.34567901 17.65432099] ; [17.65432099 37.34567901],0
