Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,3e-06,21.993763,[ 3 29] ; [19  9],[11.73333333 20.26666667] ; [10.26666667 17.73333333],1
a5,1,0.000597,11.785714,[11 21] ; [22  6],[17.6 14.4] ; [15.4 12.6],1
d3,1,0.002178,9.392955,[18 13] ; [26  2],[23.11864407  7.88135593] ; [20.88135593  7.11864407],0
a3,1,0.007347,7.186086,[13 19] ; [21  7],[18.13333333 13.86666667] ; [15.86666667 12.13333333],0
a4,1,0.009388,6.747449,[ 5 27] ; [13 15],[ 9.6 22.4] ; [ 8.4 19.6],0
s8,1,0.011029,6.460612,[ 7 25] ; [15 13],[11.73333333 20.26666667] ; [10.26666667 17.73333333],0
p10,1,0.016651,5.7328,[19 12] ; [24  3],[22.98275862  8.01724138] ; [20.01724138  6.98275862],0
s6,1,0.023408,5.137994,[22 10] ; [25  2],[25.49152542  6.50847458] ; [21.50847458  5.49152542],0
n5,1,0.026519,4.921875,[17 15] ; [ 7 21],[12.8 19.2] ; [11.2 16.8],0
s5,1,0.049737,3.850289,[11 20] ; [16 10],[14.68421053 16.31578947] ; [12.31578947 13.68421053],0
b2,1,0.078933,3.086735,[ 2 12] ; [7 9],[4.2 9.8] ; [ 4.8 11.2],0
b3,1,0.078933,3.086735,[ 2 12] ; [7 9],[4.2 9.8] ; [ 4.8 11.2],0
u1,1,0.118649,2.435065,[ 1 31] ; [ 4 24],[ 2.66666667 29.33333333] ; [ 2.33333333 25.66666667],0
s2,1,0.128735,2.307692,[18 14] ; [21  7],[20.8 11.2] ; [18.2  9.8],0
p1,1,0.162344,1.952253,[ 2 30] ; [ 5 23],[ 3.73333333 28.26666667] ; [ 3.26666667 24.73333333],0
v2,1,0.181105,1.788537,[11 21] ; [13 12],[13.47368421 18.52631579] ; [10.52631579 14.47368421],0
r3,1,0.198724,1.651728,[27  4] ; [27  1],[28.37288136  2.62711864] ; [25.62711864  2.37288136],0
p3,1,0.23264,1.424647,[ 9 23] ; [12 16],[11.2 20.8] ; [ 9.8 18.2],0
a7,1,0.266009,1.237211,[24  7] ; [18 10],[22.06779661  8.93220339] ; [19.93220339  8.06779661],0
u3,1,0.269007,1.221805,[12  7] ; [6 1],[13.15384615  5.84615385] ; [4.84615385 2.15384615],0
n2,1,0.275017,1.19155,[10  2] ; [9 5],[8.76923077 3.23076923] ; [10.23076923  3.76923077],0
r4,1,0.300623,1.071429,[24  8] ; [24  4],[25.6  6.4] ; [22.4  5.6],0
p9,1,0.314659,1.011019,[21  9] ; [22  5],[22.63157895  7.36842105] ; [20.36842105  6.63157895],0
s3,1,0.328782,0.953689,[19 13] ; [20  8],[20.8 11.2] ; [18.2  9.8],0
p11,1,0.329662,0.950226,[20 12] ; [14 14],[18.13333333 13.86666667] ; [15.86666667 12.13333333],0
s7,1,0.345901,0.888437,[14 17] ; [15 11],[15.77192982 15.22807018] ; [13.22807018 12.77192982],0
b4,1,0.356241,0.8511,[18 14] ; [19  9],[19.73333333 12.26666667] ; [17.26666667 10.73333333],0
p2,1,0.369575,0.805093,[25  7] ; [19  9],[23.46666667  8.53333333] ; [20.53333333  7.46666667],0
p6,1,0.400515,0.706779,[10 21] ; [12 16],[11.55932203 19.44067797] ; [10.44067797 17.55932203],0
b1,1,0.464214,0.535714,[12 20] ; [ 8 20],[10.66666667 21.33333333] ; [ 9.33333333 18.66666667],0
p4,1,0.466479,0.530303,[13 19] ; [14 14],[14.4 17.6] ; [12.6 15.4],0
v4,1,0.490153,0.47619,[28  4] ; [26  2],[28.8  3.2] ; [25.2  2.8],0
r1,1,0.526168,0.401786,[18 14] ; [18 10],[19.2 12.8] ; [16.8 11.2],0
u2,1,0.658387,0.195489,[ 9 10] ; [4 3],[9.5 9.5] ; [3.5 3.5],0
b5,1,0.664266,0.188383,[20 12] ; [19  9],[20.8 11.2] ; [18.2  9.8],0
p8,1,0.703651,0.144702,[13 18] ; [10 17],[12.29310345 18.70689655] ; [10.70689655 16.29310345],0
v3,1,0.750343,0.101243,[ 8 23] ; [ 6 21],[ 7.48275862 23.51724138] ; [ 6.51724138 20.48275862],0
a6,1,0.83518,0.04329,[18 14] ; [15 13],[17.6 14.4] ; [15.4 12.6],0
n1,1,0.898768,0.016184,[4 8] ; [5 9],[4.15384615 7.84615385] ; [4.84615385 9.15384615],0
n3,1,0.898768,0.016184,[8 4] ; [9 5],[7.84615385 4.15384615] ; [9.15384615 4.84615385],0
p7,1,0.961289,0.002356,[17 12] ; [16 11],[17.08928571 11.91071429] ; [15.91071429 11.08928571],0
n6,1,0.968868,0.001523,[22  9] ; [20  8],[22.06779661  8.93220339] ; [19.93220339  8.06779661],0
v1,1,0.985273,0.000341,[11 20] ; [10 18],[11.03389831 19.96610169] ; [ 9.96610169 18.03389831],0
