Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,9e-06,19.679316,[29 30] ; [ 26 115],[16.225 42.775] ; [ 38.775 102.225],1
p4,1,2e-05,18.222471,[39 20] ; [47 94],[25.37 33.63] ; [60.63 80.37],1
s7,1,0.000372,12.67025,[29 27] ; [ 34 101],[18.47120419 37.52879581] ; [44.52879581 90.47120419],1
p7,1,0.000482,12.185684,[38 19] ; [55 85],[26.90862944 30.09137056] ; [66.09137056 73.90862944],1
p8,1,0.000867,11.092252,[31 28] ; [ 39 101],[20.75376884 38.24623116] ; [49.24623116 90.75376884],1
p3,1,0.00109,10.667398,[32 27] ; [42 99],[21.83 37.17] ; [52.17 88.83],0
v2,1,0.002506,9.136447,[30 26] ; [42 96],[20.78350515 35.21649485] ; [51.21649485 86.78350515],0
s5,1,0.003162,8.711804,[18 34] ; [ 21 117],[10.67368421 41.32631579] ; [ 28.32631579 109.67368421],0
v3,1,0.007116,7.24333,[22 35] ; [ 28 111],[14.54081633 42.45918367] ; [ 35.45918367 103.54081633],0
p2,1,0.008812,6.860447,[48 11] ; [88 53],[40.12 18.88] ; [95.88 45.12],0
d1,1,0.011663,6.361342,[30 29] ; [45 96],[22.125 36.875] ; [52.875 88.125],0
s2,1,0.014659,5.956946,[31 28] ; [48 93],[23.305 35.695] ; [55.695 85.305],0
p11,1,0.01644,5.755245,[46 13] ; [85 56],[38.645 20.355] ; [92.355 48.645],0
r4,1,0.020816,5.342125,[39 20] ; [68 73],[31.565 27.435] ; [75.435 65.565],0
d5,1,0.020891,5.335854,[46 12] ; [88 53],[39.05527638 18.94472362] ; [94.94472362 46.05527638],0
r2,1,0.038778,4.270571,[50  7] ; [101  35],[44.59585492 12.40414508] ; [106.40414508  29.59585492],0
s6,1,0.046155,3.975921,[33 23] ; [60 79],[26.70769231 29.29230769] ; [66.29230769 72.70769231],0
r3,1,0.047858,3.914955,[52  7] ; [106  34],[46.84422111 12.15577889] ; [111.15577889  28.84422111],0
u2,1,0.053662,3.723167,[13  9] ; [22 40],[ 9.16666667 12.83333333] ; [25.83333333 36.16666667],0
v4,1,0.059827,3.542166,[52  7] ; [107  33],[47.14070352 11.85929648] ; [111.85929648  28.14070352],0
d4,1,0.117503,2.450294,[44 15] ; [89 52],[39.235 19.765] ; [93.765 47.235],0
p12,1,0.129892,2.293791,[ 3 56] ; [  2 139],[ 1.475 57.525] ; [  3.525 137.475],0
d3,1,0.133355,2.253007,[35 22] ; [70 71],[30.22727273 26.77272727] ; [74.77272727 66.22727273],0
a4,1,0.149274,2.079651,[23 36] ; [ 40 100],[18.67839196 40.32160804] ; [44.32160804 95.67839196],0
v1,1,0.172289,1.862916,[25 33] ; [45 92],[20.82051282 37.17948718] ; [49.17948718 87.82051282],0
p9,1,0.178954,1.806291,[47 12] ; [95 40],[43.18556701 15.81443299] ; [98.81443299 36.18556701],0
p10,1,0.186213,1.747331,[42 16] ; [87 52],[37.97969543 20.02030457] ; [91.02030457 47.97969543],0
a1,1,0.195527,1.675472,[ 2 57] ; [ 12 129],[ 4.13 54.87] ; [  9.87 131.13],0
p1,1,0.205341,1.603975,[ 8 51] ; [ 11 130],[ 5.605 53.395] ; [ 13.395 127.605],0
u3,1,0.240033,1.380402,[10 11] ; [21 42],[ 7.75 13.25] ; [23.25 39.75],0
s1,1,0.253692,1.302855,[ 3 55] ; [  3 138],[ 1.74874372 56.25125628] ; [  4.25125628 136.74874372],0
n1,1,0.306007,1.047831,[ 9 10] ; [17 33],[ 7.15942029 11.84057971] ; [18.84057971 31.15942029],0
n6,1,0.306165,1.047147,[46 13] ; [100  41],[43.07 15.93] ; [102.93  38.07],0
d2,1,0.330104,0.948491,[26 33] ; [51 88],[22.94444444 36.05555556] ; [54.05555556 84.94444444],0
a7,1,0.334415,0.931727,[36 22] ; [77 64],[32.93467337 25.06532663] ; [80.06532663 60.93467337],0
s3,1,0.335582,0.927237,[29 30] ; [58 81],[25.92424242 33.07575758] ; [61.07575758 77.92424242],0
u1,1,0.340479,0.908627,[ 5 54] ; [  7 134],[ 3.54 55.46] ; [  8.46 132.54],0
a6,1,0.355177,0.854873,[36 23] ; [76 65],[33.04 25.96] ; [78.96 62.04],0
a3,1,0.361348,0.833204,[37 22] ; [78 62],[34.09547739 24.90452261] ; [80.90452261 59.09547739],0
b3,1,0.379435,0.772531,[15 23] ; [26 57],[12.87603306 25.12396694] ; [28.12396694 54.87603306],0
b2,1,0.379435,0.772531,[15 23] ; [26 57],[12.87603306 25.12396694] ; [28.12396694 54.87603306],0
n4,1,0.386967,0.74845,[39 20] ; [84 57],[36.285 22.715] ; [86.715 54.285],0
b4,1,0.40456,0.694729,[36 23] ; [77 64],[33.335 25.665] ; [79.665 61.335],0
b1,1,0.410116,0.678464,[28 31] ; [58 83],[25.37 33.63] ; [60.63 80.37],0
n2,1,0.422952,0.642098,[13  7] ; [38 13],[14.36619718  5.63380282] ; [36.63380282 14.36619718],0
s4,1,0.449597,0.571669,[15 44] ; [ 29 112],[12.98 46.02] ; [ 31.02 109.98],0
n5,1,0.489087,0.478533,[40 18] ; [90 51],[37.88944724 20.11055276] ; [92.11055276 48.88944724],0
u4,1,0.522876,0.408217,[ 1 58] ; [  1 140],[ 0.59 58.41] ; [  1.41 139.59],0
a8,1,0.544252,0.367715,[ 7 49] ; [ 13 123],[ 5.83333333 50.16666667] ; [ 14.16666667 121.83333333],0
b5,1,0.55673,0.345397,[39 20] ; [87 54],[37.17 21.83] ; [88.83 52.17],0
n3,1,0.671422,0.179944,[14  6] ; [33 18],[13.23943662  6.76056338] ; [33.76056338 17.23943662],0
a5,1,0.68205,0.167827,[32 27] ; [72 69],[30.68 28.32] ; [73.32 67.68],0
a2,1,0.808145,0.058961,[ 6 53] ; [ 16 125],[ 6.49 52.51] ; [ 15.51 125.49],0
