Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,55.172727,[90  9] ; [ 6 21],[75.42857143 23.57142857] ; [20.57142857  6.42857143],1
n5,1,2.5e-05,17.747739,[83 16] ; [12 15],[74.64285714 24.35714286] ; [20.35714286  6.64285714],1
p11,1,0.002184,9.388056,[80 19] ; [14 13],[73.85714286 25.14285714] ; [20.14285714  6.85714286],0
v1,1,0.00253,9.119098,[57 40] ; [ 7 20],[50.06451613 46.93548387] ; [13.93548387 13.06451613],0
u2,1,0.016137,5.787916,[32 16] ; [ 7 13],[27.52941176 20.47058824] ; [11.47058824  8.52941176],0
a3,1,0.020443,5.373689,[50 48] ; [ 7 20],[44.688 53.312] ; [12.312 14.688],0
n4,1,0.021117,5.317136,[77 22] ; [15 12],[72.28571429 26.71428571] ; [19.71428571  7.28571429],0
d4,1,0.021576,5.279687,[74 25] ; [14 13],[69.14285714 29.85714286] ; [18.85714286  8.14285714],0
s4,1,0.071331,3.252112,[15 83] ; [ 8 18],[18.17741935 79.82258065] ; [ 4.82258065 21.17741935],0
p8,1,0.078081,3.104395,[62 36] ; [12 15],[58.016 39.984] ; [15.984 11.016],0
r2,1,0.097912,2.739226,[88 10] ; [21  6],[85.456 12.544] ; [23.544  3.456],0
a6,1,0.119776,2.420247,[57 42] ; [11 16],[53.42857143 45.57142857] ; [14.57142857 12.42857143],0
a4,1,0.140485,2.172635,[24 75] ; [ 3 24],[21.21428571 77.78571429] ; [ 5.78571429 21.21428571],0
b3,1,0.152924,2.042843,[14 39] ; [ 2 17],[11.77777778 41.22222222] ; [ 4.22222222 14.77777778],0
b2,1,0.152924,2.042843,[14 39] ; [ 2 17],[11.77777778 41.22222222] ; [ 4.22222222 14.77777778],0
r4,1,0.18367,1.767677,[87 12] ; [21  6],[84.85714286 14.14285714] ; [23.14285714  3.85714286],0
d2,1,0.189927,1.718182,[21 78] ; [ 9 18],[23.57142857 75.42857143] ; [ 6.42857143 20.57142857],0
r1,1,0.304846,1.052876,[69 30] ; [16 11],[66.78571429 32.21428571] ; [18.21428571  8.78571429],0
v4,1,0.307526,1.041273,[95  3] ; [25  2],[94.08  3.92] ; [25.92  1.08],0
b1,1,0.310417,1.0289,[37 62] ; [13 14],[39.28571429 59.71428571] ; [10.71428571 16.28571429],0
