Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,83.366753,[155  92] ; [ 33 147],[108.74941452 138.25058548] ; [ 79.25058548 100.74941452],1
v1,1,0.0,28.040702,[176  75] ; [80 99],[149.43255814 101.56744186] ; [106.56744186  72.43255814],1
a5,1,0.000165,14.192562,[211  43] ; [123  59],[194.57798165  59.42201835] ; [139.42201835  42.57798165],1
s4,1,0.001042,10.751246,[ 29 222] ; [ 42 137],[ 41.44418605 209.55581395] ; [ 29.55581395 149.44418605],0
a3,1,0.001696,9.85214,[194  59] ; [113  67],[179.37875289  73.62124711] ; [127.62124711  52.37875289],0
r4,1,0.00295,8.838167,[247   7] ; [165  17],[240.01834862  13.98165138] ; [171.98165138  10.01834862],0
r1,1,0.004376,8.120981,[224  29] ; [142  39],[213.359447  39.640553] ; [152.640553  28.359447],0
p3,1,0.008009,7.03143,[174  79] ; [102  79],[160.89400922  92.10599078] ; [115.10599078  65.89400922],0
r3,1,0.015725,5.833349,[247   6] ; [168  13],[241.92396313  11.07603687] ; [173.07603687   7.92396313],0
s1,1,0.017174,5.678468,[  3 250] ; [  9 171],[  7.01154734 245.98845266] ; [  4.98845266 175.01154734],0
a2,1,0.02311,5.160213,[ 65 189] ; [ 30 152],[ 55.3440367 198.6559633] ; [ 39.6559633 142.3440367],0
a6,1,0.024832,5.035534,[177  75] ; [109  73],[166.06451613  85.93548387] ; [119.93548387  62.06451613],0
u1,1,0.027538,4.856749,[ 51 203] ; [ 22 160],[ 42.52752294 211.47247706] ; [ 30.47247706 151.52752294],0
n2,1,0.027697,4.84686,[32  4] ; [25 12],[28.10958904  7.89041096] ; [28.89041096  8.10958904],0
p11,1,0.030541,4.678563,[223  31] ; [146  36],[214.96788991  39.03211009] ; [154.03211009  27.96788991],0
b4,1,0.034235,4.48293,[157  97] ; [94 88],[146.22477064 107.77522936] ; [104.77522936  77.22477064],0
p12,1,0.044128,4.051654,[ 30 223] ; [ 11 169],[ 23.95612009 229.04387991] ; [ 17.04387991 162.95612009],0
p4,1,0.066282,3.372782,[193  59] ; [125  57],[184.64516129  67.35483871] ; [133.35483871  48.64516129],0
d1,1,0.076802,3.131317,[169  85] ; [106  76],[160.20642202  93.79357798] ; [114.79357798  67.20642202],0
d4,1,0.092654,2.827648,[218  35] ; [145  36],[211.61059908  41.38940092] ; [151.38940092  29.61059908],0
