Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,146.346153,[155   9] ; [11 58],[116.84120172  47.15879828] ; [49.15879828 19.84120172],1
s7,1,0.0,28.338844,[121  40] ; [24 40],[103.75555556  57.24444444] ; [41.24444444 22.75555556],1
s6,1,0.0,26.069174,[151  11] ; [45 22],[138.65502183  23.34497817] ; [57.34497817  9.65502183],1
s8,1,1e-05,19.428996,[106  56] ; [23 45],[90.86086957 71.13913043] ; [38.13913043 29.86086957],1
r2,1,0.000451,12.306573,[159   3] ; [60  9],[153.58441558   8.41558442] ; [65.41558442  3.58441558],1
d4,1,0.008532,6.918164,[147  15] ; [53 15],[140.86956522  21.13043478] ; [59.13043478  8.86956522],0
v3,1,0.010258,6.589465,[78 82] ; [21 48],[69.17030568 90.82969432] ; [29.82969432 39.17030568],0
b5,1,0.034865,4.451782,[89 75] ; [27 42],[81.64806867 82.35193133] ; [34.35193133 34.64806867],0
s4,1,0.044772,4.027202,[ 44 117] ; [10 57],[ 38.13157895 122.86842105] ; [15.86842105 51.13157895],0
a3,1,0.07283,3.218059,[129  34] ; [47 22],[123.65517241  39.34482759] ; [52.34482759 16.65517241],0
u3,1,0.073972,3.192607,[27  8] ; [12 10],[23.94736842 11.05263158] ; [15.05263158  6.94736842],0
r3,1,0.079479,3.075528,[159   4] ; [63  5],[156.64935065   6.35064935] ; [65.35064935  2.64935065],0
v1,1,0.091573,2.846494,[105  57] ; [36 32],[99.31304348 62.68695652] ; [41.68695652 26.31304348],0
d1,1,0.104325,2.638155,[111  53] ; [39 30],[105.57939914  58.42060086] ; [44.42060086 24.57939914],0
a2,1,0.11764,2.448464,[ 47 117] ; [13 56],[ 42.23175966 121.76824034] ; [17.76824034 51.23175966],0
a4,1,0.137789,2.202483,[84 80] ; [28 41],[78.83261803 85.16738197] ; [33.16738197 35.83261803],0
d3,1,0.154512,2.027132,[117  46] ; [43 26],[112.4137931  50.5862069] ; [47.5862069 21.4137931],0
