Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,53.745973,[  9 120] ; [37 33],[29.81909548 99.18090452] ; [16.18090452 53.81909548],1
s6,1,3e-06,22.135263,[ 29 100] ; [38 30],[43.87309645 85.12690355] ; [23.12690355 44.87309645],1
p2,1,7.1e-05,15.784059,[62 67] ; [54 16],[75.1959799 53.8040201] ; [40.8040201 29.1959799],1
p6,1,0.000525,12.023004,[  8 120] ; [16 53],[ 15.59390863 112.40609137] ; [ 8.40609137 60.59390863],1
v4,1,0.00605,7.535325,[100  29] ; [65  5],[106.95979899  22.04020101] ; [58.04020101 11.95979899],0
v2,1,0.01209,6.297642,[46 78] ; [38 30],[54.25 69.75] ; [29.75 38.25],0
v1,1,0.014195,6.013767,[40 87] ; [34 35],[47.94897959 79.05102041] ; [26.05102041 42.94897959],0
r3,1,0.022459,5.209846,[100  27] ; [64  6],[105.72588832  21.27411168] ; [58.27411168 11.72588832],0
p10,1,0.023896,5.102162,[66 61] ; [48 22],[73.49238579 53.50761421] ; [40.50761421 29.49238579],0
r4,1,0.028143,4.819298,[84 45] ; [56 14],[90.75376884 38.24623116] ; [49.24623116 20.75376884],0
p9,1,0.031533,4.623714,[75 49] ; [53 17],[81.81443299 42.18556701] ; [46.18556701 23.81443299],0
p8,1,0.042061,4.132746,[ 23 106] ; [21 48],[ 28.66666667 100.33333333] ; [15.33333333 53.66666667],0
d5,1,0.045345,4.005756,[88 41] ; [57 13],[93.99497487 35.00502513] ; [51.00502513 18.99497487],0
s7,1,0.049335,3.863917,[ 21 103] ; [19 46],[26.24338624 97.75661376] ; [13.75661376 51.24338624],0
n4,1,0.050448,3.826503,[78 51] ; [52 18],[84.27135678 44.72864322] ; [45.72864322 24.27135678],0
d3,1,0.062993,3.456772,[71 58] ; [48 22],[77.14070352 51.85929648] ; [41.85929648 28.14070352],0
a4,1,0.07397,3.192643,[49 79] ; [36 34],[54.94949495 73.05050505] ; [30.05050505 39.94949495],0
s5,1,0.106425,2.606517,[ 16 111] ; [14 51],[ 19.84375 107.15625] ; [10.15625 54.84375],0
n6,1,0.111701,2.529991,[89 39] ; [56 14],[93.73737374 34.26262626] ; [51.26262626 18.73737374],0
s2,1,0.113928,2.498864,[ 11 116] ; [11 57],[ 14.32820513 112.67179487] ; [ 7.67179487 60.32820513],0
p11,1,0.122331,2.387216,[76 53] ; [49 21],[81.03015075 47.96984925] ; [43.96984925 26.03015075],0
s8,1,0.161302,1.961982,[ 18 111] ; [15 54],[ 21.5 107.5] ; [11.5 57.5],0
r1,1,0.181337,1.786633,[78 51] ; [49 21],[82.32663317 46.67336683] ; [44.67336683 25.32663317],0
n5,1,0.200992,1.635152,[76 52] ; [48 22],[80.16161616 47.83838384] ; [43.83838384 26.16161616],0
n3,1,0.206409,1.596433,[25 23] ; [15  7],[27.42857143 20.57142857] ; [12.57142857  9.42857143],0
u3,1,0.251193,1.316656,[22 27] ; [18 13],[24.5 24.5] ; [15.5 15.5],0
a1,1,0.263908,1.248139,[ 11 118] ; [ 3 67],[  9.07537688 119.92462312] ; [ 4.92462312 65.07537688],0
d1,1,0.318904,0.993435,[55 74] ; [35 35],[58.34170854 70.65829146] ; [31.65829146 38.34170854],0
r2,1,0.338712,0.915302,[104  23] ; [61  9],[106.37055838  20.62944162] ; [58.62944162 11.37055838],0
