Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,1.4e-05,18.83994,[129  15] ; [52 27],[116.87892377  27.12107623] ; [64.12107623 14.87892377],1
p6,1,0.000419,12.446841,[63 79] ; [16 62],[50.99090909 91.00909091] ; [28.00909091 49.99090909],1
p3,1,0.000522,12.034589,[86 58] ; [28 51],[73.61434978 70.38565022] ; [40.38565022 38.61434978],1
n5,1,0.000985,10.855796,[114  31] ; [45 33],[103.38565022  41.61434978] ; [55.61434978 22.38565022],1
p4,1,0.001121,10.615639,[97 47] ; [35 43],[85.62162162 58.37837838] ; [46.37837838 31.62162162],0
p9,1,0.001863,9.679833,[125  19] ; [55 24],[116.23318386  27.76681614] ; [63.76681614 15.23318386],0
p11,1,0.008339,6.959099,[122  24] ; [54 25],[114.20444444  31.79555556] ; [61.79555556 17.20444444],0
p10,1,0.021829,5.259385,[120  23] ; [56 23],[113.36936937  29.63063063] ; [62.63063063 16.36936937],0
p8,1,0.02451,5.058177,[82 59] ; [33 45],[74.04109589 66.95890411] ; [40.95890411 37.04109589],0
s7,1,0.026773,4.905387,[48 88] ; [15 58],[40.99521531 95.00478469] ; [22.00478469 50.99521531],0
b5,1,0.026827,4.901924,[96 50] ; [40 39],[88.24888889 57.75111111] ; [47.75111111 31.24888889],0
s6,1,0.027723,4.845232,[75 69] ; [29 50],[67.15695067 76.84304933] ; [36.84304933 42.15695067],0
a4,1,0.030318,4.691162,[77 68] ; [30 49],[69.26339286 75.73660714] ; [37.73660714 41.26339286],0
b2,1,0.036996,4.35061,[38 50] ; [13 38],[32.28776978 55.71223022] ; [18.71223022 32.28776978],0
b3,1,0.036996,4.35061,[38 50] ; [13 38],[32.28776978 55.71223022] ; [18.71223022 32.28776978],0
r4,1,0.044624,4.032804,[132  14] ; [64 15],[127.18222222  18.81777778] ; [68.81777778 10.18222222],0
a5,1,0.054537,3.696184,[115  31] ; [53 26],[109.01333333  36.98666667] ; [58.98666667 20.01333333],0
r3,1,0.078858,3.088287,[141   5] ; [71  7],[138.17857143   7.82142857] ; [73.82142857  4.17857143],0
a1,1,0.083245,3.000384,[  5 141] ; [ 7 72],[  7.78666667 138.21333333] ; [ 4.21333333 74.78666667],0
p7,1,0.089826,2.877484,[96 48] ; [43 35],[90.16216216 53.83783784] ; [48.83783784 29.16216216],0
p5,1,0.090056,2.873373,[ 20 125] ; [ 5 74],[ 16.18303571 128.81696429] ; [ 8.81696429 70.18303571],0
s8,1,0.098146,2.735421,[46 98] ; [17 62],[ 40.68161435 103.31838565] ; [22.31838565 56.68161435],0
n1,1,0.123074,2.377757,[10 17] ; [ 4 19],[ 7.56 19.44] ; [ 6.44 16.56],0
n4,1,0.161141,1.963484,[114  32] ; [55 24],[109.66222222  36.33777778] ; [59.33777778 19.66222222],0
a2,1,0.161186,1.963064,[ 40 106] ; [15 64],[ 35.68888889 110.31111111] ; [19.31111111 59.68888889],0
v4,1,0.166156,1.917283,[141   5] ; [73  6],[138.86222222   7.13777778] ; [75.13777778  3.86222222],0
d1,1,0.174747,1.841743,[93 53] ; [43 36],[88.24888889 57.75111111] ; [47.75111111 31.24888889],0
a6,1,0.197956,1.657391,[108  38] ; [52 27],[103.82222222  42.17777778] ; [56.17777778 22.82222222],0
s4,1,0.226103,1.465211,[ 11 132] ; [10 69],[ 13.52702703 129.47297297] ; [ 7.47297297 71.52702703],0
d5,1,0.232413,1.42603,[127  19] ; [64 15],[123.93777778  22.06222222] ; [67.06222222 11.93777778],0
s5,1,0.233053,1.422129,[ 33 110] ; [24 55],[ 36.71621622 106.28378378] ; [20.28378378 58.71621622],0
r1,1,0.243545,1.359954,[122  24] ; [61 18],[118.74666667  27.25333333] ; [64.25333333 14.74666667],0
v3,1,0.280743,1.163489,[74 67] ; [35 43],[70.17808219 70.82191781] ; [38.82191781 39.17808219],0
n6,1,0.346029,0.887966,[122  24] ; [62 17],[119.39555556  26.60444444] ; [64.60444444 14.39555556],0
d2,1,0.360173,0.837291,[73 73] ; [34 44],[69.74107143 76.25892857] ; [37.25892857 40.74107143],0
a8,1,0.368036,0.810285,[ 16 107] ; [ 6 63],[ 14.09375 108.90625] ; [ 7.90625 61.09375],0
u1,1,0.386084,0.75124,[ 29 117] ; [12 67],[ 26.60444444 119.39555556] ; [14.39555556 64.60444444],0
d4,1,0.424173,0.638725,[124  22] ; [63 15],[121.88392857  24.11607143] ; [65.11607143 12.88392857],0
s2,1,0.427645,0.629211,[ 26 118] ; [11 68],[ 23.89237668 120.10762332] ; [13.10762332 65.89237668],0
n2,1,0.430394,0.62176,[20  7] ; [14  8],[18.73469388  8.26530612] ; [15.26530612  6.73469388],0
d3,1,0.433681,0.612945,[107  39] ; [54 25],[104.47111111  41.52888889] ; [56.52888889 22.47111111],0
a3,1,0.502163,0.450362,[106  40] ; [54 25],[103.82222222  42.17777778] ; [56.17777778 22.82222222],0
b4,1,0.528516,0.397245,[84 62] ; [42 37],[81.76 64.24] ; [44.24 34.76],0
u4,1,0.657688,0.196344,[  1 145] ; [ 1 78],[  1.29777778 144.70222222] ; [ 0.70222222 78.29777778],0
p12,1,0.705782,0.142527,[  7 136] ; [ 3 76],[  6.44144144 136.55855856] ; [ 3.55855856 75.44144144],0
n3,1,0.723413,0.125246,[20  7] ; [16  7],[19.44  7.56] ; [16.56  6.44],0
a7,1,0.777353,0.079959,[106  40] ; [58 20],[106.89285714  39.10714286] ; [57.10714286 20.89285714],0
r2,1,0.870528,0.026565,[132  12] ; [71  7],[131.67567568  12.32432432] ; [71.32432432  6.67567568],0
u3,1,0.875315,0.024621,[20 20] ; [12 13],[19.69230769 20.30769231] ; [12.30769231 12.69230769],0
p1,1,0.881307,0.022294,[ 10 136] ; [ 5 74],[  9.73333333 136.26666667] ; [ 5.26666667 73.73333333],0
b1,1,0.898125,0.016392,[53 93] ; [28 51],[52.56 93.44] ; [28.44 50.56],0
u2,1,0.921261,0.00977,[20 19] ; [12 12],[19.80952381 19.19047619] ; [12.19047619 11.80952381],0
s1,1,0.956562,0.002967,[  2 144] ; [ 1 77],[  1.95535714 144.04464286] ; [ 1.04464286 76.95535714],0
