Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,47.198237,[145   6] ; [21 17],[132.62433862  18.37566138] ; [33.37566138  4.62433862],1
a5,1,9.5e-05,15.23265,[103  47] ; [13 25],[92.55319149 57.44680851] ; [23.44680851 14.55319149],1
r2,1,0.002679,9.01388,[142   7] ; [29  7],[137.72432432  11.27567568] ; [33.27567568  2.72432432],0
r3,1,0.004135,8.223347,[147   2] ; [34  4],[144.21925134   4.78074866] ; [36.78074866  1.21925134],0
b1,1,0.004926,7.90646,[ 50 101] ; [22 16],[57.52380952 93.47619048] ; [14.47619048 23.52380952],0
a3,1,0.016018,5.800932,[99 51] ; [17 21],[92.55319149 57.44680851] ; [23.44680851 14.55319149],0
v3,1,0.016563,5.742054,[80 70] ; [12 26],[73.40425532 76.59574468] ; [18.59574468 19.40425532],0
p9,1,0.019497,5.456349,[124  22] ; [26 12],[119.02173913  26.97826087] ; [30.97826087  7.02173913],0
s1,1,0.026818,4.90246,[  2 145] ; [ 3 35],[  3.97297297 143.02702703] ; [ 1.02702703 36.97297297],0
p10,1,0.050131,3.837064,[120  26] ; [25 12],[115.68306011  30.31693989] ; [29.31693989  7.68306011],0
a7,1,0.074294,3.1855,[105  44] ; [21 17],[100.39572193  48.60427807] ; [25.60427807 12.39572193],0
p11,1,0.078672,3.092133,[123  28] ; [26 12],[119.04232804  31.95767196] ; [29.95767196  8.04232804],0
a6,1,0.101353,2.684117,[93 57] ; [18 20],[88.56382979 61.43617021] ; [22.43617021 15.56382979],0
a1,1,0.106763,2.601501,[  6 145] ; [ 4 34],[  7.98941799 143.01058201] ; [ 2.01058201 35.98941799],0
n6,1,0.150752,2.064628,[124  24] ; [28 10],[120.94623656  27.05376344] ; [31.05376344  6.94623656],0
s4,1,0.193756,1.688821,[ 19 130] ; [ 8 30],[ 21.51336898 127.48663102] ; [ 5.48663102 32.51336898],0
a4,1,0.214541,1.540514,[ 38 112] ; [ 6 32],[ 35.10638298 114.89361702] ; [ 8.89361702 29.10638298],0
v4,1,0.227848,1.454243,[141   8] ; [33  4],[139.38709677   9.61290323] ; [34.61290323  2.38709677],0
s5,1,0.24721,1.339,[50 98] ; [ 8 26],[ 47.16483516 100.83516484] ; [10.83516484 23.16483516],0
p2,1,0.313071,1.017675,[120  28] ; [28 10],[117.76344086  30.23655914] ; [30.23655914  7.76344086],0
p3,1,0.345807,0.888785,[75 73] ; [16 22],[72.40860215 75.59139785] ; [18.59139785 19.40860215],0
d2,1,0.367206,0.813096,[ 20 131] ; [ 3 35],[ 18.37566138 132.62433862] ; [ 4.62433862 33.37566138],0
