Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.000105,15.050167,[35 85] ; [17  7],[43.33333333 76.66666667] ; [ 8.66666667 15.33333333],1
p7,1,0.000736,11.397174,[36 89] ; [16  9],[43.33333333 81.66666667] ; [ 8.66666667 16.33333333],1
s2,1,0.001065,10.710592,[44 83] ; [18  8],[51.46405229 75.53594771] ; [10.53594771 15.46405229],0
p2,1,0.001807,9.736258,[60 67] ; [21  5],[67.23529412 59.76470588] ; [13.76470588 12.23529412],0
s8,1,0.002875,8.885459,[29 98] ; [13 12],[35.09210526 91.90789474] ; [ 6.90789474 18.09210526],0
u1,1,0.008941,6.834639,[ 14 113] ; [ 8 18],[ 18.26143791 108.73856209] ; [ 3.73856209 22.26143791],0
p10,1,0.00954,6.718789,[55 67] ; [19  7],[61. 61.] ; [13. 13.],0
p9,1,0.015235,5.889097,[61 59] ; [20  6],[66.57534247 53.42465753] ; [14.42465753 11.57534247],0
v1,1,0.02573,4.974062,[39 87] ; [14 12],[43.93421053 82.06578947] ; [ 9.06578947 16.93421053],0
p4,1,0.028154,4.818594,[31 94] ; [12 14],[35.59602649 89.40397351] ; [ 7.40397351 18.59602649],0
b5,1,0.054929,3.684255,[72 55] ; [20  6],[76.36601307 50.63398693] ; [15.63398693 10.36601307],0
r4,1,0.069908,3.285182,[79 48] ; [21  5],[83.00653595 43.99346405] ; [16.99346405  9.00653595],0
v2,1,0.073184,3.210128,[42 78] ; [14 12],[46.02739726 73.97260274] ; [ 9.97260274 16.02739726],0
s5,1,0.075441,3.160478,[27 97] ; [ 9 14],[30.36734694 93.63265306] ; [ 5.63265306 17.36734694],0
n4,1,0.07953,3.07448,[68 57] ; [19  7],[72.01986755 52.98013245] ; [14.98013245 11.01986755],0
n6,1,0.089855,2.876973,[74 51] ; [20  6],[77.81456954 47.18543046] ; [16.18543046  9.81456954],0
r3,1,0.094741,2.791908,[92 34] ; [23  3],[95.32894737 30.67105263] ; [19.67105263  6.32894737],0
v4,1,0.117659,2.448215,[99 26] ; [24  2],[101.82119205  23.17880795] ; [21.17880795  4.82119205],0
p8,1,0.123156,2.376713,[ 26 100] ; [ 9 17],[29.01315789 96.98684211] ; [ 5.98684211 20.01315789],0
r2,1,0.126943,2.329496,[104  19] ; [24  1],[106.37837838  16.62162162] ; [21.62162162  3.37837838],0
u2,1,0.134487,2.23993,[18 29] ; [8 5],[20.36666667 26.63333333] ; [5.63333333 7.36666667],0
n5,1,0.150431,2.067874,[73 53] ; [19  7],[76.26315789 49.73684211] ; [15.73684211 10.26315789],0
n3,1,0.153447,2.037647,[32 29] ; [7 2],[33.98571429 27.01428571] ; [5.01428571 3.98571429],0
s1,1,0.175837,1.83246,[  9 116] ; [ 4 22],[ 10.7615894 114.2384106] ; [ 2.2384106 23.7615894],0
a3,1,0.19184,1.703433,[79 45] ; [13 13],[76.05333333 47.94666667] ; [15.94666667 10.05333333],0
s3,1,0.20272,1.622671,[55 70] ; [15 11],[57.94701987 67.05298013] ; [12.05298013 13.94701987],0
u4,1,0.210916,1.565129,[  1 126] ; [ 1 25],[  1.66013072 125.33986928] ; [ 0.33986928 25.66013072],0
s6,1,0.214256,1.54243,[58 67] ; [15 10],[60.83333333 64.16666667] ; [12.16666667 12.83333333],0
r1,1,0.251493,1.314989,[81 43] ; [20  6],[83.49333333 40.50666667] ; [17.50666667  8.49333333],0
p5,1,0.281432,1.160163,[  4 122] ; [ 2 24],[  4.97368421 121.02631579] ; [ 1.02631579 24.97368421],0
b2,1,0.282506,1.154993,[23 45] ; [6 6],[24.65 43.35] ; [4.35 7.65],0
b3,1,0.282506,1.154993,[23 45] ; [6 6],[24.65 43.35] ; [4.35 7.65],0
d2,1,0.320844,0.985505,[54 71] ; [14 12],[56.29139073 68.70860927] ; [11.70860927 14.29139073],0
d3,1,0.385186,0.754085,[72 54] ; [16  8],[73.92 52.08] ; [14.08  9.92],0
a1,1,0.405376,0.692322,[ 11 116] ; [ 1 25],[  9.96078431 117.03921569] ; [ 2.03921569 23.96078431],0
a6,1,0.437341,0.603249,[72 54] ; [17  9],[73.77631579 52.22368421] ; [15.22368421 10.77631579],0
a2,1,0.466246,0.530858,[ 26 101] ; [ 7 19],[27.39215686 99.60784314] ; [ 5.60784314 20.39215686],0
a4,1,0.561682,0.3368,[50 75] ; [12 14],[51.32450331 73.67549669] ; [10.67549669 15.32450331],0
n1,1,0.602073,0.271881,[22 40] ; [4 5],[22.70422535 39.29577465] ; [3.29577465 5.70422535],0
a8,1,0.614009,0.254378,[ 11 104] ; [ 3 20],[ 11.66666667 103.33333333] ; [ 2.33333333 20.66666667],0
u3,1,0.648978,0.207191,[18 28] ; [6 7],[18.71186441 27.28813559] ; [5.28813559 7.71186441],0
p1,1,0.666822,0.185342,[  7 120] ; [ 2 24],[  7.47058824 119.52941176] ; [ 1.52941176 24.47058824],0
n2,1,0.675526,0.175206,[38 26] ; [6 3],[38.57534247 25.42465753] ; [5.42465753 3.57534247],0
b4,1,0.693623,0.155191,[63 64] ; [14 12],[63.91503268 63.08496732] ; [13.08496732 12.91503268],0
d1,1,0.733191,0.116202,[54 73] ; [12 14],[54.78431373 72.21568627] ; [11.21568627 14.78431373],0
b1,1,0.748334,0.102936,[63 64] ; [12 14],[62.25490196 64.74509804] ; [12.74509804 13.25490196],0
v3,1,0.784526,0.074762,[34 87] ; [ 8 18],[34.57142857 86.42857143] ; [ 7.42857143 18.57142857],0
d5,1,0.792459,0.069232,[89 37] ; [17  8],[88.45033113 37.54966887] ; [17.54966887  7.45033113],0
a5,1,0.814214,0.055222,[75 52] ; [16 10],[75.53594771 51.46405229] ; [15.46405229 10.53594771],0
a7,1,0.897041,0.016745,[84 42] ; [17  8],[84.2781457 41.7218543] ; [16.7218543  8.2781457],0
d4,1,0.905595,0.014065,[88 37] ; [18  8],[87.74834437 37.25165563] ; [18.25165563  7.74834437],0
s4,1,0.968503,0.001559,[ 24 103] ; [ 5 21],[ 24.07189542 102.92810458] ; [ 4.92810458 21.07189542],0
