Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4e-06,21.239698,[63 42] ; [ 4 27],[51.72794118 53.27205882] ; [15.27205882 15.72794118],1
p2,1,1.5e-05,18.77983,[74 31] ; [ 8 22],[63.77777778 41.22222222] ; [18.22222222 11.77777778],1
r2,1,2.2e-05,18.02509,[85 18] ; [12 16],[76.26717557 26.73282443] ; [20.73282443  7.26717557],1
r3,1,0.000645,11.640306,[85 20] ; [15 15],[77.77777778 27.22222222] ; [22.22222222  7.77777778],1
p9,1,0.001236,10.435112,[77 24] ; [13 16],[69.92307692 31.07692308] ; [20.07692308  8.92307692],0
n6,1,0.001554,10.013869,[79 26] ; [14 17],[71.80147059 33.19852941] ; [21.19852941  9.80147059],0
p1,1,0.001636,9.918869,[  2 103] ; [ 5 26],[ 5.40441176 99.59558824] ; [ 1.59558824 29.40441176],0
p10,1,0.001752,9.792348,[71 33] ; [11 19],[63.64179104 40.35820896] ; [18.35820896 11.64179104],0
s2,1,0.002131,9.43329,[41 64] ; [ 3 28],[33.97058824 71.02941176] ; [10.02941176 20.97058824],0
p7,1,0.002846,8.903831,[43 59] ; [ 4 27],[36.04511278 65.95488722] ; [10.95488722 20.04511278],0
u2,1,0.003558,8.496524,[26 20] ; [ 2 13],[21.1147541 24.8852459] ; [6.8852459 8.1147541],0
s6,1,0.005947,7.566188,[48 54] ; [ 6 25],[41.41353383 60.58646617] ; [12.58646617 18.41353383],0
u3,1,0.006323,7.455865,[21 25] ; [ 1 14],[16.59016393 29.40983607] ; [5.40983607 9.59016393],0
n2,1,0.009602,6.707299,[33 10] ; [5 8],[29.17857143 13.82142857] ; [8.82142857 4.17857143],0
p8,1,0.010301,6.582121,[36 67] ; [ 3 26],[30.43181818 72.56818182] ; [ 8.56818182 20.43181818],0
p11,1,0.023242,5.150312,[71 34] ; [14 17],[65.625 39.375] ; [19.375 11.625],0
p6,1,0.026462,4.925554,[27 76] ; [ 2 27],[22.62878788 80.37121212] ; [ 6.37121212 22.62878788],0
s3,1,0.040222,4.208475,[42 62] ; [ 6 24],[37.25373134 66.74626866] ; [10.74626866 19.25373134],0
s8,1,0.041247,4.165857,[24 81] ; [ 2 29],[20.07352941 84.92647059] ; [ 5.92647059 25.07352941],0
s5,1,0.05098,3.808915,[23 79] ; [ 2 28],[19.31818182 82.68181818] ; [ 5.68181818 24.31818182],0
p4,1,0.074125,3.189227,[34 70] ; [ 5 26],[30.04444444 73.95555556] ; [ 8.95555556 22.04444444],0
d2,1,0.090969,2.857143,[38 67] ; [16 14],[42. 63.] ; [12. 18.],0
s1,1,0.191846,1.703386,[  2 102] ; [ 2 29],[  3.08148148 100.91851852] ; [ 0.91851852 30.08148148],0
s4,1,0.228459,1.450428,[24 81] ; [ 4 27],[21.61764706 83.38235294] ; [ 6.38235294 24.61764706],0
s7,1,0.249177,1.327912,[27 73] ; [ 5 25],[24.61538462 75.38461538] ; [ 7.38461538 22.61538462],0
b4,1,0.250858,1.318517,[59 46] ; [21 10],[61.76470588 43.23529412] ; [18.23529412 12.76470588],0
a1,1,0.263131,1.25221,[ 7 98] ; [ 4 27],[ 8.49264706 96.50735294] ; [ 2.50735294 28.49264706],0
n4,1,0.290718,1.116294,[60 45] ; [21 10],[62.53676471 42.46323529] ; [18.46323529 12.53676471],0
a6,1,0.323315,0.975491,[58 47] ; [14 17],[55.58823529 49.41176471] ; [16.41176471 14.58823529],0
d1,1,0.325655,0.966097,[34 71] ; [13 18],[36.28676471 68.71323529] ; [10.71323529 20.28676471],0
v1,1,0.3297,0.950075,[29 71] ; [ 6 24],[26.92307692 73.07692308] ; [ 8.07692308 21.92307692],0
n1,1,0.341902,0.903288,[13 28] ; [6 7],[14.42592593 26.57407407] ; [4.57407407 8.42592593],0
p12,1,0.355997,0.851964,[  3 101] ; [ 2 29],[  3.85185185 100.14814815] ; [ 1.14814815 29.85185185],0
v2,1,0.36066,0.835593,[36 65] ; [ 8 22],[33.92366412 67.07633588] ; [10.07633588 19.92366412],0
n3,1,0.370002,0.803657,[29 14] ; [7 6],[27.64285714 15.35714286] ; [8.35714286 4.64285714],0
d5,1,0.386539,0.749803,[66 38] ; [17 14],[63.94074074 40.05925926] ; [19.05925926 11.94074074],0
b1,1,0.405644,0.69153,[42 63] ; [15 16],[44.00735294 60.99264706] ; [12.99264706 18.00735294],0
b5,1,0.421182,0.647016,[66 39] ; [17 14],[64.08088235 40.91911765] ; [18.91911765 12.08088235],0
b2,1,0.4312,0.619589,[20 37] ; [ 9 11],[21.46753247 35.53246753] ; [ 7.53246753 12.46753247],0
b3,1,0.4312,0.619589,[20 37] ; [ 9 11],[21.46753247 35.53246753] ; [ 7.53246753 12.46753247],0
d4,1,0.435665,0.607675,[69 36] ; [18 13],[67.16911765 37.83088235] ; [19.83088235 11.16911765],0
a2,1,0.471059,0.519491,[ 9 96] ; [ 4 27],[10.03676471 94.96323529] ; [ 2.96323529 28.03676471],0
d3,1,0.478053,0.503302,[54 49] ; [14 17],[52.26865672 50.73134328] ; [15.73134328 15.26865672],0
a7,1,0.529394,0.395555,[57 47] ; [15 16],[55.46666667 48.53333333] ; [16.53333333 14.46666667],0
a8,1,0.536945,0.381232,[ 9 90] ; [ 4 27],[ 9.9 89.1] ; [ 3.1 27.9],0
p5,1,0.603968,0.269053,[ 6 99] ; [ 1 29],[ 5.44444444 99.55555556] ; [ 1.55555556 28.44444444],0
a3,1,0.614737,0.253334,[59 45] ; [16 15],[57.77777778 46.22222222] ; [17.22222222 13.77777778],0
n5,1,0.687264,0.162063,[67 38] ; [21 10],[67.94117647 37.05882353] ; [20.05882353 10.94117647],0
v3,1,0.846466,0.037492,[25 78] ; [ 7 24],[24.59701493 78.40298507] ; [ 7.40298507 23.59701493],0
u1,1,0.878158,0.023502,[ 6 99] ; [ 2 29],[ 6.17647059 98.82352941] ; [ 1.82352941 29.17647059],0
a5,1,0.882585,0.021813,[49 56] ; [14 17],[48.63970588 56.36029412] ; [14.36029412 16.63970588],0
a4,1,0.960106,0.002502,[32 73] ; [ 9 21],[31.88888889 73.11111111] ; [ 9.11111111 20.88888889],0
