Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,44.093236,[54 61] ; [354  99],[82.6056338 32.3943662] ; [325.3943662 127.6056338],1
n4,1,0.0,35.540259,[62 55] ; [363  91],[87.08406305 29.91593695] ; [337.91593695 116.08406305],1
p10,1,0.0,30.954971,[63 52] ; [360  90],[86.09734513 28.90265487] ; [336.90265487 113.09734513],1
p11,1,2e-06,22.39589,[70 47] ; [367  88],[89.38636364 27.61363636] ; [347.61363636 107.38636364],1
r3,1,3e-06,22.159631,[97 19] ; [436  19],[108.28021016   7.71978984] ; [424.71978984  30.28021016],1
r4,1,3e-06,21.564438,[91 26] ; [421  34],[104.72727273  12.27272727] ; [407.27272727  47.72727273],1
p9,1,4e-06,21.251316,[73 43] ; [371  78],[91.15752212 24.84247788] ; [352.84247788  96.15752212],1
v4,1,1.4e-05,18.883347,[100  15] ; [441  14],[109.14912281   5.85087719] ; [431.85087719  23.14912281],1
p2,1,0.000382,12.617174,[78 37] ; [374  78],[91.67548501 23.32451499] ; [360.32451499  91.67548501],1
s6,1,0.00059,11.807955,[48 69] ; [265 186],[64.47359155 52.52640845] ; [248.52640845 202.47359155],1
p6,1,0.001286,10.361991,[19 93] ; [146 304],[32.88256228 79.11743772] ; [132.11743772 317.88256228],0
s8,1,0.001304,10.336523,[26 91] ; [173 281],[40.77583187 76.22416813] ; [158.22416813 295.77583187],0
s7,1,0.001537,10.033534,[29 81] ; [187 249],[43.51648352 66.48351648] ; [172.48351648 263.51648352],0
p4,1,0.002725,8.98327,[46 69] ; [252 201],[60.33450704 54.66549296] ; [237.66549296 215.33450704],0
p3,1,0.005049,7.861694,[37 79] ; [210 243],[50.35500879 65.64499121] ; [196.64499121 256.35500879],0
b1,1,0.005319,7.767621,[57 60] ; [158 297],[43.97727273 73.02272727] ; [171.02272727 283.97727273],0
p7,1,0.01098,6.468596,[52 59] ; [269 178],[63.85483871 47.14516129] ; [257.14516129 189.85483871],0
v1,1,0.01633,5.766996,[45 70] ; [228 213],[56.46582734 58.53417266] ; [216.53417266 224.46582734],0
p8,1,0.016775,5.71973,[42 73] ; [219 228],[53.40747331 61.59252669] ; [207.59252669 239.40747331],0
d1,1,0.017614,5.63417,[52 65] ; [258 197],[63.40909091 53.59090909] ; [246.59090909 208.40909091],0
v2,1,0.020324,5.383824,[46 62] ; [240 196],[56.77941176 51.22058824] ; [229.22058824 206.77941176],0
s1,1,0.030378,4.687795,[  7 108] ; [ 10 440],[  3.46017699 111.53982301] ; [ 13.53982301 436.46017699],0
p12,1,0.038072,4.301824,[  1 114] ; [ 24 427],[  5.0795053 109.9204947] ; [ 19.9204947 431.0795053],0
u1,1,0.070242,3.27736,[ 11 106] ; [ 73 382],[17.18181818 99.81818182] ; [ 66.81818182 388.18181818],0
a5,1,0.07541,3.161145,[72 45] ; [319 136],[79.97727273 37.02272727] ; [311.02272727 143.97727273],0
b2,1,0.08209,3.023025,[17 48] ; [102 169],[23.02083333 41.97916667] ; [ 95.97916667 175.02083333],0
b3,1,0.08209,3.023025,[17 48] ; [102 169],[23.02083333 41.97916667] ; [ 95.97916667 175.02083333],0
d4,1,0.087192,2.925463,[83 32] ; [362  93],[89.78070175 25.21929825] ; [355.21929825  99.78070175],0
a7,1,0.089486,2.883592,[79 38] ; [341 112],[86.21052632 30.78947368] ; [333.78947368 119.21052632],0
u3,1,0.091032,2.856026,[28 13] ; [77 67],[23.27027027 17.72972973] ; [81.72972973 62.27027027],0
a8,1,0.11622,2.46754,[ 8 99] ; [ 54 362],[12.68451243 94.31548757] ; [ 49.31548757 366.68451243],0
v3,1,0.125548,2.346705,[33 75] ; [169 270],[39.88299817 68.11700183] ; [162.11700183 276.88299817],0
d3,1,0.131673,2.272663,[70 45] ; [310 144],[76.80140598 38.19859402] ; [303.19859402 150.80140598],0
d5,1,0.146034,2.113195,[85 31] ; [361  93],[90.76491228 25.23508772] ; [355.23508772  98.76491228],0
r1,1,0.154978,2.022561,[87 30] ; [364  89],[92.57368421 24.42631579] ; [358.42631579  94.57368421],0
d2,1,0.187643,1.736026,[46 70] ; [211 243],[52.30175439 63.69824561] ; [204.69824561 249.30175439],0
u4,1,0.24852,1.331607,[  1 116] ; [ 12 443],[  2.65909091 114.34090909] ; [ 10.34090909 444.65909091],0
s2,1,0.303149,1.060292,[40 77] ; [178 274],[44.82601054 72.17398946] ; [173.17398946 278.82601054],0
a3,1,0.372506,0.795287,[75 42] ; [310 143],[79.02631579 37.97368421] ; [305.97368421 147.02631579],0
u2,1,0.374487,0.788722,[25 16] ; [76 67],[22.50543478 18.49456522] ; [78.49456522 64.50543478],0
p1,1,0.398709,0.712218,[ 10 106] ; [ 29 424],[  7.95079086 108.04920914] ; [ 31.04920914 421.95079086],0
a4,1,0.42389,0.639504,[44 73] ; [188 263],[47.78873239 69.21126761] ; [184.21126761 266.78873239],0
a2,1,0.45467,0.558985,[22 95] ; [100 355],[24.95454545 92.04545455] ; [ 97.04545455 357.95454545],0
a6,1,0.47652,0.506816,[84 32] ; [314 141],[80.85464098 35.14535902] ; [317.14535902 137.85464098],0
n1,1,0.544783,0.366746,[14 21] ; [35 67],[12.51824818 22.48175182] ; [36.48175182 65.51824818],0
b5,1,0.54679,0.363099,[70 47] ; [286 169],[72.81818182 44.18181818] ; [283.18181818 171.81818182],0
a1,1,0.572746,0.318109,[  6 111] ; [ 18 437],[  4.90909091 112.09090909] ; [ 19.09090909 435.90909091],0
