Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,3.9e-05,16.926435,[ 3 13] ; [23  5],[9.45454545 6.54545455] ; [16.54545455 11.45454545],1
s7,1,0.020123,5.401235,[ 5 10] ; [19  8],[8.57142857 6.42857143] ; [15.42857143 11.57142857],0
s8,1,0.023828,5.107143,[ 3 13] ; [15 13],[6.54545455 9.45454545] ; [11.45454545 16.54545455],0
p11,1,0.038182,4.296875,[7 9] ; [21  7],[10.18181818  5.81818182] ; [17.81818182 10.18181818],0
a3,1,0.038182,4.296875,[7 9] ; [21  7],[10.18181818  5.81818182] ; [17.81818182 10.18181818],0
n6,1,0.046758,3.954063,[7 9] ; [20  7],[10.04651163  5.95348837] ; [16.95348837 10.04651163],0
p9,1,0.050304,3.831293,[8 8] ; [22  6],[10.90909091  5.09090909] ; [19.09090909  8.90909091],0
p10,1,0.063177,3.451944,[7 8] ; [21  7],[9.76744186 5.23255814] ; [18.23255814  9.76744186],0
b4,1,0.098099,2.736173,[ 5 11] ; [16 12],[7.63636364 8.36363636] ; [13.36363636 14.63636364],0
p2,1,0.112724,2.515605,[9 6] ; [23  5],[11.1627907  3.8372093] ; [20.8372093  7.1627907],0
u3,1,0.13057,2.285714,[6 3] ; [2 5],[4.5 4.5] ; [3.5 3.5],0
v2,1,0.136583,2.216038,[ 5 10] ; [16 12],[7.3255814 7.6744186] ; [13.6744186 14.3255814],0
d3,1,0.160237,1.971989,[12  4] ; [15 13],[9.81818182 6.18181818] ; [17.18181818 10.81818182],0
v3,1,0.177883,1.815226,[ 2 13] ; [ 9 19],[ 3.8372093 11.1627907] ; [ 7.1627907 20.8372093],0
s4,1,0.198959,1.65,[7 9] ; [ 7 21],[ 5.09090909 10.90909091] ; [ 8.90909091 19.09090909],0
s6,1,0.198959,1.65,[9 7] ; [21  7],[10.90909091  5.09090909] ; [19.09090909  8.90909091],0
p6,1,0.236212,1.403061,[ 4 12] ; [12 16],[ 5.81818182 10.18181818] ; [10.18181818 17.81818182],0
n3,1,0.2524,1.309972,[4 2] ; [5 8],[2.84210526 3.15789474] ; [6.15789474 6.84210526],0
a5,1,0.276981,1.181845,[7 9] ; [17 11],[8.72727273 7.27272727] ; [15.27272727 12.72727273],0
a7,1,0.276981,1.181845,[9 7] ; [11 17],[7.27272727 8.72727273] ; [12.72727273 15.27272727],0
u2,1,0.280425,1.165029,[5 4] ; [2 5],[3.9375 5.0625] ; [3.0625 3.9375],0
a6,1,0.324583,0.970391,[11  5] ; [15 13],[9.45454545 6.54545455] ; [16.54545455 11.45454545],0
a4,1,0.337276,0.920759,[ 3 13] ; [ 9 19],[ 4.36363636 11.63636364] ; [ 7.63636364 20.36363636],0
n1,1,0.372374,0.795726,[2 4] ; [ 2 11],[1.26315789 4.73684211] ; [ 2.73684211 10.26315789],0
b2,1,0.430412,0.621711,[1 7] ; [ 5 14],[1.77777778 6.22222222] ; [ 4.22222222 14.77777778],0
b3,1,0.430412,0.621711,[1 7] ; [ 5 14],[1.77777778 6.22222222] ; [ 4.22222222 14.77777778],0
d4,1,0.469221,0.52381,[13  3] ; [20  8],[12.  4.] ; [21.  7.],0
p8,1,0.483869,0.490131,[7 8] ; [10 18],[5.93023256 9.06976744] ; [11.06976744 16.93023256],0
p7,1,0.508332,0.4375,[9 5] ; [15 13],[8. 6.] ; [16. 12.],0
s1,1,0.552098,0.353571,[ 2 14] ; [ 2 26],[ 1.45454545 14.54545455] ; [ 2.54545455 25.45454545],0
r2,1,0.570435,0.321955,[11  5] ; [15 10],[10.14634146  5.85365854] ; [15.85365854  9.14634146],0
b5,1,0.598469,0.277311,[9 7] ; [18 10],[9.81818182 6.18181818] ; [17.18181818 10.81818182],0
a1,1,0.620236,0.245536,[ 1 15] ; [ 3 25],[ 1.45454545 14.54545455] ; [ 2.54545455 25.45454545],0
r1,1,0.634153,0.226471,[ 3 13] ; [ 7 21],[ 3.63636364 12.36363636] ; [ 6.36363636 21.63636364],0
n2,1,0.636982,0.222711,[4 2] ; [10  3],[4.42105263 1.57894737] ; [9.57894737 3.42105263],0
p5,1,0.645981,0.211005,[ 1 14] ; [ 1 27],[ 0.69767442 14.30232558] ; [ 1.30232558 26.69767442],0
s5,1,0.663911,0.188808,[ 5 10] ; [ 7 19],[ 4.3902439 10.6097561] ; [ 7.6097561 18.3902439],0
p4,1,0.689691,0.15942,[9 7] ; [14 14],[8.36363636 7.63636364] ; [14.63636364 13.36363636],0
v1,1,0.734547,0.114977,[7 9] ; [10 16],[6.47619048 9.52380952] ; [10.52380952 15.47619048],0
s3,1,0.785671,0.07395,[12  4] ; [22  6],[12.36363636  3.63636364] ; [21.63636364  6.36363636],0
r3,1,0.785671,0.07395,[12  4] ; [22  6],[12.36363636  3.63636364] ; [21.63636364  6.36363636],0
d1,1,0.819524,0.052056,[8 8] ; [13 15],[7.63636364 8.36363636] ; [13.36363636 14.63636364],0
b1,1,0.819524,0.052056,[8 8] ; [13 15],[7.63636364 8.36363636] ; [13.36363636 14.63636364],0
p3,1,0.863711,0.029464,[7 9] ; [13 15],[7.27272727 8.72727273] ; [12.72727273 15.27272727],0
d2,1,0.906842,0.013694,[ 6 10] ; [11 17],[6.18181818 9.81818182] ; [10.81818182 17.18181818],0
d5,1,0.951226,0.003741,[11  5] ; [19  9],[10.90909091  5.09090909] ; [19.09090909  8.90909091],0
v4,1,1.0,0.0,[10  5] ; [18  9],[10.  5.] ; [18.  9.],0
