Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-05,18.153736,[27  2] ; [1 5],[23.2  5.8] ; [4.8 1.2],1
n6,1,0.019677,5.440348,[27  1] ; [4 2],[25.52941176  2.47058824] ; [5.47058824 0.52941176],0
d5,1,0.023254,5.149425,[23  6] ; [2 4],[20.71428571  8.28571429] ; [4.28571429 1.71428571],0
s3,1,0.049804,3.848049,[17 11] ; [1 5],[14.82352941 13.17647059] ; [3.17647059 2.82352941],0
d2,1,0.116623,2.462095,[15 14] ; [1 5],[13.25714286 15.74285714] ; [2.74285714 3.25714286],0
r2,1,0.14298,2.145594,[26  3] ; [4 2],[24.85714286  4.14285714] ; [5.14285714 0.85714286],0
p6,1,0.162111,1.954422,[18 10] ; [2 4],[16.47058824 11.52941176] ; [3.52941176 2.47058824],0
v2,1,0.210677,1.566771,[ 9 20] ; [3 2],[10.23529412 18.76470588] ; [1.76470588 3.23529412],0
p12,1,0.247675,1.336372,[ 4 25] ; [2 4],[ 4.97142857 24.02857143] ; [1.02857143 4.97142857],0
p2,1,0.266716,1.23356,[24  4] ; [4 2],[23.05882353  4.94117647] ; [4.94117647 1.05882353],0
a3,1,0.281695,1.158895,[21  8] ; [3 3],[19.88571429  9.11428571] ; [4.11428571 1.88571429],0
s2,1,0.292743,1.106962,[11 17] ; [1 5],[ 9.88235294 18.11764706] ; [2.11764706 3.88235294],0
a7,1,0.31786,0.99773,[18 11] ; [5 1],[19.05714286  9.94285714] ; [3.94285714 2.05714286],0
r1,1,0.369722,0.804598,[24  5] ; [4 2],[23.2  5.8] ; [4.8 1.2],0
s7,1,0.371332,0.799201,[18  8] ; [3 3],[17.0625  8.9375] ; [3.9375 2.0625],0
u3,1,0.386916,0.748611,[3 5] ; [2 1],[3.63636364 4.36363636] ; [1.36363636 1.63636364],0
a6,1,0.392166,0.732214,[19 10] ; [5 1],[19.88571429  9.11428571] ; [4.11428571 1.88571429],0
s4,1,0.436471,0.605544,[ 2 27] ; [1 5],[ 2.48571429 26.51428571] ; [0.51428571 5.48571429],0
b2,1,0.458902,0.548571,[ 9 11] ; [1 3],[ 8.33333333 11.66666667] ; [1.66666667 2.33333333],0
b3,1,0.458902,0.548571,[ 9 11] ; [1 3],[ 8.33333333 11.66666667] ; [1.66666667 2.33333333],0
d1,1,0.503623,0.447293,[14 15] ; [2 4],[13.25714286 15.74285714] ; [2.74285714 3.25714286],0
b5,1,0.582804,0.301724,[11 18] ; [3 3],[11.6 17.4] ; [2.4 3.6],0
b4,1,0.604542,0.268199,[16 13] ; [4 2],[16.57142857 12.42857143] ; [3.42857143 2.57142857],0
d4,1,0.638994,0.220061,[22  7] ; [4 2],[21.54285714  7.45714286] ; [4.45714286 1.54285714],0
p8,1,0.674576,0.176296,[21  7] ; [4 2],[20.58823529  7.41176471] ; [4.41176471 1.58823529],0
s8,1,0.678071,0.172306,[11 16] ; [3 3],[11.45454545 15.54545455] ; [2.54545455 3.45454545],0
s5,1,0.678071,0.172306,[16 11] ; [3 3],[15.54545455 11.45454545] ; [3.45454545 2.54545455],0
s6,1,0.759444,0.093765,[22  3] ; [5 1],[21.77419355  3.22580645] ; [5.22580645 0.77419355],0
p7,1,0.793488,0.068531,[22  6] ; [5 1],[22.23529412  5.76470588] ; [4.76470588 1.23529412],0
v3,1,0.811555,0.056844,[10 19] ; [2 3],[10.23529412 18.76470588] ; [1.76470588 3.23529412],0
d3,1,0.831981,0.045012,[18 11] ; [4 2],[18.22857143 10.77142857] ; [3.77142857 2.22857143],0
b1,1,0.831981,0.045012,[11 18] ; [2 4],[10.77142857 18.22857143] ; [2.22857143 3.77142857],0
a1,1,0.854721,0.033525,[ 4 25] ; [1 5],[ 4.14285714 24.85714286] ; [0.85714286 5.14285714],0
a8,1,0.908893,0.013095,[ 4 23] ; [1 5],[ 4.09090909 22.90909091] ; [0.90909091 5.09090909],0
p4,1,0.944658,0.004819,[23  5] ; [5 1],[23.05882353  4.94117647] ; [4.94117647 1.05882353],0
u1,1,0.972877,0.001156,[ 5 24] ; [1 5],[ 4.97142857 24.02857143] ; [1.02857143 4.97142857],0
p3,1,0.972877,0.001156,[24  5] ; [5 1],[24.02857143  4.97142857] ; [4.97142857 1.02857143],0
