Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,4.6e-05,16.619183,[1 2] ; [77  4],[2.78571429 0.21428571] ; [75.21428571  5.78571429],1
a3,1,0.082946,3.006211,[1 2] ; [64 19],[2.26744186 0.73255814] ; [62.73255814 20.26744186],0
a5,1,0.144352,2.130947,[1 2] ; [60 23],[2.12790698 0.87209302] ; [58.87209302 24.12790698],0
v4,1,0.148539,2.087194,[2 1] ; [75  7],[2.71764706 0.28235294] ; [74.28235294  7.71764706],0
v3,1,0.177342,1.819756,[2 1] ; [23 54],[0.9375 2.0625] ; [24.0625 52.9375],0
b1,1,0.199376,1.646942,[2 1] ; [26 57],[0.97674419 2.02325581] ; [27.02325581 55.97674419],0
b4,1,0.219199,1.509608,[1 2] ; [56 27],[1.98837209 1.01162791] ; [55.01162791 27.98837209],0
s3,1,0.239702,1.382348,[1 2] ; [55 28],[1.95348837 1.04651163] ; [54.04651163 28.95348837],0
s2,1,0.351348,0.868581,[1 2] ; [50 33],[1.77906977 1.22093023] ; [49.22093023 33.77906977],0
d5,1,0.369915,0.803949,[2 1] ; [71 12],[2.54651163 0.45348837] ; [70.45348837 12.54651163],0
d1,1,0.399822,0.708861,[1 2] ; [48 35],[1.70930233 1.29069767] ; [47.29069767 35.70930233],0
v2,1,0.457079,0.553038,[1 2] ; [43 35],[1.62962963 1.37037037] ; [42.37037037 35.62962963],0
v1,1,0.474139,0.512314,[2 1] ; [37 44],[1.39285714 1.60714286] ; [37.60714286 43.39285714],0
d2,1,0.556739,0.345382,[1 2] ; [42 41],[1.5 1.5] ; [41.5 41.5],0
p4,1,0.58449,0.299032,[1 2] ; [41 42],[1.46511628 1.53488372] ; [40.53488372 42.46511628],0
p9,1,0.608833,0.261878,[2 1] ; [64 17],[2.35714286 0.64285714] ; [63.64285714 17.35714286],0
a2,1,0.674071,0.176877,[1 2] ; [19 64],[0.69767442 2.30232558] ; [19.30232558 63.69767442],0
s8,1,0.700018,0.148453,[2 1] ; [46 37],[1.6744186 1.3255814] ; [46.3255814 36.6744186],0
p2,1,0.714472,0.133851,[2 1] ; [63 20],[2.26744186 0.73255814] ; [62.73255814 20.26744186],0
p8,1,0.716863,0.131519,[1 2] ; [36 46],[1.30588235 1.69411765] ; [35.69411765 46.30588235],0
p10,1,0.724277,0.124431,[2 1] ; [62 20],[2.25882353 0.74117647] ; [61.74117647 20.25882353],0
b5,1,0.730052,0.119064,[2 1] ; [47 36],[1.70930233 1.29069767] ; [47.29069767 35.70930233],0
s6,1,0.754098,0.09812,[2 1] ; [62 21],[2.23255814 0.76744186] ; [61.76744186 21.23255814],0
s5,1,0.790169,0.070804,[1 2] ; [32 46],[1.22222222 1.77777778] ; [31.77777778 46.22222222],0
a4,1,0.823046,0.05001,[1 2] ; [33 50],[1.18604651 1.81395349] ; [32.81395349 50.18604651],0
p6,1,0.849903,0.035812,[1 2] ; [31 49],[1.15662651 1.84337349] ; [30.84337349 49.15662651],0
p11,1,0.941311,0.00542,[2 1] ; [57 26],[2.05813953 0.94186047] ; [56.94186047 26.05813953],0
s4,1,0.988467,0.000209,[1 2] ; [28 55],[1.01162791 1.98837209] ; [27.98837209 55.01162791],0
a6,1,0.988467,0.000209,[2 1] ; [55 28],[1.98837209 1.01162791] ; [55.01162791 27.98837209],0
