Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,91.403039,[261 103] ; [ 49 125],[209.73977695 154.26022305] ; [100.26022305  73.73977695],1
p6,1,0.0,77.070679,[195 173] ; [ 23 150],[148.2883549 219.7116451] ; [ 69.7116451 103.2883549],1
p4,1,0.0,36.706633,[274  93] ; [84 90],[242.85767098 124.14232902] ; [115.14232902  58.85767098],1
p2,1,0.0,36.179827,[337  31] ; [126  49],[313.78268877  54.21731123] ; [149.21731123  25.78268877],1
p3,1,0.0,31.88515,[230 137] ; [ 64 110],[199.44177449 167.55822551] ; [94.55822551 79.44177449],1
r3,1,3.3e-05,17.229085,[360   6] ; [158  16],[351.08888889  14.91111111] ; [166.91111111   7.08888889],1
p10,1,7e-05,15.812984,[327  39] ; [132  41],[311.67717996  54.32282004] ; [147.32282004  25.67717996],1
s5,1,0.000113,14.899471,[155 205] ; [ 43 125],[135. 225.] ; [ 63. 105.],1
p9,1,0.000267,13.291446,[329  36] ; [136  37],[315.4739777  49.5260223] ; [149.5260223  23.4739777],1
v1,1,0.000327,12.909576,[234 128] ; [82 88],[215.02255639 146.97744361] ; [100.97744361  69.02255639],1
p11,1,0.000466,12.245239,[315  53] ; [128  47],[300.22836096  67.77163904] ; [142.77163904  32.22836096],1
r4,1,0.002999,8.808153,[360   8] ; [162  13],[353.7679558  14.2320442] ; [168.2320442   6.7679558],0
s1,1,0.003211,8.68336,[  7 356] ; [ 12 160],[ 12.89158879 350.10841121] ; [  6.10841121 165.89158879],0
s7,1,0.004391,8.114812,[207 143] ; [76 90],[191.95736434 158.04263566] ; [91.04263566 74.95736434],0
p5,1,0.005479,7.713977,[ 62 304] ; [ 14 160],[ 51.51111111 314.48888889] ; [ 24.48888889 149.51111111],0
v2,1,0.0057,7.642923,[226 131] ; [85 83],[211.48 145.52] ; [99.52 68.48],0
a8,1,0.00659,7.381509,[ 66 263] ; [ 16 141],[ 55.51028807 273.48971193] ; [ 26.48971193 130.51028807],0
s8,1,0.013756,6.069175,[195 169] ; [ 73 100],[181.66108007 182.33891993] ; [86.33891993 86.66108007],0
v4,1,0.017736,5.622065,[359   7] ; [165  10],[354.49907579  11.50092421] ; [169.50092421   5.49907579],0
d5,1,0.019504,5.455769,[313  52] ; [136  39],[303.49074074  61.50925926] ; [145.50925926  29.49074074],0
s2,1,0.051647,3.787155,[210 155] ; [82 87],[199.58801498 165.41198502] ; [92.41198502 76.58801498],0
b4,1,0.054596,3.694369,[197 171] ; [109  66],[207.38121547 160.61878453] ; [98.61878453 76.38121547],0
s6,1,0.057846,3.598086,[267  92] ; [115  58],[257.77819549 101.22180451] ; [124.22180451  48.77819549],0
v3,1,0.060415,3.525959,[171 185] ; [ 66 102],[161.01526718 194.98473282] ; [75.98473282 92.01526718],0
s3,1,0.061458,3.497589,[225 139] ; [90 79],[215.12195122 148.87804878] ; [99.87804878 69.12195122],0
d4,1,0.103239,2.654777,[311  53] ; [139  35],[304.46096654  59.53903346] ; [145.53903346  28.46096654],0
b2,1,0.203573,1.616554,[ 99 131] ; [39 70],[ 93.62831858 136.37168142] ; [44.37168142 64.62831858],0
b3,1,0.203573,1.616554,[ 99 131] ; [39 70],[ 93.62831858 136.37168142] ; [44.37168142 64.62831858],0
n3,1,0.214686,1.539539,[41 14] ; [33 19],[38.03738318 16.96261682] ; [35.96261682 16.03738318],0
n2,1,0.221209,1.496513,[46  9] ; [40 14],[43.39449541 11.60550459] ; [42.60550459 11.39449541],0
b5,1,0.244645,1.353628,[212 156] ; [110  65],[218.22467772 149.77532228] ; [103.77532228  71.22467772],0
a3,1,0.255645,1.292191,[281  85] ; [125  48],[275.68831169  90.31168831] ; [130.31168831  42.68831169],0
s4,1,0.302764,1.061981,[ 59 303] ; [ 22 149],[ 55.01313321 306.98686679] ; [ 25.98686679 145.01313321],0
r2,1,0.322306,0.979565,[357   9] ; [168   7],[355.17560074  10.82439926] ; [169.82439926   5.17560074],0
d1,1,0.387096,0.748046,[237 131] ; [106  69],[232.45672192 135.54327808] ; [110.54327808  64.45672192],0
n1,1,0.387179,0.747782,[22 32] ; [26 27],[24.22429907 29.77570093] ; [23.77570093 29.22429907],0
u1,1,0.46532,0.533067,[ 86 282] ; [ 36 139],[ 82.68139963 285.31860037] ; [ 39.31860037 135.68139963],0
p12,1,0.501743,0.451248,[ 35 331] ; [ 20 155],[ 37.20887246 328.79112754] ; [ 17.79112754 157.20887246],0
u4,1,0.513674,0.426576,[  9 359] ; [  6 169],[ 10.16574586 357.83425414] ; [  4.83425414 170.16574586],0
a1,1,0.553042,0.351895,[ 19 349] ; [  7 168],[ 17.62062615 350.37937385] ; [  8.37937385 166.62062615],0
a5,1,0.608603,0.262215,[291  77] ; [135  40],[288.70718232  79.29281768] ; [137.29281768  37.70718232],0
a6,1,0.615945,0.251607,[253 112] ; [125  50],[255.5 109.5] ; [122.5  52.5],0
d2,1,0.6784,0.171932,[194 172] ; [95 78],[196.24118738 169.75881262] ; [92.75881262 80.24118738],0
n6,1,0.697642,0.150936,[336  30] ; [158  16],[334.82222222  31.17777778] ; [159.17777778  14.82222222],0
n4,1,0.776158,0.080843,[333  35] ; [157  18],[332.08103131  35.91896869] ; [157.91896869  17.08103131],0
a7,1,0.784311,0.074915,[268  99] ; [129  45],[269.3142329  97.6857671] ; [127.6857671  46.3142329],0
a4,1,0.802854,0.062328,[183 183] ; [85 89],[181.64444444 184.35555556] ; [86.35555556 87.64444444],0
u3,1,0.810814,0.057301,[54 33] ; [30 20],[53.34306569 33.65693431] ; [30.65693431 19.34306569],0
b1,1,0.818943,0.052397,[151 217] ; [ 70 105],[149.77532228 218.22467772] ; [ 71.22467772 103.77532228],0
a2,1,0.84621,0.037619,[106 262] ; [ 49 126],[105.04604052 262.95395948] ; [ 49.95395948 125.04604052],0
d3,1,0.857092,0.032428,[260 106] ; [123  52],[259.1090573 106.8909427] ; [123.8909427  51.1090573],0
u2,1,0.91176,0.012281,[49 37] ; [28 22],[48.69117647 37.30882353] ; [28.30882353 21.69117647],0
p1,1,0.94769,0.004304,[ 35 332] ; [ 17 158],[ 35.2103321 331.7896679] ; [ 16.7896679 158.2103321],0
