Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.013479,6.105069,[15 64] ; [15 22],[20.43103448 58.56896552] ; [ 9.56896552 27.43103448],0
b4,1,0.019701,5.438223,[36 45] ; [25 12],[41.87288136 39.12711864] ; [19.12711864 17.87288136],0
d3,1,0.028038,4.825727,[22 57] ; [18 19],[27.24137931 51.75862069] ; [12.75862069 24.24137931],0
r2,1,0.034881,4.45099,[61 20] ; [34  3],[65.21186441 15.78813559] ; [29.78813559  7.21186441],0
n2,1,0.044917,4.021751,[18 12] ; [11  1],[20.71428571  9.28571429] ; [8.28571429 3.71428571],0
s4,1,0.047018,3.944728,[19 62] ; [ 3 34],[15.10169492 65.89830508] ; [ 6.89830508 30.10169492],0
p5,1,0.051685,3.785937,[ 3 77] ; [ 5 32],[ 5.47008547 74.52991453] ; [ 2.52991453 34.47008547],0
v2,1,0.05866,3.57488,[23 56] ; [17 19],[27.47826087 51.52173913] ; [12.52173913 23.47826087],0
s6,1,0.059749,3.544349,[36 44] ; [23 13],[40.68965517 39.31034483] ; [18.31034483 17.68965517],0
r4,1,0.064549,3.416464,[47 34] ; [28  9],[51.48305085 29.51694915] ; [23.51694915 13.48305085],0
n4,1,0.091159,2.853787,[43 37] ; [26 11],[47.17948718 32.82051282] ; [21.82051282 15.17948718],0
b2,1,0.14928,2.079589,[12 33] ; [7 8],[14.25 30.75] ; [ 4.75 10.25],0
b3,1,0.14928,2.079589,[12 33] ; [7 8],[14.25 30.75] ; [ 4.75 10.25],0
a5,1,0.171561,1.869251,[35 46] ; [21 16],[38.44067797 42.55932203] ; [17.55932203 19.44067797],0
p1,1,0.239095,1.385919,[ 4 77] ; [ 4 33],[ 5.49152542 75.50847458] ; [ 2.50847458 34.49152542],0
p6,1,0.243094,1.362564,[18 61] ; [ 5 32],[15.6637931 63.3362069] ; [ 7.3362069 29.6637931],0
s8,1,0.24542,1.349189,[16 64] ; [11 26],[18.46153846 61.53846154] ; [ 8.53846154 28.46153846],0
d4,1,0.253969,1.301338,[39 42] ; [22 15],[41.87288136 39.12711864] ; [19.12711864 17.87288136],0
s5,1,0.260298,1.26717,[16 63] ; [11 26],[18.38793103 60.61206897] ; [ 8.61206897 28.38793103],0
n3,1,0.264069,1.247296,[16 14] ; [8 3],[17.56097561 12.43902439] ; [6.43902439 4.56097561],0
s2,1,0.288557,1.126344,[31 50] ; [18 19],[33.63559322 47.36440678] ; [15.36440678 21.63559322],0
a8,1,0.32925,0.951846,[ 8 68] ; [ 6 29],[ 9.58558559 66.41441441] ; [ 4.41441441 30.58558559],0
a4,1,0.355247,0.854626,[19 61] ; [ 6 31],[17.09401709 62.90598291] ; [ 7.90598291 29.09401709],0
u2,1,0.37402,0.790264,[14 28] ; [ 9 11],[15.58064516 26.41935484] ; [ 7.41935484 12.58064516],0
p3,1,0.380199,0.770057,[20 61] ; [12 25],[21.96610169 59.03389831] ; [10.03389831 26.96610169],0
v1,1,0.386194,0.750893,[30 50] ; [17 20],[32.13675214 47.86324786] ; [14.86324786 22.13675214],0
r1,1,0.393506,0.728079,[43 37] ; [23 14],[45.12820513 34.87179487] ; [20.87179487 16.12820513],0
v4,1,0.406497,0.689022,[60 21] ; [30  7],[61.77966102 19.22033898] ; [28.22033898  8.77966102],0
r3,1,0.41653,0.660084,[57 23] ; [29  8],[58.8034188 21.1965812] ; [27.1965812  9.8034188],0
a2,1,0.425997,0.633713,[ 5 76] ; [ 1 36],[ 4.11864407 76.88135593] ; [ 1.88135593 35.11864407],0
b1,1,0.43109,0.619886,[50 31] ; [20 17],[48.05084746 32.94915254] ; [21.94915254 15.05084746],0
p10,1,0.477128,0.505422,[33 44] ; [18 18],[34.75221239 42.24778761] ; [16.24778761 19.75221239],0
n5,1,0.489315,0.478033,[51 29] ; [26 11],[52.64957265 27.35042735] ; [24.35042735 12.64957265],0
n6,1,0.509844,0.434387,[49 31] ; [25 12],[50.5982906 29.4017094] ; [23.4017094 13.5982906],0
p4,1,0.529612,0.395137,[31 50] ; [16 20],[32.53846154 48.46153846] ; [14.46153846 21.53846154],0
a3,1,0.582638,0.30199,[38 40] ; [16 21],[36.62608696 41.37391304] ; [17.37391304 19.62608696],0
d5,1,0.593626,0.284717,[39 41] ; [20 17],[40.34188034 39.65811966] ; [18.65811966 18.34188034],0
u3,1,0.604389,0.268427,[16 26] ; [ 9 11],[16.93548387 25.06451613] ; [ 8.06451613 11.93548387],0
p9,1,0.651897,0.203516,[42 35] ; [18 18],[40.88495575 36.11504425] ; [19.11504425 16.88495575],0
p7,1,0.683305,0.16643,[40 40] ; [17 20],[38.97435897 41.02564103] ; [18.02564103 18.97435897],0
s7,1,0.702476,0.145909,[25 52] ; [13 23],[25.89380531 51.10619469] ; [12.10619469 23.89380531],0
