Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,45.5625,[53 28] ; [11 70],[32. 49.] ; [32. 49.],1
s2,1,0.0,44.400599,[63 18] ; [21 61],[41.74233129 39.25766871] ; [42.25766871 39.74233129],1
s6,1,0.0,27.399959,[70  8] ; [42 39],[54.94339623 23.05660377] ; [57.05660377 23.94339623],1
p9,1,1.7e-05,18.489047,[67 12] ; [42 37],[54.5 24.5] ; [54.5 24.5],1
s3,1,5.4e-05,16.308346,[58 23] ; [32 48],[45.27950311 35.72049689] ; [44.72049689 35.27950311],1
s5,1,0.000156,14.300472,[38 38] ; [16 61],[26.82352941 49.17647059] ; [27.17647059 49.82352941],1
p6,1,0.000235,13.529001,[38 42] ; [16 64],[27. 53.] ; [27. 53.],1
u1,1,0.001071,10.700533,[23 58] ; [ 7 75],[14.90797546 66.09202454] ; [15.09202454 66.90797546],0
p1,1,0.004445,8.092372,[12 68] ; [ 2 80],[ 6.91358025 73.08641975] ; [ 7.08641975 74.91358025],0
v1,1,0.009637,6.700768,[45 36] ; [29 53],[36.77300613 44.22699387] ; [37.22699387 44.77300613],0
a3,1,0.013874,6.05412,[61 19] ; [47 34],[53.66459627 26.33540373] ; [54.33540373 26.66459627],0
p4,1,0.014536,5.971797,[48 33] ; [32 48],[40.2484472 40.7515528] ; [39.7515528 40.2484472],0
n4,1,0.032008,4.598077,[58 21] ; [47 35],[51.52173913 27.47826087] ; [53.47826087 28.52173913],0
p10,1,0.036373,4.379531,[52 27] ; [39 40],[45.5 33.5] ; [45.5 33.5],0
v2,1,0.038598,4.278481,[46 33] ; [33 46],[39.5 39.5] ; [39.5 39.5],0
a4,1,0.040093,4.213945,[43 38] ; [30 51],[36.5 44.5] ; [36.5 44.5],0
d3,1,0.053837,3.717742,[58 22] ; [47 34],[52.17391304 27.82608696] ; [52.82608696 28.17391304],0
d1,1,0.070149,3.27953,[49 32] ; [38 44],[43.23312883 37.76687117] ; [43.76687117 38.23312883],0
r1,1,0.070477,3.271867,[70 10] ; [62 19],[65.59006211 14.40993789] ; [66.40993789 14.59006211],0
b1,1,0.071864,3.239918,[45 36] ; [34 48],[39.25766871 41.74233129] ; [39.74233129 42.25766871],0
s1,1,0.072912,3.216212,[ 7 71] ; [ 2 80],[ 4.3875 73.6125] ; [ 4.6125 77.3875],0
n5,1,0.076059,3.147172,[55 24] ; [46 36],[49.55900621 29.44099379] ; [51.44099379 30.55900621],0
a8,1,0.081637,3.031998,[13 56] ; [ 7 71],[ 9.3877551 59.6122449] ; [10.6122449 67.3877551],0
n6,1,0.091371,2.850048,[64 15] ; [57 25],[59.37267081 19.62732919] ; [61.62732919 20.37267081],0
p3,1,0.096857,2.756543,[38 43] ; [28 54],[32.79754601 48.20245399] ; [33.20245399 48.79754601],0
n3,1,0.108522,2.575615,[20  9] ; [21  3],[22.43396226  6.56603774] ; [18.56603774  5.43396226],0
p2,1,0.126387,2.336326,[63 18] ; [55 27],[58.63803681 22.36196319] ; [59.36196319 22.63803681],0
b4,1,0.131649,2.272949,[50 31] ; [41 41],[45.2208589 35.7791411] ; [45.7791411 36.2208589],0
u2,1,0.167937,1.90126,[11  8] ; [13 21],[ 8.60377358 10.39622642] ; [15.39622642 18.60377358],0
a2,1,0.196688,1.666796,[25 56] ; [18 64],[21.36809816 59.63190184] ; [21.63190184 60.36809816],0
d2,1,0.207151,1.591229,[45 35] ; [38 44],[40.98765432 39.01234568] ; [42.01234568 39.98765432],0
b3,1,0.210875,1.565408,[16 30] ; [ 9 31],[13.37209302 32.62790698] ; [11.62790698 28.37209302],0
b2,1,0.210875,1.565408,[16 30] ; [ 9 31],[13.37209302 32.62790698] ; [11.62790698 28.37209302],0
n1,1,0.219077,1.510405,[17 12] ; [10 14],[14.77358491 14.22641509] ; [12.22641509 11.77358491],0
a5,1,0.252448,1.309704,[60 21] ; [54 28],[56.65030675 24.34969325] ; [57.34969325 24.65030675],0
v3,1,0.310943,1.026667,[30 47] ; [24 53],[27. 50.] ; [27. 50.],0
v4,1,0.312548,1.019877,[78  3] ; [76  6],[76.52760736  4.47239264] ; [77.47239264  4.52760736],0
p5,1,0.416128,0.661224,[ 9 72] ; [ 6 75],[ 7.5 73.5] ; [ 7.5 73.5],0
r3,1,0.422961,0.642073,[78  2] ; [78  4],[77.03703704  2.96296296] ; [78.96296296  3.03703704],0
d5,1,0.440167,0.595847,[67 13] ; [64 17],[65.0931677 14.9068323] ; [65.9068323 15.0931677],0
u3,1,0.454022,0.560591,[13  7] ; [18 15],[11.69811321  8.30188679] ; [19.30188679 13.69811321],0
a7,1,0.466125,0.531148,[63 18] ; [59 22],[61. 20.] ; [61. 20.],0
b5,1,0.578207,0.309143,[53 28] ; [57 25],[54.66257669 26.33742331] ; [55.33742331 26.66257669],0
p8,1,0.623016,0.241651,[31 49] ; [28 52],[29.5 50.5] ; [29.5 50.5],0
d4,1,0.623945,0.240362,[64 16] ; [63 19],[62.71604938 17.28395062] ; [64.28395062 17.71604938],0
s4,1,0.674965,0.175849,[19 62] ; [17 65],[17.88957055 63.11042945] ; [18.11042945 63.88957055],0
n2,1,0.701511,0.146905,[21  8] ; [20  6],[21.61818182  7.38181818] ; [19.38181818  6.61818182],0
p7,1,0.880443,0.022623,[41 38] ; [43 38],[41.475 37.525] ; [42.525 38.475],0
a6,1,0.964626,0.001967,[51 29] ; [52 30],[50.86419753 29.13580247] ; [52.13580247 29.86419753],0
