Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,6.4e-05,15.985795,[138  26] ; [30 22],[127.55555556  36.44444444] ; [40.44444444 11.55555556],1
p10,1,0.000348,12.793771,[129  36] ; [28 25],[118.83027523  46.16972477] ; [38.16972477 14.83027523],1
p7,1,0.001063,10.715267,[105  54] ; [23 33],[94.66046512 64.33953488] ; [33.33953488 22.66046512],0
b1,1,0.001485,10.097015,[ 49 118] ; [30 27],[ 58.89732143 108.10267857] ; [20.10267857 36.89732143],0
r3,1,0.003813,8.370763,[166   1] ; [51  4],[163.23873874   3.76126126] ; [53.76126126  1.23873874],0
n4,1,0.009446,6.736568,[116  50] ; [29 28],[107.93721973  58.06278027] ; [37.06278027 19.93721973],0
n6,1,0.01475,5.946077,[140  25] ; [40 17],[133.78378378  31.21621622] ; [46.21621622 10.78378378],0
a3,1,0.015544,5.853734,[86 81] ; [18 37],[78.23423423 88.76576577] ; [25.76576577 29.23423423],0
v2,1,0.042634,4.10984,[79 79] ; [18 35],[72.63507109 85.36492891] ; [24.36492891 28.63507109],0
a4,1,0.050086,3.838587,[ 38 129] ; [ 6 50],[ 32.95067265 134.04932735] ; [11.04932735 44.95067265],0
a8,1,0.051054,3.806489,[ 26 131] ; [ 3 49],[ 21.784689 135.215311] ; [ 7.215311 44.784689],0
p8,1,0.058396,3.582365,[80 85] ; [19 37],[73.91402715 91.08597285] ; [25.08597285 30.91402715],0
n5,1,0.074849,3.173345,[116  48] ; [33 24],[110.57013575  53.42986425] ; [38.42986425 18.57013575],0
u3,1,0.106899,2.59947,[45 36] ; [27 11],[49.00840336 31.99159664] ; [22.99159664 15.00840336],0
d2,1,0.14117,2.16516,[ 34 133] ; [17 40],[ 38.02232143 128.97767857] ; [12.97767857 44.02232143],0
s4,1,0.14131,2.163634,[ 26 138] ; [14 43],[ 29.68325792 134.31674208] ; [10.31674208 46.68325792],0
p12,1,0.163696,1.93975,[ 11 154] ; [ 1 55],[  8.95927602 156.04072398] ; [ 3.04072398 52.95927602],0
v3,1,0.172978,1.856943,[ 59 102] ; [14 39],[ 54.92056075 106.07943925] ; [18.07943925 34.92056075],0
s2,1,0.209492,1.574936,[71 94] ; [30 27],[75.06756757 89.93243243] ; [25.93243243 31.06756757],0
v4,1,0.266641,1.233948,[161   6] ; [52  4],[159.51121076   7.48878924] ; [53.48878924  2.51121076],0
a6,1,0.276797,1.182749,[93 74] ; [27 30],[89.46428571 77.53571429] ; [30.53571429 26.46428571],0
b5,1,0.284882,1.14365,[101  66] ; [39 18],[104.375  62.625] ; [35.625 21.375],0
p5,1,0.297758,1.084209,[ 15 149] ; [ 8 49],[ 17.0678733 146.9321267] ; [ 5.9321267 51.0678733],0
p1,1,0.310424,1.028869,[ 13 153] ; [ 7 50],[ 14.88789238 151.11210762] ; [ 5.11210762 51.88789238],0
p6,1,0.310839,1.027109,[ 58 103] ; [16 40],[ 54.90322581 106.09677419] ; [19.09677419 36.90322581],0
n2,1,0.343156,0.898605,[24  7] ; [11  6],[22.60416667  8.39583333] ; [12.39583333  4.60416667],0
d1,1,0.343341,0.897916,[ 53 114] ; [22 35],[ 55.91517857 111.08482143] ; [19.08482143 37.91517857],0
d5,1,0.348271,0.879746,[111  56] ; [41 15],[113.82959641  53.17040359] ; [38.17040359 17.82959641],0
s7,1,0.371283,0.799367,[ 58 104] ; [21 28],[ 60.65402844 101.34597156] ; [18.34597156 30.65402844],0
b2,1,0.385845,0.751996,[25 67] ; [ 6 25],[23.18699187 68.81300813] ; [ 7.81300813 23.18699187],0
b3,1,0.385845,0.751996,[25 67] ; [ 6 25],[23.18699187 68.81300813] ; [ 7.81300813 23.18699187],0
u1,1,0.425396,0.635361,[  5 162] ; [ 3 54],[  5.96428571 161.03571429] ; [ 2.03571429 54.96428571],0
s3,1,0.495402,0.464772,[91 73] ; [34 22],[93.18181818 70.81818182] ; [31.81818182 24.18181818],0
v1,1,0.498047,0.459095,[75 87] ; [23 33],[72.82568807 89.17431193] ; [25.17431193 30.82568807],0
p2,1,0.535075,0.384744,[129  37] ; [42 15],[127.29147982  38.70852018] ; [43.70852018 13.29147982],0
s1,1,0.561487,0.337137,[  6 158] ; [ 3 52],[  6.73972603 157.26027397] ; [ 2.26027397 52.73972603],0
