Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2.6e-05,17.709614,[118  16] ; [20 15],[109.42011834  24.57988166] ; [28.57988166  6.42011834],1
p10,1,0.000252,13.400187,[115  19] ; [21 15],[107.2  26.8] ; [28.8  7.2],1
p4,1,0.004221,8.18628,[78 58] ; [11 25],[70.37209302 65.62790698] ; [18.62790698 17.37209302],0
s1,1,0.005623,7.667316,[  5 127] ; [ 6 30],[  8.64285714 123.35714286] ; [ 2.35714286 33.64285714],0
n4,1,0.010229,6.594583,[101  34] ; [19 17],[94.73684211 40.26315789] ; [25.26315789 10.73684211],0
p8,1,0.015113,5.903293,[72 63] ; [11 25],[65.52631579 69.47368421] ; [17.47368421 18.52631579],0
n6,1,0.018488,5.549301,[112  21] ; [24 12],[107.0295858  25.9704142] ; [28.9704142  7.0295858],0
p7,1,0.019338,5.470729,[96 37] ; [18 17],[90.25 42.75] ; [23.75 11.25],0
s7,1,0.022522,5.204983,[89 44] ; [15 18],[83.3253012 49.6746988] ; [20.6746988 12.3253012],0
n5,1,0.034142,4.487591,[102  32] ; [21 15],[96.95294118 37.04705882] ; [26.04705882  9.95294118],0
a7,1,0.057496,3.608169,[90 44] ; [18 18],[85.12941176 48.87058824] ; [22.87058824 13.12941176],0
v4,1,0.07153,3.24755,[127   7] ; [31  5],[124.54117647   9.45882353] ; [33.45882353  2.54117647],0
p3,1,0.075803,3.152657,[64 72] ; [11 25],[59.30232558 76.69767442] ; [15.69767442 20.30232558],0
d4,1,0.097268,2.749774,[92 44] ; [19 17],[87.76744186 48.23255814] ; [23.23255814 12.76744186],0
p6,1,0.097363,2.748214,[54 81] ; [ 9 27],[49.73684211 85.26315789] ; [13.26315789 22.73684211],0
d2,1,0.107356,2.59271,[ 16 120] ; [ 8 28],[ 18.97674419 117.02325581] ; [ 5.02325581 30.97674419],0
d5,1,0.111465,2.533333,[80 55] ; [16 20],[75.78947368 59.21052632] ; [20.21052632 15.78947368],0
r2,1,0.112442,2.519564,[126   8] ; [31  5],[123.75294118  10.24705882] ; [33.24705882  2.75294118],0
a6,1,0.14322,2.143017,[79 57] ; [16 20],[75.11627907 60.88372093] ; [19.88372093 16.11627907],0
p11,1,0.14454,2.128945,[100  36] ; [22 14],[96.46511628 39.53488372] ; [25.53488372 10.46511628],0
p1,1,0.160217,1.972179,[  9 126] ; [ 5 31],[ 11.05263158 123.94736842] ; [ 2.94736842 33.05263158],0
a5,1,0.18372,1.767271,[81 55] ; [17 19],[77.48837209 58.51162791] ; [20.51162791 15.48837209],0
b5,1,0.215265,1.535658,[79 57] ; [25 11],[82.23255814 53.76744186] ; [21.76744186 14.23255814],0
b1,1,0.243056,1.362779,[57 79] ; [19 17],[60.09302326 75.90697674] ; [15.90697674 20.09302326],0
a2,1,0.318445,0.995324,[ 10 126] ; [ 1 35],[  8.69767442 127.30232558] ; [ 2.30232558 33.69767442],0
d3,1,0.334087,0.932992,[57 78] ; [12 24],[54.47368421 80.52631579] ; [14.52631579 21.47368421],0
p5,1,0.348658,0.878336,[ 15 121] ; [ 2 33],[ 13.52046784 122.47953216] ; [ 3.47953216 31.52046784],0
b4,1,0.384188,0.757259,[79 57] ; [18 18],[76.69767442 59.30232558] ; [20.30232558 15.69767442],0
b2,1,0.393685,0.72753,[27 50] ; [ 5 15],[25.40206186 51.59793814] ; [ 6.59793814 13.40206186],0
