Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.021229,5.307904,[ 3 14] ; [9 7],[ 6.18181818 10.81818182] ; [ 5.81818182 10.18181818],0
p3,1,0.023587,5.124779,[ 4 13] ; [10  6],[7.21212121 9.78787879] ; [6.78787879 9.21212121],0
s7,1,0.046366,3.968254,[ 2 13] ; [7 8],[ 4.5 10.5] ; [ 4.5 10.5],0
b5,1,0.049437,3.86046,[ 7 10] ; [12  4],[9.78787879 7.21212121] ; [9.21212121 6.78787879],0
a7,1,0.056417,3.639706,[12  5] ; [ 6 10],[9.27272727 7.72727273] ; [8.72727273 7.27272727],0
d1,1,0.084695,2.972426,[8 9] ; [ 3 13],[ 5.66666667 11.33333333] ; [ 5.33333333 10.66666667],0
s8,1,0.102959,2.659095,[ 3 14] ; [7 9],[ 5.15151515 11.84848485] ; [ 4.84848485 11.15151515],0
d5,1,0.102959,2.659095,[14  3] ; [9 7],[11.84848485  5.15151515] ; [11.15151515  4.84848485],0
p4,1,0.111872,2.527574,[ 7 10] ; [11  5],[9.27272727 7.72727273] ; [8.72727273 7.27272727],0
d3,1,0.118989,2.430576,[12  5] ; [7 9],[9.78787879 7.21212121] ; [9.21212121 6.78787879],0
p8,1,0.144127,2.133333,[ 4 12] ; [8 8],[ 6. 10.] ; [ 6. 10.],0
a5,1,0.188004,1.733193,[9 8] ; [12  4],[10.81818182  6.18181818] ; [10.18181818  5.81818182],0
s6,1,0.20009,1.641719,[ 7 10] ; [9 5],[8.77419355 8.22580645] ; [7.22580645 6.77419355],0
v1,1,0.226942,1.459926,[ 6 11] ; [9 7],[7.72727273 9.27272727] ; [7.27272727 8.72727273],0
p10,1,0.238185,1.391304,[10  6] ; [13  3],[11.5  4.5] ; [11.5  4.5],0
p5,1,0.257673,1.281218,[ 1 16] ; [ 3 13],[ 2.06060606 14.93939394] ; [ 1.93939394 14.06060606],0
b3,1,0.29008,1.119251,[4 5] ; [ 3 10],[2.86363636 6.13636364] ; [4.13636364 8.86363636],0
b2,1,0.29008,1.119251,[4 5] ; [ 3 10],[2.86363636 6.13636364] ; [4.13636364 8.86363636],0
r3,1,0.36503,0.820513,[14  2] ; [12  4],[13.  3.] ; [13.  3.],0
r1,1,0.373301,0.792647,[8 9] ; [10  6],[9.27272727 7.72727273] ; [8.72727273 7.27272727],0
d4,1,0.382797,0.761701,[13  4] ; [10  6],[11.84848485  5.15151515] ; [11.15151515  4.84848485],0
a6,1,0.38654,0.749797,[10  7] ; [7 9],[8.75757576 8.24242424] ; [8.24242424 7.75757576],0
v2,1,0.38654,0.749797,[10  7] ; [7 9],[8.75757576 8.24242424] ; [8.24242424 7.75757576],0
a3,1,0.392147,0.732274,[12  5] ; [9 7],[10.81818182  6.18181818] ; [10.18181818  5.81818182],0
b4,1,0.392147,0.732274,[12  5] ; [9 7],[10.81818182  6.18181818] ; [10.18181818  5.81818182],0
n2,1,0.465209,0.533333,[3 2] ; [1 2],[2.5 2.5] ; [1.5 1.5],0
s3,1,0.4795,0.5,[7 9] ; [9 7],[8. 8.] ; [8. 8.],0
a8,1,0.512691,0.428571,[ 2 14] ; [ 3 11],[ 2.66666667 13.33333333] ; [ 2.33333333 11.66666667],0
s4,1,0.575942,0.312841,[ 2 15] ; [ 3 13],[ 2.57575758 14.42424242] ; [ 2.42424242 13.57575758],0
b1,1,0.578709,0.308326,[9 8] ; [10  6],[9.78787879 7.21212121] ; [9.21212121 6.78787879],0
r2,1,0.61093,0.258824,[10  7] ; [8 8],[9.27272727 7.72727273] ; [8.72727273 7.27272727],0
n5,1,0.622301,0.242647,[12  5] ; [10  6],[11.33333333  5.66666667] ; [10.66666667  5.33333333],0
n4,1,0.622301,0.242647,[12  5] ; [10  6],[11.33333333  5.66666667] ; [10.66666667  5.33333333],0
p9,1,0.668929,0.182857,[12  4] ; [13  3],[12.5  3.5] ; [12.5  3.5],0
n6,1,0.694188,0.154589,[11  5] ; [12  4],[11.5  4.5] ; [11.5  4.5],0
a4,1,0.805453,0.060662,[ 6 11] ; [ 5 11],[ 5.66666667 11.33333333] ; [ 5.33333333 10.66666667],0
p11,1,0.805453,0.060662,[11  6] ; [11  5],[11.33333333  5.66666667] ; [10.66666667  5.33333333],0
d2,1,0.828975,0.046663,[ 7 10] ; [ 6 10],[ 6.6969697 10.3030303] ; [6.3030303 9.6969697],0
r4,1,0.848698,0.036397,[8 9] ; [7 9],[7.72727273 9.27272727] ; [7.27272727 8.72727273],0
s5,1,0.915598,0.011232,[ 4 12] ; [ 4 11],[ 4.12903226 11.87096774] ; [ 3.87096774 11.12903226],0
p12,1,0.927122,0.008366,[ 1 16] ; [ 1 14],[ 1.0625 15.9375] ; [ 0.9375 14.0625],0
v3,1,0.934568,0.00674,[ 3 14] ; [ 3 13],[ 3.09090909 13.90909091] ; [ 2.90909091 13.09090909],0
a2,1,0.948428,0.004184,[ 2 15] ; [ 2 14],[ 2.06060606 14.93939394] ; [ 1.93939394 14.06060606],0
u1,1,0.964716,0.001957,[ 1 16] ; [ 1 15],[ 1.03030303 15.96969697] ; [ 0.96969697 15.03030303],0
s2,1,1.0,0.0,[ 6 10] ; [ 6 10],[ 6. 10.] ; [ 6. 10.],0
