Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,9e-06,19.803367,[15 68] ; [16  9],[23.82407407 59.17592593] ; [ 7.17592593 17.82407407],1
s6,1,1.5e-05,18.78706,[27 64] ; [20  6],[36.55555556 54.44444444] ; [10.44444444 15.55555556],1
s2,1,0.000202,13.810192,[25 66] ; [18  9],[33.16101695 57.83898305] ; [ 9.83898305 17.16101695],1
s5,1,0.00035,12.783793,[ 9 77] ; [10 14],[14.85454545 71.14545455] ; [ 4.14545455 19.85454545],1
r4,1,0.00136,10.259461,[50 41] ; [24  3],[57.06779661 33.93220339] ; [16.93220339 10.06779661],0
p10,1,0.001459,10.129449,[34 56] ; [19  7],[41.12068966 48.87931034] ; [11.87931034 14.12068966],0
r3,1,0.004123,8.228717,[63 28] ; [26  1],[68.63559322 22.36440678] ; [20.36440678  6.63559322],0
p11,1,0.004828,7.942649,[36 55] ; [19  8],[42.41525424 48.58474576] ; [12.58474576 14.41525424],0
d5,1,0.006866,7.307628,[55 35] ; [24  3],[60.76923077 29.23076923] ; [18.23076923  8.76923077],0
p9,1,0.007001,7.272608,[46 44] ; [21  5],[51.98275862 38.01724138] ; [15.01724138 10.98275862],0
v2,1,0.008497,6.925662,[27 60] ; [14  9],[32.42727273 54.57272727] ; [ 8.57272727 14.42727273],0
v1,1,0.009608,6.706163,[30 60] ; [16 10],[35.68965517 54.31034483] ; [10.31034483 15.68965517],0
p3,1,0.010733,6.508966,[18 72] ; [12 15],[23.07692308 66.92307692] ; [ 6.92307692 20.07692308],0
p4,1,0.012748,6.203792,[21 69] ; [13 14],[26.15384615 63.84615385] ; [ 7.84615385 19.15384615],0
u1,1,0.03285,4.553581,[ 5 86] ; [ 5 22],[ 7.71186441 83.28813559] ; [ 2.28813559 24.71186441],0
s3,1,0.03342,4.524127,[41 49] ; [18  8],[45.77586207 44.22413793] ; [13.22413793 12.77586207],0
r2,1,0.049946,3.843266,[72 18] ; [25  1],[75.25862069 14.74137931] ; [21.74137931  4.25862069],0
d1,1,0.055398,3.670064,[35 56] ; [16 11],[39.33050847 51.66949153] ; [11.66949153 15.33050847],0
d4,1,0.070935,3.261248,[64 25] ; [24  3],[67.51724138 21.48275862] ; [20.48275862  6.51724138],0
p7,1,0.074081,3.190199,[26 62] ; [13 14],[29.84347826 58.15652174] ; [ 9.15652174 17.84347826],0
a8,1,0.093031,2.821129,[ 8 80] ; [ 5 18],[10.30630631 77.69369369] ; [ 2.69369369 20.30630631],0
p2,1,0.095335,2.781907,[47 43] ; [19  8],[50.76923077 39.23076923] ; [15.23076923 11.76923077],0
s4,1,0.113748,2.501363,[12 79] ; [ 7 20],[14.65254237 76.34745763] ; [ 4.34745763 22.65254237],0
a6,1,0.126872,2.33037,[52 38] ; [20  7],[55.38461538 34.61538462] ; [16.61538462 10.38461538],0
u2,1,0.135769,2.225275,[19 13] ; [7 1],[20.8 11.2] ; [5.2 2.8],0
b4,1,0.153172,2.040375,[50 41] ; [19  8],[53.21186441 37.78813559] ; [15.78813559 11.21186441],0
p6,1,0.153823,2.033928,[10 78] ; [ 6 21],[12.24347826 75.75652174] ; [ 3.75652174 23.24347826],0
n5,1,0.17035,1.879862,[43 46] ; [ 9 18],[39.89655172 49.10344828] ; [12.10344828 14.89655172],0
n4,1,0.170957,1.874527,[54 37] ; [12 15],[50.89830508 40.10169492] ; [15.10169492 11.89830508],0
p5,1,0.173908,1.848925,[ 2 89] ; [ 2 24],[ 3.11111111 87.88888889] ; [ 0.88888889 25.11111111],0
a5,1,0.183256,1.771018,[51 40] ; [19  8],[53.98305085 37.01694915] ; [16.01694915 10.98305085],0
v3,1,0.216793,1.525477,[16 70] ; [ 7 16],[18.14678899 67.85321101] ; [ 4.85321101 18.14678899],0
n2,1,0.254445,1.298731,[25 17] ; [10  3],[26.72727273 15.27272727] ; [8.27272727 4.72727273],0
d3,1,0.284689,1.144568,[49 40] ; [18  9],[51.40517241 37.59482759] ; [15.59482759 11.40517241],0
a4,1,0.32527,0.967638,[40 51] ; [ 9 18],[37.78813559 53.21186441] ; [11.21186441 15.78813559],0
r1,1,0.329228,0.95193,[54 36] ; [19  8],[56.15384615 33.84615385] ; [16.84615385 10.15384615],0
p12,1,0.345323,0.890568,[ 1 89] ; [ 1 25],[ 1.55172414 88.44827586] ; [ 0.44827586 25.55172414],0
a7,1,0.376331,0.782653,[52 39] ; [18  9],[53.98305085 37.01694915] ; [16.01694915 10.98305085],0
b2,1,0.419685,0.651196,[14 35] ; [ 7 11],[15.35820896 33.64179104] ; [ 5.64179104 12.35820896],0
b3,1,0.419685,0.651196,[14 35] ; [ 7 11],[15.35820896 33.64179104] ; [ 5.64179104 12.35820896],0
p1,1,0.447185,0.577778,[ 6 84] ; [ 3 24],[ 6.92307692 83.07692308] ; [ 2.07692308 24.92307692],0
b1,1,0.550877,0.355749,[48 43] ; [16 11],[49.3559322 41.6440678] ; [14.6440678 12.3559322],0
s1,1,0.594734,0.283012,[ 6 84] ; [ 1 25],[ 5.43103448 84.56896552] ; [ 1.56896552 24.43103448],0
b5,1,0.691718,0.157232,[50 41] ; [16 11],[50.89830508 40.10169492] ; [15.10169492 11.89830508],0
a2,1,0.736415,0.113302,[16 75] ; [ 4 23],[15.42372881 75.57627119] ; [ 4.57627119 22.42372881],0
a1,1,0.820635,0.051406,[ 8 83] ; [ 2 25],[ 7.71186441 83.28813559] ; [ 2.28813559 24.71186441],0
n3,1,0.821127,0.051119,[26 14] ; [8 5],[25.66037736 14.33962264] ; [8.33962264 4.66037736],0
d2,1,0.837791,0.04191,[38 52] ; [12 15],[38.46153846 51.53846154] ; [11.53846154 15.46153846],0
a3,1,0.914985,0.011396,[59 31] ; [18  9],[59.23076923 30.76923077] ; [17.76923077  9.23076923],0
n1,1,0.968111,0.001598,[15 27] ; [4 7],[15.05660377 26.94339623] ; [3.94339623 7.05660377],0
