Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,25.028938,[ 9 26] ; [36  8],[19.93670886 15.06329114] ; [25.06329114 18.93670886],1
p10,1,0.001315,10.320901,[14 19] ; [33  9],[20.68 12.32] ; [26.32 15.68],0
p9,1,0.001512,10.063524,[17 17] ; [36  7],[23.4025974 10.5974026] ; [29.5974026 13.4025974],0
p11,1,0.001785,9.758815,[17 18] ; [36  8],[23.48101266 11.51898734] ; [29.51898734 14.48101266],0
s8,1,0.003687,8.431805,[ 4 31] ; [18 26],[ 9.74683544 25.25316456] ; [12.25316456 31.74683544],0
a7,1,0.012052,6.303245,[25 10] ; [19 25],[19.49367089 15.50632911] ; [24.50632911 19.49367089],0
s7,1,0.01813,5.583534,[ 8 25] ; [21 20],[12.93243243 20.06756757] ; [16.06756757 24.93243243],0
v3,1,0.059276,3.557521,[ 4 30] ; [13 31],[ 7.41025641 26.58974359] ; [ 9.58974359 34.41025641],0
n2,1,0.07044,3.272727,[10  8] ; [15  3],[12.5  5.5] ; [12.5  5.5],0
p6,1,0.072315,3.229665,[ 5 28] ; [14 28],[ 8.36 24.64] ; [10.64 31.36],0
n6,1,0.107448,2.591362,[20 15] ; [32 11],[23.33333333 11.66666667] ; [28.66666667 14.33333333],0
s2,1,0.134909,2.235084,[12 23] ; [22 21],[15.25641026 19.74358974] ; [18.74358974 24.25641026],0
s5,1,0.148179,2.090902,[ 9 24] ; [ 6 37],[ 6.51315789 26.48684211] ; [ 8.48684211 34.51315789],0
a3,1,0.156641,2.006361,[17 17] ; [29 15],[20.05128205 13.94871795] ; [25.94871795 18.05128205],0
r1,1,0.171169,1.872673,[11 24] ; [ 8 36],[ 8.41772152 26.58227848] ; [10.58227848 33.41772152],0
p3,1,0.198115,1.656213,[ 8 26] ; [16 27],[10.5974026 23.4025974] ; [13.4025974 29.5974026],0
a5,1,0.217611,1.520053,[15 20] ; [25 19],[17.72151899 17.27848101] ; [22.27848101 21.72151899],0
p4,1,0.274921,1.192027,[12 23] ; [20 23],[14.35897436 20.64102564] ; [17.64102564 25.35897436],0
p7,1,0.30024,1.073129,[13 21] ; [22 22],[15.25641026 18.74358974] ; [19.74358974 24.25641026],0
s6,1,0.301979,1.065435,[15 20] ; [24 20],[17.27848101 17.72151899] ; [21.72151899 22.27848101],0
p8,1,0.355271,0.854541,[10 24] ; [17 26],[11.92207792 22.07792208] ; [15.07792208 27.92207792],0
b3,1,0.379621,0.77193,[ 6 13] ; [ 5 20],[ 4.75 14.25] ; [ 6.25 18.75],0
b2,1,0.379621,0.77193,[ 6 13] ; [ 5 20],[ 4.75 14.25] ; [ 6.25 18.75],0
p2,1,0.39035,0.737851,[22 12] ; [31 11],[23.71052632 10.28947368] ; [29.28947368 12.71052632],0
d3,1,0.435108,0.609151,[21 14] ; [22 21],[19.29487179 15.70512821] ; [23.70512821 19.29487179],0
d4,1,0.452467,0.564466,[28  7] ; [32 12],[26.58227848  8.41772152] ; [33.41772152 10.58227848],0
n1,1,0.45675,0.553846,[ 4 14] ; [ 6 12],[ 5. 13.] ; [ 5. 13.],0
